
[00:00:00.000 --> 00:00:05.400]  今天今晚我講到的主題是教會一年一度的主題開始
[00:00:05.400 --> 00:00:08.320]  我今天的主題是為愛而生的祝福
[00:00:08.320 --> 00:00:09.520]  是二弗所書
[00:00:09.520 --> 00:00:14.640]  其實我們在上年2023年是講馬可福音的
[00:00:14.640 --> 00:00:17.600]  主題是破繭的蛻變
[00:00:17.600 --> 00:00:20.840]  是藉著門徒的生命見證
[00:00:20.840 --> 00:00:24.160]  以及上帝給門徒的使命
[00:00:24.160 --> 00:00:27.200]  我們透過門徒的生命改變
[00:00:27.200 --> 00:00:32.200]  我們希望鼓勵弟兄姊妹一起去明白福音
[00:00:32.200 --> 00:00:35.920]  將福音成為改變自己生命的一個動力
[00:00:35.920 --> 00:00:39.240]  就好像門徒一樣擺上自己的生命見證福音
[00:00:39.240 --> 00:00:41.720]  今年踏入2024年
[00:00:41.720 --> 00:00:46.640]  我們教會轉入五年計劃裡面的另外一個階段
[00:00:46.640 --> 00:00:51.720]  我們希望弟兄姊妹以行動回應這個時代
[00:00:51.720 --> 00:00:53.880]  教會裡面各樣的時宮
[00:00:53.880 --> 00:00:56.640]  硬件形式上高的更新
[00:00:56.640 --> 00:01:00.280]  我們繼續和社區社會同行
[00:01:00.280 --> 00:01:03.400]  很想鼓勵弟兄姊妹成為門徒
[00:01:03.400 --> 00:01:05.640]  發揮你們的恩慈
[00:01:05.640 --> 00:01:07.280]  國安奇蹟
[00:01:07.280 --> 00:01:11.960]  在教會裡面服事活出使命
[00:01:11.960 --> 00:01:16.960]  所以今年教會選取了我們今天要看的二弗所書
[00:01:16.960 --> 00:01:20.320]  同時配合我們教會性的禱告
[00:01:20.320 --> 00:01:24.480]  能夠重點指向福音的大能
[00:01:24.480 --> 00:01:26.120]  藉著聖經的教導
[00:01:26.120 --> 00:01:27.960]  能夠興起一班弟兄姊妹
[00:01:27.960 --> 00:01:30.960]  特別想興起一班年輕的弟兄姊妹
[00:01:30.960 --> 00:01:33.960]  在生活裡面活出有力的見證
[00:01:33.960 --> 00:01:35.960]  活出信仰的活力
[00:01:35.960 --> 00:01:39.240]  能夠一起榮耀著作見證
[00:01:39.240 --> 00:01:41.320]  今天想看的二弗所書
[00:01:41.320 --> 00:01:45.080]  是保羅在監獄裡面寫的其中一封書信
[00:01:45.080 --> 00:01:48.560]  對象我們直接說是二弗所書
[00:01:48.560 --> 00:01:50.480]  但是在隨後的時間
[00:01:50.480 --> 00:01:55.280]  信徒將這封信在教會裡面不停地傳閱
[00:01:55.280 --> 00:01:58.360]  保羅其實很熟悉二弗所教會
[00:01:58.360 --> 00:02:04.000]  曾經設立過一個傳福音的宣教總部
[00:02:04.000 --> 00:02:08.080]  因為保羅當時在當時的小亞細亞
[00:02:08.080 --> 00:02:11.440]  就是二弗所教會附近一帶的地方
[00:02:11.440 --> 00:02:14.800]  傳道大約有三年多的時間
[00:02:14.800 --> 00:02:18.240]  而今天我們要看二弗所書是第一章
[00:02:18.240 --> 00:02:21.600]  我們會看一章三至十四字這段經文
[00:02:21.600 --> 00:02:25.960]  經文裡面充滿著豐富的神學性的經文
[00:02:25.960 --> 00:02:27.960]  甚至乎你看這段經文
[00:02:27.960 --> 00:02:31.440]  其實將整個系統神學可以說一次
[00:02:31.440 --> 00:02:33.440]  不過我就不會在這裡
[00:02:33.440 --> 00:02:38.160]  詳細地在這裡說什麼系統神學等等
[00:02:38.160 --> 00:02:39.400]  不過很想這麼說
[00:02:39.400 --> 00:02:41.000]  保羅在書信裡面
[00:02:41.000 --> 00:02:45.800]  很具體地描述了三一上帝對我們的工作
[00:02:45.800 --> 00:02:47.800]  它是一份恩典
[00:02:47.800 --> 00:02:48.680]  保羅的目的
[00:02:48.680 --> 00:02:52.720]  不單止提醒當時的二弗所教會弟兄姊妹
[00:02:52.720 --> 00:02:54.720]  跟上帝的關係這麼簡單
[00:02:54.720 --> 00:02:59.360]  他甚至乎重新呼喚喚醒弟兄姊妹
[00:02:59.360 --> 00:03:01.040]  對信仰的初心
[00:03:01.040 --> 00:03:03.040]  其實對我們也很重要
[00:03:03.040 --> 00:03:09.120]  我們過往服償了實體大概一年多的時間
[00:03:09.120 --> 00:03:11.440]  究竟我們當初返回教會
[00:03:11.440 --> 00:03:13.440]  可能也是年青的時間
[00:03:13.440 --> 00:03:15.240]  到了今時今日
[00:03:15.240 --> 00:03:17.680]  我們返回教會的初心
[00:03:17.680 --> 00:03:19.680]  我們又返回了沒有
[00:03:19.680 --> 00:03:25.880]  所以保羅也同時間跟弟兄姊妹分享
[00:03:25.880 --> 00:03:28.360]  我們要以上帝的目光
[00:03:28.360 --> 00:03:32.000]  重拾當初我們信主的時候
[00:03:32.000 --> 00:03:33.400]  我們用淑女的眼光
[00:03:33.400 --> 00:03:37.480]  看待我們身邊的人和發生的事情
[00:03:37.480 --> 00:03:40.200]  在生活裡面以愛心的行動
[00:03:40.200 --> 00:03:42.200]  甚至乎以信仰的價值
[00:03:42.200 --> 00:03:45.280]  去活出我們信徒的見證
[00:03:45.280 --> 00:03:48.360]  不如我們進入經文裡面
[00:03:48.360 --> 00:03:50.360]  我們一起去讀二弗所書
[00:03:50.360 --> 00:03:52.360]  一章三至十四次的經文
[00:03:52.360 --> 00:03:53.360]  好嗎?
[00:03:53.360 --> 00:03:55.360]  好,一二三
[00:03:55.360 --> 00:03:57.360]  (教會主席:我們一起祈禱)
[00:03:57.360 --> 00:03:59.360]  我們一起祈禱
[00:03:59.360 --> 00:04:01.360]  慈悲恩愛天父感謝祢
[00:04:01.360 --> 00:04:03.360]  感謝祢招待我們一班弟兄姊妹
[00:04:03.360 --> 00:04:04.360]  返回教會裡面
[00:04:04.360 --> 00:04:05.360]  一起去敬拜祢
[00:04:05.360 --> 00:04:06.560]  聽祢的話
[00:04:06.560 --> 00:04:07.760]  求聖靈的引導
[00:04:07.760 --> 00:04:11.360]  讓我們一起在經文裡面聽祢的話語
[00:04:11.360 --> 00:04:14.160]  藉著經文在我們生命裡面有提醒
[00:04:14.160 --> 00:04:14.960]  有教導
[00:04:14.960 --> 00:04:16.960]  甚至乎我們要跟著去做
[00:04:16.960 --> 00:04:19.360]  求聖靈充滿弟兄姊妹的心
[00:04:19.360 --> 00:04:20.960]  去聆聽祢的話
[00:04:20.960 --> 00:04:24.360]  待會帶領孩子去宣講祢的話
[00:04:24.360 --> 00:04:25.960]  與祢的靈同在
[00:04:25.960 --> 00:04:27.160]  感謝祢奉主名求
[00:04:27.160 --> 00:04:27.960]  阿門
[00:04:27.960 --> 00:04:30.360]  好,我們解釋一下
[00:04:30.360 --> 00:04:33.760]  我們看到這十一節的經文裡面
[00:04:33.760 --> 00:04:34.760]  哇,很厲害
[00:04:34.760 --> 00:04:39.560]  其實全部的字眼都是非常神學性的
[00:04:39.560 --> 00:04:41.360]  不過我很簡單地說
[00:04:41.360 --> 00:04:43.960]  在二弗所書一開始第一章裡面
[00:04:43.960 --> 00:04:47.560]  保羅如常地問候和自我介紹一下
[00:04:47.560 --> 00:04:49.160]  保羅的身份
[00:04:49.160 --> 00:04:50.960]  他究竟寫這封信做什麼
[00:04:50.960 --> 00:04:53.760]  還有祝福二弗所教會的弟兄姊妹
[00:04:53.760 --> 00:04:55.560]  在頭兩部分
[00:04:55.560 --> 00:04:59.960]  其實保羅已經開始描述天父在基督裡面
[00:04:59.960 --> 00:05:02.360]  賜給我們信徒一個新的生命
[00:05:02.360 --> 00:05:04.760]  我會分為兩個部分
[00:05:04.760 --> 00:05:06.560]  第一章裡面
[00:05:06.560 --> 00:05:10.160]  我們今天要看的經文就是三至十四節
[00:05:10.160 --> 00:05:11.760]  我們頭一個部分
[00:05:11.760 --> 00:05:15.160]  其實以一連串的讚美來組成
[00:05:15.160 --> 00:05:16.960]  有些色經學家這樣說
[00:05:16.960 --> 00:05:22.160]  這段經文是用一首傳統的希伯來詩歌去表達
[00:05:22.160 --> 00:05:25.360]  所以保羅在信裡面開始
[00:05:25.360 --> 00:05:28.360]  其實一大輪去讚美上帝
[00:05:28.360 --> 00:05:30.160]  在基督裡面所做的工作
[00:05:30.160 --> 00:05:32.360]  就是今天我們要看的經文
[00:05:32.360 --> 00:05:35.160]  他藉著他的兒子
[00:05:35.160 --> 00:05:35.760]  天父的兒子
[00:05:35.760 --> 00:05:36.560]  就是耶穌基督
[00:05:36.560 --> 00:05:39.560]  所賜下各樣的屬靈的福氣
[00:05:39.560 --> 00:05:41.560]  所以第一第三節裡面你會看到
[00:05:41.560 --> 00:05:46.160]  特別提到天父賜下各樣屬靈的福氣
[00:05:46.160 --> 00:05:49.760]  保羅在提及天父所做的事情
[00:05:49.760 --> 00:05:53.360]  是將屬靈的福氣賜給我們
[00:05:53.360 --> 00:05:56.360]  所說的福氣是屬靈
[00:05:56.360 --> 00:05:59.960]  即是不是地上世界我們所說的東西
[00:05:59.960 --> 00:06:02.760]  我們所說的福氣是什麼
[00:06:02.760 --> 00:06:06.360]  事業蒸蒸日上
[00:06:06.360 --> 00:06:07.960]  生意興隆
[00:06:07.960 --> 00:06:10.360]  財源廣進
[00:06:10.360 --> 00:06:13.360]  通常我們新年中國人傳統都會說這些
[00:06:13.360 --> 00:06:18.960]  但是保羅很想我們將目光調節一下
[00:06:18.960 --> 00:06:20.360]  在信的開始
[00:06:20.360 --> 00:06:23.360]  我們已經要將我們的目光去調節
[00:06:23.360 --> 00:06:26.360]  我們不要將這些事放在地上
[00:06:26.360 --> 00:06:27.760]  因為我們是屬靈
[00:06:27.760 --> 00:06:29.760]  我們是屬上帝
[00:06:29.760 --> 00:06:34.160]  屬靈是視為人的內在的生命
[00:06:34.160 --> 00:06:39.360]  屬靈的福氣其實是跟我們內在生命離不開的
[00:06:39.360 --> 00:06:42.160]  更加不是說物質生活
[00:06:42.160 --> 00:06:43.360]  不是說那些東西
[00:06:43.360 --> 00:06:46.160]  所以保羅特別提到
[00:06:46.160 --> 00:06:48.560]  屬靈的眼光
[00:06:48.560 --> 00:06:51.560]  信徒屬靈的眼光
[00:06:51.560 --> 00:06:55.160]  比起屬世的眼光更加重要
[00:06:55.160 --> 00:06:59.160]  我們要用這個目光去看我們身邊所有的事
[00:06:59.160 --> 00:07:02.160]  所以保羅特別重點特別提醒我們
[00:07:02.160 --> 00:07:05.160]  你會看到保羅一開始在信裏面
[00:07:05.160 --> 00:07:08.360]  已經挑戰我們的價值觀
[00:07:08.360 --> 00:07:10.360]  弟兄姊妹我現在跟你說
[00:07:10.360 --> 00:07:14.360]  我送你一些屬靈福氣還是屬地福氣
[00:07:14.360 --> 00:07:16.360]  你不用說了
[00:07:16.360 --> 00:07:19.360]  最好我明天就找一份順工
[00:07:19.360 --> 00:07:21.360]  找個好老公
[00:07:21.360 --> 00:07:22.360]  這些最實際
[00:07:22.360 --> 00:07:24.360]  但是保羅跟我們說
[00:07:24.360 --> 00:07:26.360]  不是的弟兄姊妹
[00:07:26.360 --> 00:07:30.360]  我們那個目光我們要調整
[00:07:30.360 --> 00:07:31.360]  我們在地上生活
[00:07:31.360 --> 00:07:33.360]  我們帶著信徒的身份
[00:07:33.360 --> 00:07:38.360]  我們要用天父給我們的眼光去看事物
[00:07:38.360 --> 00:07:40.360]  在第四節開始
[00:07:40.360 --> 00:07:42.360]  保羅就具體去說
[00:07:42.360 --> 00:07:45.360]  天父的屬靈工作是什麼
[00:07:45.360 --> 00:07:46.360]  他這樣說
[00:07:46.360 --> 00:07:48.360]  從創世以前
[00:07:48.360 --> 00:07:51.360]  在基督裏面已經揀選了我們
[00:07:51.360 --> 00:07:54.360]  並且保羅更加清楚地講述到
[00:07:54.360 --> 00:07:56.360]  揀選我們的目的
[00:07:56.360 --> 00:07:59.360]  在這幾節經文裏面你會看到
[00:07:59.360 --> 00:08:01.360]  其實保羅幾節經文已經揭開了
[00:08:01.360 --> 00:08:04.360]  上帝整個的救贖計劃
[00:08:04.360 --> 00:08:05.360]  甚至說明了
[00:08:05.360 --> 00:08:07.360]  救贖的目的
[00:08:07.360 --> 00:08:08.360]  救恩的目的
[00:08:08.360 --> 00:08:10.360]  全部東西
[00:08:10.360 --> 00:08:13.360]  都是有上帝的心意在裏面
[00:08:13.360 --> 00:08:17.360]  救恩最終是上帝的作為
[00:08:17.360 --> 00:08:20.360]  而不是我們做得有多好
[00:08:20.360 --> 00:08:22.360]  經文提到上帝的揀選
[00:08:22.360 --> 00:08:24.360]  是隨著他的心意
[00:08:24.360 --> 00:08:26.360]  並且有計劃
[00:08:26.360 --> 00:08:27.360]  有什麼計劃呢
[00:08:27.360 --> 00:08:30.360]  他揀選我們做什麼呢
[00:08:30.360 --> 00:08:33.360]  我們可以在經文裏面去看看
[00:08:33.360 --> 00:08:34.360]  在聖經裏面
[00:08:34.360 --> 00:08:38.360]  記不記得第一個被揀選的人是誰
[00:08:38.360 --> 00:08:40.360]  你會看可能是羅亞
[00:08:40.360 --> 00:08:42.360]  但是
[00:08:42.360 --> 00:08:44.360]  我會想說是亞伯拉罕
[00:08:44.360 --> 00:08:47.360]  上帝在創世紀第十二章裏面
[00:08:47.360 --> 00:08:49.360]  同樣揀選了亞伯拉罕
[00:08:49.360 --> 00:08:50.360]  他怎麼說
[00:08:50.360 --> 00:08:53.360]  他們要賜福給萬國
