
[00:00:00.000 --> 00:00:04.260]  敬拜隊帶領我們剛才有一個敬拜時間
[00:00:04.260 --> 00:00:06.360]  今天很希望在開始之前
[00:00:06.360 --> 00:00:08.780]  我想介紹一下我們今天的講員
[00:00:08.780 --> 00:00:10.700]  因為其實在實體裏面
[00:00:10.700 --> 00:00:14.980]  他第一次來到我們當中去宣告訊息的
[00:00:14.980 --> 00:00:16.180]  都是第一次
[00:00:16.180 --> 00:00:18.080]  我們Markus傳到
[00:00:18.080 --> 00:00:22.560]  青少部一直都我們一起去同工復事
[00:00:22.560 --> 00:00:24.640]  但是這次他第一次來到
[00:00:24.640 --> 00:00:27.180]  想介紹一下他是台灣人
[00:00:27.180 --> 00:00:29.140]  所以他是講普通話的
[00:00:29.140 --> 00:00:30.420]  但是他真的很厲害
[00:00:30.420 --> 00:00:33.700]  我覺得台灣人可以願意去學習講廣東話
[00:00:33.700 --> 00:00:37.080]  甚至來到我們香港當中去服侍香港人
[00:00:37.080 --> 00:00:39.460]  真是一個很難得的同工
[00:00:39.460 --> 00:00:41.200]  我覺得很為他而感恩
[00:00:41.200 --> 00:00:42.700]  等一下我們時間交給他
[00:00:42.700 --> 00:00:47.540]  很希望大家可以用鼓勵的眼神給他
[00:00:47.540 --> 00:00:51.120]  讓他知道他廣東話已經很好
[00:00:51.120 --> 00:00:51.620]  真的很厲害
[00:00:51.620 --> 00:00:53.880]  我也很想讚揚他
[00:00:53.880 --> 00:00:56.220]  我們將時間交給Markus傳到
[00:00:57.860 --> 00:00:59.860]  謝謝Watchmen
[00:00:59.860 --> 00:01:03.100]  也很想感謝敬拜隊
[00:01:03.100 --> 00:01:05.600]  因為一開始就講普通話
[00:01:05.600 --> 00:01:06.820]  Wakanda
[00:01:06.820 --> 00:01:13.300]  所以很開心用普通話的方式歡迎大家和歡迎我
[00:01:13.300 --> 00:01:16.740]  很感恩可以來到這裡和大家分享成華語
[00:01:16.740 --> 00:01:20.460]  也很開心在這裡見到自己認識的朋友和團友
[00:01:20.460 --> 00:01:23.580]  所以很開心可以在這裡和大家分享成華語
[00:01:23.580 --> 00:01:24.780]  在開始之前
[00:01:24.780 --> 00:01:27.340]  想和大家有一個祈禱好嗎
[00:01:27.340 --> 00:01:31.420]  我們很感恩可以在你的教會
[00:01:31.420 --> 00:01:34.060]  在你的殿中可以一起聽你的華語
[00:01:34.060 --> 00:01:35.420]  可以一起成長
[00:01:35.420 --> 00:01:39.900]  可以一起知道要怎樣在現在這個階段去侍奉
[00:01:39.900 --> 00:01:45.740]  希望你的華語觸碰我們的心
[00:01:45.740 --> 00:01:48.660]  幫助我們知道要怎樣繼續去走
[00:01:48.660 --> 00:01:51.940]  幫助我們的生命可以有轉變
[00:01:51.940 --> 00:01:54.420]  幫助我們的心願意打開
[00:01:54.420 --> 00:01:57.300]  願意去繼續去跟隨你
[00:01:57.780 --> 00:01:59.540]  祝福我們以下的時間
[00:01:59.540 --> 00:02:01.540]  奉耶穌基督得勝的名祈求
[00:02:01.540 --> 00:02:03.540]  阿們
[00:02:03.540 --> 00:02:10.420]  教育在人成長裡面是一個很重要的事情
[00:02:10.420 --> 00:02:14.180]  教育的發生不單單在學校裡面
[00:02:14.180 --> 00:02:15.420]  在家庭裡面
[00:02:15.420 --> 00:02:16.380]  在公司裡面
[00:02:16.380 --> 00:02:17.700]  在社會裡面
