
[00:00:00.000 --> 00:00:04.820]  你們有沒有見過一個人這麼心急走到港台
[00:00:04.820 --> 00:00:08.840]  Eric的牧師要上來跟我打個眼色
[00:00:08.840 --> 00:00:10.840]  你先不要走出來
[00:00:10.840 --> 00:00:15.140]  因為我真的有八個月沒有見大家
[00:00:15.140 --> 00:00:18.820]  這八個月發生什麼事呢
[00:00:18.820 --> 00:00:19.620]  我一會兒會說
[00:00:19.620 --> 00:00:21.620]  可能有些人都知道
[00:00:21.620 --> 00:00:23.620]  但是我很珍惜
[00:00:23.620 --> 00:00:26.460]  很珍惜還可以去服侍神的日子
[00:00:26.460 --> 00:00:29.140]  而我這八個月其實沒有停止過
[00:00:29.140 --> 00:00:31.140]  我們先一起禱告
[00:00:31.140 --> 00:00:33.820]  慈悲人我是父神 感謝你
[00:00:33.820 --> 00:00:36.860]  今日讓我們和一眾弟兄姊妹
[00:00:36.860 --> 00:00:39.860]  無論是二樓的 五樓的 網上的
[00:00:39.860 --> 00:00:42.860]  我們一起同靈因賢
[00:00:42.860 --> 00:00:47.140]  因主求祢的靈在我們心裏光照我們
[00:00:47.140 --> 00:00:49.940]  讓我們有柔軟的心領受祢的話
[00:00:49.940 --> 00:00:54.540]  亦都能夠在這個世上作你忠信的兒女
[00:00:54.540 --> 00:00:56.540]  我們同心祈禱
[00:00:56.540 --> 00:00:58.540]  仰望 倚靠
[00:00:58.540 --> 00:01:01.540]  主耶穌基督 成名
[00:01:01.540 --> 00:01:03.540]  阿們
[00:01:03.540 --> 00:01:05.540]  在地鐵車廂裏面
[00:01:05.540 --> 00:01:10.540]  我聽過一對表兄妹的對話
[00:01:10.540 --> 00:01:13.540]  當時表哥仔應該都未夠八歲
[00:01:13.540 --> 00:01:18.540]  他就說 日後長大了 你可不可以做我太太
[00:01:18.540 --> 00:01:21.540]  表妹呢 你知不知道怎樣回答呢
[00:01:21.540 --> 00:01:25.540]  其實我在一個報道會講過這件事
[00:01:25.540 --> 00:01:31.540]  有些人會說 傻啦 有可能的事又會變做沒可能
[00:01:31.540 --> 00:01:35.540]  沒可能的事又可能會變做有可能
[00:01:35.540 --> 00:01:38.540]  不過我們現在還是不要講這些
[00:01:38.540 --> 00:01:44.540]  年紀小小的表妹仔都知道世事難料
[00:01:44.540 --> 00:01:48.540]  我們經常都會說活著不似預期
[00:01:48.540 --> 00:01:52.540]  但想真一點 活著是否真的不似預期呢
[00:01:52.540 --> 00:01:56.540]  其實從宏觀來看 我可以說絕對不是
[00:01:56.540 --> 00:02:00.540]  因為一個充滿罪人的世界
[00:02:00.540 --> 00:02:04.540]  是所有罪人一起聚居的世界
[00:02:04.540 --> 00:02:08.540]  怎會是沒有危險呢
[00:02:08.540 --> 00:02:10.540]  絕對是一個危險的世界
[00:02:10.540 --> 00:02:12.540]  至於我們的生命 一樣
[00:02:12.540 --> 00:02:16.540]  我們要經歷老病死
[00:02:16.540 --> 00:02:20.540]  其實這個世界就好像這隻郵輪
[00:02:20.540 --> 00:02:24.540]  它不會動的
[00:02:24.540 --> 00:02:29.540]  看到嗎 就好像這隻進水的郵輪一樣
[00:02:29.540 --> 00:02:31.540]  它表面看起來很漂亮
[00:02:31.540 --> 00:02:34.540]  但其實它一直在下沉
[00:02:34.540 --> 00:02:36.540]  我們的生命都是
[00:02:36.540 --> 00:02:39.540]  今天你看到我還可以開心地說話
[00:02:39.540 --> 00:02:44.540]  但我終有一天會在老病之中離世
[00:02:44.540 --> 00:02:48.540]  聖經說過 它說安著定命
[00:02:48.540 --> 00:02:52.540]  人人都有一死 死後且有審判
[00:02:52.540 --> 00:02:54.540]  而且我們現在看到的這個世界
[00:02:54.540 --> 00:02:58.540]  有一天都要一把火
[00:02:58.540 --> 00:03:02.540]  所有元素都要燒盡
[00:03:02.540 --> 00:03:05.540]  這個世界和我們的生命
[00:03:05.540 --> 00:03:08.540]  那個大圖畫其實我們知道
[00:03:08.540 --> 00:03:12.540]  不過這個雖然是可以預料
[00:03:12.540 --> 00:03:14.540]  但有一件事
[00:03:14.540 --> 00:03:18.540]  就是可以在這個灰暗裏面有亮光
[00:03:18.540 --> 00:03:23.540]  就是在哪裏有一個忠信的基督徒
[00:03:23.540 --> 00:03:25.540]  忠心 相信主的基督徒
