
[00:00:00.000 --> 00:00:02.000]  我們感謝三一的神
[00:00:02.000 --> 00:00:04.000]  祢與我們同在
[00:00:04.000 --> 00:00:06.000]  求祢高沒孩子的口
[00:00:06.000 --> 00:00:08.000]  連結我們眾人的心
[00:00:08.000 --> 00:00:10.000]  讓我們一同去明白
[00:00:10.000 --> 00:00:13.000]  耶穌基督祢今天要教導我們的信息
[00:00:13.000 --> 00:00:16.000]  讓我們來同心活出祢的教導
[00:00:16.000 --> 00:00:18.000]  祈禱是奉主耶穌基督的名求
[00:00:18.000 --> 00:00:20.000]  阿們
[00:00:20.000 --> 00:00:22.000]  自從疫情之後
[00:00:22.000 --> 00:00:24.000]  看到這麼多弟兄姊妹選擇回來
[00:00:24.000 --> 00:00:26.000]  實體崇拜
[00:00:26.000 --> 00:00:28.000]  我心裏面實在很感恩很感動
[00:00:28.000 --> 00:00:30.000]  除了小部分
[00:00:30.000 --> 00:00:32.000]  有些個人的困難
[00:00:32.000 --> 00:00:34.000]  仍然在網上去崇拜
[00:00:34.000 --> 00:00:36.000]  實在看到大家
[00:00:36.000 --> 00:00:38.000]  原來是很想一起
[00:00:38.000 --> 00:00:40.000]  一起
[00:00:40.000 --> 00:00:42.000]  確實是我們心裏的渴求
[00:00:42.000 --> 00:00:46.000]  今天我講到的題目是
[00:00:46.000 --> 00:00:48.000]  同心性困境
[00:00:48.000 --> 00:00:50.000]  過去有一首
[00:00:50.000 --> 00:00:52.000]  繪席人口的流行曲
[00:00:52.000 --> 00:00:54.000]  歌詞就是這樣說
[00:00:54.000 --> 00:00:56.000]  不過我不唱給大家聽
[00:00:56.000 --> 00:00:58.000]  已經播出了
[00:00:58.000 --> 00:01:00.000]  叫你們猜猜
[00:01:00.000 --> 00:01:02.000]  同心做事情
[00:01:02.000 --> 00:01:04.000]  齊心就什麼
[00:01:04.000 --> 00:01:06.000]  事成
[00:01:06.000 --> 00:01:08.000]  大家有沒有聽過這首歌
[00:01:08.000 --> 00:01:10.000]  很多都有
[00:01:10.000 --> 00:01:12.000]  你們跟我差不多年代了
[00:01:12.000 --> 00:01:14.000]  這首歌這麼流行
[00:01:14.000 --> 00:01:16.000]  其實也反映我們內心
[00:01:16.000 --> 00:01:18.000]  也很認同
[00:01:18.000 --> 00:01:20.000]  同心的重要
[00:01:20.000 --> 00:01:22.000]  俗語說
[00:01:22.000 --> 00:01:24.000]  團結就是力量
[00:01:24.000 --> 00:01:26.000]  大家會反對
[00:01:26.000 --> 00:01:28.000]  但實際上大家覺得
