
[00:00:00.000 --> 00:00:04.000]  各位標青的頂姐妹晚安
[00:00:04.000 --> 00:00:08.000]  很開心能夠在這裡和大家見面
[00:00:08.000 --> 00:00:12.000]  我想都很需要大家很緊切地為教會禱告
[00:00:12.000 --> 00:00:16.000]  我們兩代人的交接我自己覺得
[00:00:16.000 --> 00:00:18.000]  是真是刻不容緩
[00:00:18.000 --> 00:00:22.000]  和很需要大家很多的禱告
[00:00:22.000 --> 00:00:24.000]  不知怎樣說好
[00:00:24.000 --> 00:00:26.000]  在新年的時候
[00:00:26.000 --> 00:00:29.000]  自己都很多心裏面的反思
[00:00:29.000 --> 00:00:35.000]  怎樣能夠令到每一代人能夠緊緊地相接呢
[00:00:35.000 --> 00:00:39.000]  我覺得有時真是很多的挑戰和難處
[00:00:39.000 --> 00:00:42.000]  自己都有很多內裏的反省
[00:00:42.000 --> 00:00:45.000]  我求主幫助我們藉著很多的機會
[00:00:45.000 --> 00:00:47.000]  我們能夠彼此的認識
[00:00:47.000 --> 00:00:50.000]  以致我們代代能夠將那個方向的攀傳下去
[00:00:50.000 --> 00:00:52.000]  在開始的時候我們一起禱告
[00:00:52.000 --> 00:00:53.000]  我們一起祈禱
[00:00:53.000 --> 00:00:55.000]  就是主求你自己親自的
[00:00:55.000 --> 00:00:57.000]  你的靈在我們當中
[00:00:57.000 --> 00:00:59.000]  你修補每一個的裂痕
[00:00:59.000 --> 00:01:01.000]  你都在我們當中
[00:01:01.000 --> 00:01:04.000]  興起每一個主你自己的作為
[00:01:04.000 --> 00:01:07.000]  在我們當中醫治我們的破碎
[00:01:07.000 --> 00:01:11.000]  以致我們的生命能夠來到主面前
[00:01:11.000 --> 00:01:13.000]  給主你自己的塗灶
[00:01:13.000 --> 00:01:15.000]  主我們多麼的需要你
[00:01:15.000 --> 00:01:19.000]  我們多麼需要你自己的靈在當中附魔我們
[00:01:19.000 --> 00:01:23.000]  以致很多生命裏面的破損
[00:01:23.000 --> 00:01:25.000]  你自己能夠去修補
[00:01:25.000 --> 00:01:27.000]  主我們就懇切求你
[00:01:27.000 --> 00:01:29.000]  不單止是年輕的
[00:01:29.000 --> 00:01:31.000]  也都有年長的
[00:01:31.000 --> 00:01:34.000]  如何能夠彼此的去契合
[00:01:34.000 --> 00:01:37.000]  主我們人在這些事情上
