
[00:00:00.000 --> 00:00:03.400]  《馬太福音》二章記載著主耶穌的出生
[00:00:03.400 --> 00:00:06.200]  在新譯本這裡有個題目
[00:00:06.200 --> 00:00:08.800]  叫《星象家朝拜耶穌》
[00:00:08.800 --> 00:00:11.080]  希律王執政的時候
[00:00:11.080 --> 00:00:13.120]  耶穌在猶太的伯利恆
[00:00:13.120 --> 00:00:17.280]  那時有幾個星象家從東方來到耶路撒冷
[00:00:17.280 --> 00:00:20.640]  如果你從小到大有時候聽東方三博士
[00:00:20.640 --> 00:00:23.360]  就說有三個讀了博士學位的人
[00:00:23.360 --> 00:00:24.800]  來找耶穌
[00:00:24.800 --> 00:00:28.160]  那時候沒有一家學府有頒博士學位
[00:00:28.160 --> 00:00:29.320]  其實是什麼人呢?
[00:00:29.480 --> 00:00:31.880]  其實這些博士叫星象學家
[00:00:31.880 --> 00:00:34.400]  很多時候說他們是高級的
[00:00:34.400 --> 00:00:37.480]  就是幫皇帝看看星象
[00:00:37.480 --> 00:00:39.640]  看看國家的興衰
[00:00:39.640 --> 00:00:43.440]  看看打仗的政策是否順利
[00:00:43.440 --> 00:00:46.080]  所以他們也被稱為智者
[00:00:46.080 --> 00:00:49.080]  這些星象學家是來自不同的地方
[00:00:49.080 --> 00:00:51.080]  在東方過來有三個
[00:00:51.080 --> 00:00:52.200]  就這麼說
[00:00:52.200 --> 00:00:55.440]  生下來作猶太人的王在哪裡呢?
[00:00:55.440 --> 00:00:57.840]  我們看見他的星出現
[00:00:57.840 --> 00:00:59.840]  特來朝拜他
[00:00:59.840 --> 00:01:03.320]  其實希律王那時候是代表羅馬政府
[00:01:03.320 --> 00:01:06.080]  在管治部分以色列的地區
[00:01:06.080 --> 00:01:07.760]  他雖然是一個傀儡皇帝
[00:01:07.760 --> 00:01:09.600]  但是也有很多權力
[00:01:09.600 --> 00:01:11.760]  這三個博士
[00:01:11.760 --> 00:01:14.000]  其實我想他們看星象看得太多了
[00:01:14.000 --> 00:01:16.400]  不知道皇帝也是很凶險的
[00:01:16.400 --> 00:01:18.960]  他就去見到猶太人的皇帝
[00:01:18.960 --> 00:01:22.960]  其中一個叫分封裡面的代理皇帝就是希律王
[00:01:22.960 --> 00:01:24.280]  就問他
[00:01:24.280 --> 00:01:26.280]  看星象我們發現
[00:01:26.280 --> 00:01:29.520]  有一個猶太人的王即將要降生
[00:01:29.520 --> 00:01:30.920]  我們要朝拜他
[00:01:30.920 --> 00:01:34.040]  希律王聽見當然心裡不安
[00:01:34.040 --> 00:01:36.640]  因為你現在要找一個皇帝出生
[00:01:36.640 --> 00:01:39.360]  他會代替我成為新的王
[00:01:39.360 --> 00:01:40.840]  還有這件事
[00:01:40.840 --> 00:01:42.120]  全耶路撒冷
[00:01:42.120 --> 00:01:44.760]  就是他們首都的居民都聽到
[00:01:44.760 --> 00:01:47.480]  就是說他們知道一個新的王要出生
[00:01:47.480 --> 00:01:48.880]  其實是很可怕的事情
[00:01:48.880 --> 00:01:51.200]  因為即將會有戰爭
[00:01:51.200 --> 00:01:52.480]  有動盪
[00:01:52.480 --> 00:01:55.200]  穩定的環境會受到影響
[00:01:55.200 --> 00:01:59.360]  但是希律王就裝作很有興趣
[00:01:59.360 --> 00:02:00.880]  知道新生王在哪裡
[00:02:00.880 --> 00:02:04.240]  就召集了所有祭司長和民間的經學家
[00:02:04.240 --> 00:02:07.680]  就問他們耶穌應該生在哪裡呢?
[00:02:07.680 --> 00:02:09.040]  那時候叫基督
[00:02:09.040 --> 00:02:10.440]  就是未來的王
[00:02:10.440 --> 00:02:11.480]  生在哪裡呢?
[00:02:11.480 --> 00:02:14.560]  因為祭司長和民間的經學家
[00:02:14.560 --> 00:02:15.920]  有些譯做文士
[00:02:15.920 --> 00:02:18.280]  他們是很了解《舊約聖經》的
[00:02:18.280 --> 00:02:20.480]  他知道《舊約聖經》找到一些預言
[00:02:20.480 --> 00:02:23.160]  預言未來的王在哪裡出生
[00:02:23.160 --> 00:02:25.440]  他們就回答
[00:02:25.440 --> 00:02:27.760]  在猶太的伯利恆
[00:02:27.760 --> 00:02:30.560]  因為有先知在經上這樣說
[00:02:30.560 --> 00:02:32.960]  猶太的伯利恆
[00:02:32.960 --> 00:02:35.960]  你在猶太的領袖中並不是最少的
[00:02:35.960 --> 00:02:39.360]  因為必有一位領袖從你那裡出來
[00:02:39.360 --> 00:02:41.800]  牧養我的子民以色列
[00:02:41.800 --> 00:02:45.040]  這段經文在後期的編輯裡面
[00:02:45.040 --> 00:02:48.040]  就在《舊約》的尼加書五章二字
[00:02:48.040 --> 00:02:50.920]  在《舊約》的尼加書五章二字
[00:02:50.920 --> 00:02:52.680]  有一段是這麼說的
[00:02:52.680 --> 00:02:53.880]  他說在猶太
[00:02:53.880 --> 00:02:54.760]  猶大地
[00:02:54.760 --> 00:02:56.480]  就是說在猶大支派
[00:02:56.480 --> 00:02:59.240]  就是以色列一個很核心的支派
[00:02:59.240 --> 00:03:00.960]  裡面的一個地方
[00:03:00.960 --> 00:03:04.160]  他們的領袖當中有一個叫伯利恆
[00:03:04.160 --> 00:03:06.160]  就是說有一個伯利恆城
[00:03:06.160 --> 00:03:08.640]  這個城不是很大
[00:03:08.640 --> 00:03:11.360]  但是他出了一位很好的領袖
[00:03:11.360 --> 00:03:12.760]  就是未來的王
[00:03:12.760 --> 00:03:15.840]  會牧養以色列的子民
[00:03:15.840 --> 00:03:20.360]  暗示猶太人的王會在伯利恆出生
[00:03:20.360 --> 00:03:22.960]  希律就正正經經
[00:03:22.960 --> 00:03:26.280]  就將星象學家暗中請他們來
[00:03:26.280 --> 00:03:27.600]  仔細去問問
[00:03:27.600 --> 00:03:29.120]  那顆星在哪裡
[00:03:29.120 --> 00:03:30.760]  什麼時候出現
[00:03:30.760 --> 00:03:33.760]  然後就派他們去伯利恆那裡說
[00:03:33.760 --> 00:03:36.560]  你去細心去尋訪這個小孩子
[00:03:36.560 --> 00:03:37.480]  在哪裡出生
[00:03:37.480 --> 00:03:38.720]  向我報告
[00:03:38.720 --> 00:03:40.720]  讓我可以去拜他們
[00:03:40.720 --> 00:03:42.120]  你想都想到
[00:03:42.120 --> 00:03:44.400]  其實都是一個凶險的安排
[00:03:44.400 --> 00:03:47.720]  他就哄星象學家去找耶穌出來
[00:03:47.720 --> 00:03:51.200]  最後相信星象學家和耶穌
[00:03:51.200 --> 00:03:52.400]  都應該一同
[00:03:52.400 --> 00:03:53.320]  如果找到的話
