
[00:00:00.000 --> 00:00:09.000]  今日和大家正道的經文是記載在希伯來書十二章五到十三節
[00:00:09.000 --> 00:00:11.500]  我用的是和合本修訂版
[00:00:11.500 --> 00:00:17.000]  我給的題目是忍受愛的管教
[00:00:17.000 --> 00:00:22.000]  我們先來讀一次這幾節的經文
[00:00:22.000 --> 00:00:24.000]  預備起
[00:00:24.000 --> 00:00:31.500]  你們又忘了神勸你們如同勸兒女的那些話說
[00:00:31.500 --> 00:00:35.500]  我兒啊不可輕看主的管教
[00:00:35.500 --> 00:00:40.000]  被他責備的時候不可灰心
[00:00:40.000 --> 00:00:44.000]  因為主所愛的他必管教
[00:00:44.000 --> 00:00:49.000]  又鞭打他所接納的每一個孩子
[00:00:49.000 --> 00:00:53.500]  為了受管教你們要忍受
[00:00:53.500 --> 00:00:57.000]  神待你們如同待兒女
[00:00:57.000 --> 00:01:02.000]  哪有兒女不被父親管教的呢?
[00:01:02.000 --> 00:01:08.000]  管教原是眾兒女共同所領受的
[00:01:08.000 --> 00:01:11.000]  你們若不受管教
[00:01:11.000 --> 00:01:13.000]  就是私生子
[00:01:13.000 --> 00:01:15.000]  不是兒女了
[00:01:15.000 --> 00:01:20.000]  在這我們曾有肉身之父管教我們
[00:01:20.000 --> 00:01:23.000]  我們尚且敬重他
[00:01:23.000 --> 00:01:25.500]  何況靈性之父
[00:01:25.500 --> 00:01:30.500]  我們豈不更當馴服他而得生命嗎?
[00:01:30.500 --> 00:01:37.000]  肉身之父都是短時間隨己意管教我們
[00:01:37.000 --> 00:01:40.500]  唯有靈性之父管教我們
[00:01:40.500 --> 00:01:43.000]  是要我們得益處
[00:01:43.000 --> 00:01:47.500]  使我們在他的聖潔上有份
[00:01:47.500 --> 00:01:52.000]  凡管教的事當時不覺得快樂
[00:01:52.000 --> 00:01:54.500]  反覺得痛苦
[00:01:54.500 --> 00:01:58.500]  後來卻為那經過鍛鍊的人
[00:01:58.500 --> 00:02:01.000]  結出平安的果子
[00:02:01.000 --> 00:02:03.500]  就是義的果子
[00:02:03.500 --> 00:02:08.500]  所以你們要把下垂的手舉起來
