
[00:00:00.000 --> 00:00:06.000]  我代表我的服侍教會在矽谷的主恩基督教會向大家問安
[00:00:06.000 --> 00:00:08.600]  我剛才看到他們一群敬拜隊的人
[00:00:08.600 --> 00:00:13.600]  我就想,我是否應該脫下領帶才像是矽谷回來的人呢?
[00:00:13.600 --> 00:00:17.400]  兩年多了,走了
[00:00:17.400 --> 00:00:24.200]  兩年多前我記得在十五樓看著攝影機跟大家說再見
[00:00:24.200 --> 00:00:26.400]  我覺得很不自媚
[00:00:26.400 --> 00:00:30.400]  今年年初我知道上帝有很大恩典
[00:00:30.400 --> 00:00:33.400]  讓我們買到一些超優惠的機票
[00:00:33.400 --> 00:00:39.400]  就硬著頭皮問Eric,我可不可以回來港島?
[00:00:39.400 --> 00:00:44.000]  我很感謝主Eric禱告師讓我在這裡有這個機會
[00:00:44.000 --> 00:00:47.200]  能夠跟大家say個hello
[00:00:47.200 --> 00:00:53.400]  又或者是補償兩年前我不能跟你們say goodbye的遺憾
[00:00:53.400 --> 00:00:57.400]  我也很感謝主讓我有機會在這裡港島
[00:00:57.400 --> 00:01:04.400]  認識我的人就會問,你今天哭不哭?
[00:01:04.400 --> 00:01:08.400]  有個弟兄上次打羽毛球就說,你一定哭
[00:01:08.400 --> 00:01:11.400]  我會回來看你哭的
[00:01:11.400 --> 00:01:13.400]  何必呢?
[00:01:13.400 --> 00:01:16.400]  我已經拿了紙巾
[00:01:16.400 --> 00:01:18.400]  我不是故意要整自己哭
[00:01:18.400 --> 00:01:24.400]  不過我覺得港島是需要被神的道去感動
[00:01:24.400 --> 00:01:28.400]  然後才告訴你,去感動你們
[00:01:28.400 --> 00:01:33.400]  如果不是的話,就不要說不是
[00:01:33.400 --> 00:01:35.400]  我們一起祈禱
[00:01:35.400 --> 00:01:39.400]  親愛的主,我們感謝祢讓我們能夠在這裡一齊敬拜祢
[00:01:39.400 --> 00:01:42.400]  祢是那位配得歌頌的神
[00:01:42.400 --> 00:01:46.400]  因為祢是那位愛我們到底的神
[00:01:46.400 --> 00:01:48.400]  祢是配受榮耀的神
[00:01:48.400 --> 00:01:51.400]  祢是讓我們生命不再一樣的神
[00:01:51.400 --> 00:01:56.400]  祢是讓我們能夠從自力到他力
[00:01:56.400 --> 00:02:00.400]  他力是祢的力量來過我們生活的神
[00:02:00.400 --> 00:02:04.400]  求主祢保守我們一世間孩子所說的
[00:02:04.400 --> 00:02:05.400]  能夠說得清楚
[00:02:05.400 --> 00:02:08.400]  讓姐妹能夠打開你們的心扉
[00:02:08.400 --> 00:02:09.400]  聽你們的話語
[00:02:09.400 --> 00:02:15.400]  能夠成為不一樣的生命
[00:02:15.400 --> 00:02:21.400]  能夠在生命裡活出一個從自力到他力的人生
[00:02:21.400 --> 00:02:24.400]  禱告奉主名求,阿門
[00:02:24.400 --> 00:02:29.400]  今天的經文只有一節
[00:02:29.400 --> 00:02:32.400]  以賽亞書三十章十五節
[00:02:32.400 --> 00:02:36.400]  很多弟兄姐妹都很熟悉這節經文
[00:02:36.400 --> 00:02:37.400]  我們一起讀好不好?
[00:02:37.400 --> 00:02:42.400]  主耶和華以色列的聖者如此說
[00:02:42.400 --> 00:02:45.400]  你們得救在乎歸回安息
[00:02:45.400 --> 00:02:49.400]  得力在乎平靜安穩
[00:02:49.400 --> 00:02:51.400]  你們卻是不肯
[00:02:51.400 --> 00:02:54.400]  一說到這節經文
[00:02:54.400 --> 00:02:56.400]  我不知道你第一個印象會想起什麼
[00:02:56.400 --> 00:02:59.400]  什麼時候最多會用這節經文?
[00:02:59.400 --> 00:03:02.400]  退休的時候
[00:03:02.400 --> 00:03:04.400]  上杜豐山的時候
[00:03:04.400 --> 00:03:05.400]  只見耶穌不見一人
[00:03:05.400 --> 00:03:08.400]  然後就給你這節經文去山洞
[00:03:08.400 --> 00:03:10.400]  想吧,一個小時兩個小時
[00:03:10.400 --> 00:03:13.400]  然後你就有很多跟上帝親密的時光
[00:03:13.400 --> 00:03:15.400]  這是好的,是吧?
[00:03:15.400 --> 00:03:19.400]  我上網找到一堆這樣的圖片
[00:03:19.400 --> 00:03:22.400]  你要歸回安息
[00:03:22.400 --> 00:03:24.400]  你要得力在乎平靜安穩
[00:03:24.400 --> 00:03:29.400]  在海上,整個感覺很舒服
[00:03:29.400 --> 00:03:31.400]  很舒暢的
[00:03:31.400 --> 00:03:35.400]  可以安靜地去到神的裡面去拿力量
[00:03:35.400 --> 00:03:37.400]  是不是好事?
[00:03:38.400 --> 00:03:41.400]  是不是怕我偷看你?
[00:03:41.400 --> 00:03:43.400]  問你是不是好事,你都這麼猶豫
[00:03:43.400 --> 00:03:44.400]  是不是好事?
[00:03:44.400 --> 00:03:46.400]  在神裡面拿力量,當然是好事
[00:03:46.400 --> 00:03:50.400]  應該都記得我喜歡跟你互動
[00:03:50.400 --> 00:03:52.400]  我簡單又說一點
[00:03:52.400 --> 00:03:54.400]  在舊約聖經裡面
[00:03:54.400 --> 00:03:56.400]  蔡爺哀結誕
[00:03:56.400 --> 00:04:00.400]  五卷大先知書裡面
[00:04:00.400 --> 00:04:04.400]  以創下書是長達66章這麼長
[00:04:04.400 --> 00:04:07.400]  裡面所包含的神學信息是非常豐富的
[00:04:07.400 --> 00:04:09.400]  有學者說
[00:04:09.400 --> 00:04:10.400]  它裡面包括什麼?
[00:04:10.400 --> 00:04:12.400]  審判裡面是有盼望的
[00:04:12.400 --> 00:04:16.400]  還有在危難裡面是有信靠的
[00:04:16.400 --> 00:04:18.400]  甚至有學者說
[00:04:18.400 --> 00:04:24.400]  以創下是一個能夠將對神的本性和旨意的認識
[00:04:24.400 --> 00:04:28.400]  實際地應用在以色列人所面對的問題上
[00:04:28.400 --> 00:04:29.400]  所以我要問
[00:04:29.400 --> 00:04:33.400]  這個是不是同樣都能夠應用在
