
[00:00:00.000 --> 00:00:06.000]  鄧炳弘議員
[00:00:06.000 --> 00:00:12.000]  主席
[00:00:12.000 --> 00:00:17.000]  在新的一年能夠更加經歷到我們所信的上帝
[00:00:17.000 --> 00:00:19.000]  今天是年廿八
[00:00:19.000 --> 00:00:21.000]  按照廣東的習俗
[00:00:21.000 --> 00:00:22.000]  其實廣東的習俗
[00:00:22.000 --> 00:00:24.000]  年廿八我們都知道是洗邋遢
[00:00:24.000 --> 00:00:32.000]  其實廣東人就將塵埃的塵字和塵垢的塵字連結在一起
[00:00:32.000 --> 00:00:35.000]  希望藉著去洗邋遢
[00:00:35.000 --> 00:00:37.000]  清除一些不好的東西
[00:00:37.000 --> 00:00:42.000]  寓意希望將生活裏面過去一些不好的東西
[00:00:42.000 --> 00:00:45.000]  希望能夠清除有新的氣象
[00:00:45.000 --> 00:00:47.000]  我相信在疫情的下面我們準備過新年
[00:00:47.000 --> 00:00:49.000]  今年我們都有
[00:00:49.000 --> 00:00:50.000]  應該是這兩年
[00:00:50.000 --> 00:00:52.000]  我們都有一些不同的感受
[00:00:52.000 --> 00:00:58.000]  我們今年起碼不能夠一大班人出來去吃飯
[00:00:58.000 --> 00:00:59.000]  我們又不能夠行花市
[00:00:59.000 --> 00:01:02.000]  又不能夠實體參與崇拜
[00:01:02.000 --> 00:01:04.000]  可能都有另一些的感受
[00:01:04.000 --> 00:01:09.000]  新年我們都會有在神面前立志
[00:01:09.000 --> 00:01:11.000]  很盼望萬象更生
[00:01:11.000 --> 00:01:13.000]  有新的氣象
[00:01:13.000 --> 00:01:17.000]  弟兄姊妹我不知道過去你有沒有立志的習慣
[00:01:17.000 --> 00:01:21.000]  甚至你有沒有試過在神面前立志
[00:01:21.000 --> 00:01:25.000]  立志之後你是否真的認真實踐你向神所立的志
[00:01:25.000 --> 00:01:31.000]  又或者你在禱告的裏面曾經領受了上帝一些心意
[00:01:31.000 --> 00:01:33.000]  但你有沒有真的去實踐
