
[00:00:00.000 --> 00:00:07.000]  今天不知道大家有沒有發現這個禮堂有一個小小的不同
[00:00:07.000 --> 00:00:09.000]  有沒有發現?
[00:00:09.000 --> 00:00:12.000]  如果坐在這邊的第一節會應該難見到
[00:00:12.000 --> 00:00:15.000]  坐在我左手邊的可能你會見到
[00:00:15.000 --> 00:00:20.000]  現在見不到,如果剛才見不到的話
[00:00:20.000 --> 00:00:23.000]  就是你一轉彎那裡就多了一些東西
[00:00:23.000 --> 00:00:26.000]  多了些什麼呢?就是這些了
[00:00:26.000 --> 00:00:32.000]  實體的聖經,所以這邊你見不到
[00:00:32.000 --> 00:00:35.000]  走那邊就見到,因為放在那裡
[00:00:35.000 --> 00:00:41.000]  實體的和合本修正版的聖經
[00:00:41.000 --> 00:00:45.000]  所以其實很鼓勵大家看印刷版的聖經
[00:00:45.000 --> 00:00:50.000]  PowerPoint多好都好,兩下就忘記了
[00:00:50.000 --> 00:00:53.000]  但是你看實體聖經你習慣了
[00:00:53.000 --> 00:00:56.000]  是很容易去找回的
[00:00:56.000 --> 00:01:00.000]  左上角、右下角那裡,你會容易一點記得
[00:01:00.000 --> 00:01:02.000]  PowerPoint你一定不會記得
[00:01:02.000 --> 00:01:07.000]  那一下你覺得很漂亮,但是我也會弄的
[00:01:07.000 --> 00:01:10.000]  所以也鼓勵大家,如果很厚很重
[00:01:10.000 --> 00:01:14.000]  我明白的,有些很薄的,只是新約的
[00:01:14.000 --> 00:01:18.000]  他們很輕,我也有一半,只是新約版的
[00:01:18.000 --> 00:01:24.000]  我現在說馬可福音,如果怕重,你可以帶那些聖經
[00:01:24.000 --> 00:01:31.000]  鼓勵大家慢慢養成這個習慣
[00:01:31.000 --> 00:01:33.000]  如果大家有留意國際新聞
[00:01:33.000 --> 00:01:37.000]  都見到蘇丹的局勢越來越差
[00:01:37.000 --> 00:01:39.000]  在幾天之前見到有新聞
[00:01:39.000 --> 00:01:45.000]  解放軍已經派艦艇去蘇丹接走當地的中國公民
[00:01:45.000 --> 00:01:53.000]  包括香港人,當然很多西方國家都已經開始了撤僑行動
[00:01:53.000 --> 00:01:58.000]  對於活在戰火的人,又不是屬於當地的人
[00:01:58.000 --> 00:02:03.000]  他當然很渴望本地的政府派人去拯救他們
[00:02:03.000 --> 00:02:08.000]  離開這個人身安全都受到嚴重威脅的地方
[00:02:08.000 --> 00:02:12.000]  同樣,今天我們都是活在一個彎曲薄茂的時代
[00:02:12.000 --> 00:02:17.000]  其實神都很渴望拯救我們離開這個彎曲的時代
[00:02:17.000 --> 00:02:21.000]  當你覺得,為什麼這個世界這麼動盪不安
[00:02:21.000 --> 00:02:26.000]  其實聖經一早就說了,我們活在一個彎曲的時代
[00:02:26.000 --> 00:02:28.000]  神很想拯救我們
[00:02:28.000 --> 00:02:33.000]  今天早上讓我們從史圖比特在五秦節的講道
[00:02:33.000 --> 00:02:38.000]  就是《聖靈降臨》,這是士堂傳第一篇的講章
[00:02:38.000 --> 00:02:43.000]  我們講道,講一篇別人的講道,比特的講道
[00:02:43.000 --> 00:02:46.000]  去到明白神的心意
[00:02:46.000 --> 00:02:49.000]  讓我們一起同心祈禱
[00:02:49.000 --> 00:02:53.000]  親愛的天父,我們來到你的面前
[00:02:53.000 --> 00:02:56.000]  要聆聽你的說話
[00:02:56.000 --> 00:03:00.000]  求真理的聖靈帶領我們進入你的真理當中
[00:03:00.000 --> 00:03:04.000]  禱告奉耶穌基督的聖名,阿們
