
[00:00:00.000 --> 00:00:01.520]  親愛的兄姊妹
[00:00:01.520 --> 00:00:04.280]  不知道你們最近看新聞
[00:00:04.280 --> 00:00:06.480]  有什麼感受呢
[00:00:06.480 --> 00:00:09.000]  我有時看新聞都覺得
[00:00:09.000 --> 00:00:11.000]  好像看到一套戲
[00:00:11.000 --> 00:00:13.640]  很多粉粉不平
[00:00:13.640 --> 00:00:16.880]  除了粉粉不平之外
[00:00:16.880 --> 00:00:18.320]  不知道你有沒有留意到
[00:00:18.320 --> 00:00:21.680]  其實這些新聞都有個共通點
[00:00:21.680 --> 00:00:29.000]  這個新聞的共通點
[00:00:29.000 --> 00:00:30.680]  就是一個貪字
[00:00:30.680 --> 00:00:32.920]  原來看甲骨文
[00:00:32.920 --> 00:00:34.720]  這個貪字
[00:00:34.720 --> 00:00:38.440]  是由一個上面的頂讀的雜字
[00:00:38.440 --> 00:00:41.640]  和一個貝字來組成
[00:00:41.640 --> 00:00:43.480]  形容一個人
[00:00:43.480 --> 00:00:45.000]  好像張開嘴巴
[00:00:45.000 --> 00:00:46.200]  對著一些貝
[00:00:46.200 --> 00:00:47.680]  以前是貝幣
[00:00:47.680 --> 00:00:49.520]  即是一些貨幣、錢
[00:00:49.520 --> 00:00:51.400]  張開嘴巴流口水
[00:00:51.400 --> 00:00:53.000]  那個樣子
[00:00:53.000 --> 00:00:55.360]  真的很繪形繪聲
[00:00:55.360 --> 00:00:59.360]  還是表達出一種人對於今世的東西
[00:00:59.360 --> 00:01:01.160]  有一種很短暫的東西
[00:01:01.160 --> 00:01:04.000]  很想得到的渴求
[00:01:04.000 --> 00:01:07.000]  早前因為一個貪字
[00:01:07.000 --> 00:01:10.760]  有一對情侶去吃那些任食火鍋
[00:01:10.760 --> 00:01:13.000]  他們可能不只是覺得任食
[00:01:13.000 --> 00:01:15.200]  還可能覺得任拿
[00:01:15.200 --> 00:01:17.440]  帶著袋子去pack
[00:01:17.440 --> 00:01:20.840]  即是pack完之後那幾餐餸節省
[00:01:20.840 --> 00:01:25.120]  結果就成為城中一時的熱搜
[00:01:25.120 --> 00:01:27.480]  亦都因為一個貪字
[00:01:27.480 --> 00:01:31.040]  宏福縣這個無情的火災
[00:01:31.040 --> 00:01:33.560]  其實一大班的幕後黑手
[00:01:33.560 --> 00:01:36.240]  在現在的聽證會裏面我們都看到
[00:01:36.240 --> 00:01:40.480]  真的奪去了很多人寶貴的生命
[00:01:40.480 --> 00:01:43.880]  和破碎了很多的家庭
[00:01:43.880 --> 00:01:45.960]  亦都是因為一個貪字
[00:01:45.960 --> 00:01:48.520]  我們看世界的戰爭
[00:01:48.520 --> 00:01:51.840]  無論是俄烏的戰爭
[00:01:51.840 --> 00:01:53.800]  美伊的戰爭
[00:01:53.800 --> 00:01:57.720]  都奪去了數以萬計人的性命
[00:01:57.720 --> 00:02:01.880]  和摧毀了他們的家園
[00:02:01.880 --> 00:02:05.520]  可見貪字真是萬惡的源頭
[00:02:05.520 --> 00:02:09.160]  亦都絕對殺傷力是不可以低估的
[00:02:09.160 --> 00:02:11.120]  讓我們在開始講到之前
[00:02:11.120 --> 00:02:14.360]  恭敬的將以下的時間交給我們的神
[00:02:14.360 --> 00:02:16.920]  我們一同低頭禱告
[00:02:16.920 --> 00:02:21.400]  親愛的神
[00:02:21.400 --> 00:02:26.320]  當我們不見一人只見耶穌的時候
[00:02:26.320 --> 00:02:30.280]  求祢用祢大有能力的話語
[00:02:30.280 --> 00:02:35.000]  將我們內心深處刺入、否開
[00:02:35.000 --> 00:02:39.120]  讓我們的內心得著光照的時候
[00:02:39.120 --> 00:02:42.880]  我們曉得回轉歸向祢
[00:02:42.880 --> 00:02:45.520]  能夠經歷祢的同在
[00:02:45.520 --> 00:02:48.520]  得著一個得勝的生命
