
[00:00:00.000 --> 00:00:04.800]  我們五堂繼續有試圖行傳的講道系列
[00:00:04.800 --> 00:00:06.800]  今天的講題是
[00:00:06.800 --> 00:00:10.720]  教會內如果有意見分歧
[00:00:10.720 --> 00:00:12.400]  如何處理呢?
[00:00:12.400 --> 00:00:14.000]  先做個民意調查
[00:00:14.000 --> 00:00:18.200]  你認為教會內多不多意見分歧呢?
[00:00:18.200 --> 00:00:20.800]  如果你覺得是少的請你舉手
[00:00:20.800 --> 00:00:22.800]  少的,先看看
[00:00:22.800 --> 00:00:24.600]  有幾隻手
[00:00:24.600 --> 00:00:27.400]  如果你覺得是多的請你舉手
[00:00:27.400 --> 00:00:29.800]  嘩,大部分人都舉手
[00:00:29.800 --> 00:00:32.000]  剛才我們唱的那首詩歌是甚麼?
[00:00:32.000 --> 00:00:33.200]  最後那首
[00:00:33.200 --> 00:00:35.800]  從心合一,但是教會又要合一
[00:00:35.800 --> 00:00:37.800]  但我們又經常有意見分歧
[00:00:37.800 --> 00:00:39.200]  那怎麼辦呢?
[00:00:39.200 --> 00:00:41.200]  願意今天我們看試圖行傳
[00:00:41.200 --> 00:00:43.400]  神賜給我們有亮光
[00:00:43.400 --> 00:00:47.000]  讓我們知道如何一步一步去處理這些意見分歧
[00:00:47.000 --> 00:00:50.000]  我們看經文之前一起去禱告
[00:00:50.000 --> 00:00:52.400]  親愛的天父
[00:00:52.400 --> 00:00:55.600]  求你繼續透過試圖行傳向我們說話
[00:00:55.600 --> 00:00:59.000]  讓我們知道當我們有意見分歧的時候
[00:00:59.000 --> 00:01:00.000]  應該怎樣做
[00:01:00.000 --> 00:01:01.600]  求你開我們的眼睛
[00:01:01.600 --> 00:01:03.200]  讓我們明白你的心意
[00:01:03.200 --> 00:01:04.600]  求你祝福以下的時間
[00:01:04.600 --> 00:01:06.200]  奉耶穌基督的聖名祈禱
[00:01:06.200 --> 00:01:07.200]  阿們
[00:01:07.200 --> 00:01:12.200]  好,我們先看看試圖行傳的大綱
[00:01:12.200 --> 00:01:13.600]  試圖行傳有另一個名字
[00:01:13.600 --> 00:01:16.000]  叫做聖靈行傳
[00:01:16.000 --> 00:01:18.400]  因為有很多提及聖靈的工作
[00:01:18.400 --> 00:01:20.000]  所以我們看經文
[00:01:20.000 --> 00:01:22.400]  都要留意聖靈在當中做甚麼
[00:01:22.400 --> 00:01:25.200]  今天那段經文都有聖靈在作供
[00:01:25.800 --> 00:01:27.600]  好,試圖行傳
[00:01:27.600 --> 00:01:30.200]  開頭是說福音在耶路撒冷
[00:01:30.200 --> 00:01:33.200]  然後傳到撒瑪利亞
[00:01:33.200 --> 00:01:35.600]  我上一次在六月末提及
[00:01:35.600 --> 00:01:38.400]  就是彼得向外族人傳福音
[00:01:38.400 --> 00:01:40.200]  今天那段經文
[00:01:40.200 --> 00:01:44.400]  彼得都有提及他向外族人傳福音的事
[00:01:44.400 --> 00:01:47.400]  之後福音就傳到地極
[00:01:47.400 --> 00:01:48.600]  不是去南北極
[00:01:48.600 --> 00:01:50.600]  只是再遠一點的地方
[00:01:50.600 --> 00:01:53.200]  13至28章就去到地極
[00:01:53.200 --> 00:01:56.400]  上兩章13至14章
[00:01:56.400 --> 00:01:59.600]  就講保羅第一次的宣教旅程
[00:01:59.600 --> 00:02:01.800]  就在不同的地方去直堂
[00:02:01.800 --> 00:02:04.000]  建立了很多的教會
[00:02:04.000 --> 00:02:06.200]  今天我們就看第15章
[00:02:06.200 --> 00:02:08.000]  耶路撒冷的會議
[00:02:08.000 --> 00:02:12.000]  保羅因為有一件很爭議性的事
[00:02:12.000 --> 00:02:13.600]  要去耶路撒冷開會
[00:02:13.600 --> 00:02:17.000]  所以被迫停止了他的短宣
[00:02:17.000 --> 00:02:19.800]  所以就完成了第一次的宣教旅程
[00:02:19.800 --> 00:02:23.200]  當時爭論的事是發生什麼呢
[00:02:23.200 --> 00:02:27.800]  我們就看史唐人傳15章1至5節
[00:02:27.800 --> 00:02:29.800]  是新漢語譯本
[00:02:29.800 --> 00:02:33.200]  我請大家讀中文
[00:02:33.200 --> 00:02:34.600]  深色的字
[00:02:34.600 --> 00:02:36.200]  請大家讀這一節
[00:02:36.200 --> 00:02:37.800]  好 預備起
[00:02:37.800 --> 00:02:39.000]  有些人
[00:02:39.000 --> 00:02:43.000]  如同大鵬 駕駛到地獄本船
[00:02:43.000 --> 00:02:46.200]  你會有多少 多少的貴賓
[00:02:46.200 --> 00:02:50.600]  (十多萬人)
[00:02:50.600 --> 00:02:53.400]  好 那個爭議性是從這裡開始的
[00:02:53.400 --> 00:02:56.000]  就是有些人從猶太那個地方
[00:02:56.000 --> 00:02:59.000]  去到安提亞這個地方
[00:02:59.000 --> 00:03:00.600]  安提亞當時已經有教會
[00:03:00.600 --> 00:03:02.200]  或者有些人叫安提阿
[00:03:02.200 --> 00:03:05.600]  那這班從猶太下來的基督徒
[00:03:05.600 --> 00:03:07.200]  他們已經信了主
[00:03:07.200 --> 00:03:11.200]  就在教導 教導弟兄
[00:03:11.200 --> 00:03:14.200]  如果你們不按照摩西的律法
[00:03:14.200 --> 00:03:16.600]  按照摩西的規條去守國禮
[00:03:16.600 --> 00:03:18.800]  就是弟兄們你們要行國禮
[00:03:18.800 --> 00:03:21.200]  如果不是你們就不得救
[00:03:21.200 --> 00:03:24.600]  這句話開始有爭議性
[00:03:24.600 --> 00:03:27.400]  第二節 保羅 巴拿巴
[00:03:27.400 --> 00:03:29.600]  當時在安提亞那裡
[00:03:29.600 --> 00:03:33.600]  就和這班人起了很大的紛爭和爭議
[00:03:33.600 --> 00:03:35.200]  他們有debate
[00:03:35.200 --> 00:03:39.600]  於是眾人就派保羅和巴拿巴
[00:03:39.600 --> 00:03:41.400]  還有其中一些的人
[00:03:41.400 --> 00:03:44.400]  為了這件這麼富爭議性的事
[00:03:44.400 --> 00:03:47.000]  爭論不斷 怎麼辦呢
[00:03:47.000 --> 00:03:49.200]  就叫他們上耶路撒冷
[00:03:49.200 --> 00:03:51.200]  去見使徒和長老
[00:03:51.200 --> 00:03:55.800]  因為那個福音是從哪裡傳出來的
[00:03:55.800 --> 00:03:58.400]  在耶路撒冷傳過來安提阿
[00:03:58.400 --> 00:04:00.800]  所以就去最高層那裡問
[00:04:00.800 --> 00:04:02.200]  高層怎麼辦
[00:04:02.200 --> 00:04:03.600]  現在有這個爭議性
[00:04:03.600 --> 00:04:05.200]  不如你們開會談談
[00:04:05.200 --> 00:04:08.600]  就派保羅和巴拿巴上去見
[00:04:08.600 --> 00:04:09.600]  第三節
[00:04:09.600 --> 00:04:13.200]  教會為他們送行
[00:04:13.200 --> 00:04:16.200]  他們經過斐尼基和撒瑪利亞
[00:04:16.200 --> 00:04:19.800]  沿途向人詳細說明
[00:04:19.800 --> 00:04:22.800]  外族人 外邦人歸信主的事
[00:04:22.800 --> 00:04:26.000]  給所有弟兄帶來極大的喜樂
[00:04:26.000 --> 00:04:31.000]  就完結了他們第一次宣教的旅程
[00:04:31.000 --> 00:04:31.800]  第四節
[00:04:31.800 --> 00:04:36.600]  巴拿巴和保羅來到耶路撒冷
[00:04:36.600 --> 00:04:39.600]  就受到教會使徒和長老的接待
[00:04:39.600 --> 00:04:41.800]  因為完成了宣教旅程
[00:04:41.800 --> 00:04:45.800]  宣教士回到教會就受到接待
[00:04:45.800 --> 00:04:47.400]  他們也報告了
[00:04:47.400 --> 00:04:50.400]  神和他們一起所做的一切事
