
[00:00:00.000 --> 00:00:03.000]  今晚是一個很特別的崇拜
[00:00:03.000 --> 00:00:06.000]  因為是一個福音崇拜
[00:00:06.000 --> 00:00:10.000]  很歡迎大家來到音福堂
[00:00:10.000 --> 00:00:13.000]  去聽福音崇拜
[00:00:13.000 --> 00:00:16.000]  首先在這裡我想歡迎
[00:00:16.000 --> 00:00:19.000]  如果你是新來賓
[00:00:19.000 --> 00:00:21.000]  請你舉起你的手
[00:00:21.000 --> 00:00:25.000]  讓我們去認識一下你
[00:00:25.000 --> 00:00:28.000]  不如這樣吧
[00:00:28.000 --> 00:00:33.000]  介不介意新來賓請你也舉起手
[00:00:33.000 --> 00:00:36.000]  我們再次歡迎你們
[00:00:36.000 --> 00:00:39.000]  歡迎你們
[00:00:39.000 --> 00:00:41.000]  請坐
[00:00:41.000 --> 00:00:45.000]  很開心你們今天來到我們當中
[00:00:45.000 --> 00:00:49.000]  也很歡迎各位弟兄姊妹
[00:00:49.000 --> 00:00:53.000]  一起來去敬拜神認識主
[00:00:54.000 --> 00:00:59.000]  讓大家也能得到這份美好的禮物
[00:00:59.000 --> 00:01:02.000]  或者讓我們分享之先
[00:01:02.000 --> 00:01:04.000]  一起低頭禱告
[00:01:04.000 --> 00:01:06.000]  慈愛天父我們感謝讚美你
[00:01:06.000 --> 00:01:09.000]  很感謝你帶領我們平安的腳步
[00:01:09.000 --> 00:01:11.000]  來到你的家裡
[00:01:11.000 --> 00:01:13.000]  來到你的殿當中
[00:01:13.000 --> 00:01:15.000]  求你真的帶領我們以下的時間
[00:01:15.000 --> 00:01:17.000]  感動人的心
[00:01:17.000 --> 00:01:19.000]  無論聽的說的
[00:01:19.000 --> 00:01:23.000]  都能得到你自己的教導和提醒
[00:01:23.000 --> 00:01:25.000]  得著認識你的愛
[00:01:25.000 --> 00:01:26.000]  聽我們的禱告
[00:01:26.000 --> 00:01:28.000]  是奉主耶穌基督
[00:01:28.000 --> 00:01:29.000]  明智而求
