
[00:00:00.000 --> 00:00:04.220]  很開心今天有這麼多新朋友在我們當中
[00:00:04.220 --> 00:00:06.000]  願神的慈愛
[00:00:06.000 --> 00:00:08.320]  大大的祝福你們
[00:00:08.320 --> 00:00:10.320]  以及賜福給你們
[00:00:10.320 --> 00:00:13.260]  很想和各位分享一下
[00:00:13.260 --> 00:00:15.820]  我今天可以站在台上
[00:00:15.820 --> 00:00:18.220]  和大家分享訊息
[00:00:18.220 --> 00:00:21.820]  實在是神很大的恩惠和祝福
[00:00:21.820 --> 00:00:23.320]  想當年
[00:00:23.320 --> 00:00:25.120]  我也好像大家一樣
[00:00:25.120 --> 00:00:28.320]  時時被熱心的基督徒朋友
[00:00:28.320 --> 00:00:30.320]  邀請去聽報道會
[00:00:30.320 --> 00:00:33.720]  神又安排了很多基督徒的同事
[00:00:33.720 --> 00:00:35.220]  在我的身邊
[00:00:35.220 --> 00:00:37.220]  我時時都和別人說
[00:00:37.220 --> 00:00:40.420]  是神不斷地尋找我
[00:00:40.420 --> 00:00:43.820]  神的愛真的令我很感動
[00:00:43.820 --> 00:00:48.220]  所以今天我可以在這個台上
[00:00:48.220 --> 00:00:52.120]  和大家分享無法抗拒的大愛
[00:00:52.120 --> 00:00:54.120]  剛才我也提到
[00:00:54.120 --> 00:00:56.420]  是神不斷地去找我
[00:00:56.420 --> 00:00:57.920]  今天
[00:00:57.920 --> 00:01:00.020]  我們說的聖經人物
[00:01:00.020 --> 00:01:02.020]  和分享的嘉賓
[00:01:02.020 --> 00:01:03.320]  Helen姊妹
[00:01:03.320 --> 00:01:06.420]  她們都是在追尋信仰的路上
[00:01:06.420 --> 00:01:10.620]  你猜她們和我有什麼分別呢?
[00:01:10.620 --> 00:01:14.120]  大家聽下去就自有分曉了
[00:01:14.120 --> 00:01:16.820]  在二千多年前
[00:01:16.820 --> 00:01:19.720]  有一位猶太人的長官
[00:01:19.720 --> 00:01:22.920]  他又是一位法利塞人
[00:01:22.920 --> 00:01:24.820]  當時的法利塞人
[00:01:24.820 --> 00:01:28.720]  是猶太人裡面嚴守法律的一群人
[00:01:28.720 --> 00:01:30.920]  這位高官
[00:01:30.920 --> 00:01:32.520]  猶太人的高官
[00:01:32.520 --> 00:01:35.820]  也是工會裡面的成員
[00:01:35.820 --> 00:01:39.820]  工會是猶太人的高等法院
[00:01:39.820 --> 00:01:42.620]  處理很多宗教事務
[00:01:42.620 --> 00:01:45.020]  可見這位高官
