
[00:00:00.000 --> 00:00:09.000]  我昨天去完Tammy的安息禮,是一個很感人的聚會,
[00:00:09.000 --> 00:00:13.000]  裡面在九龍殯儀館門口有很多弟兄姊妹都不能進去,
[00:00:13.000 --> 00:00:19.000]  我看到她的生命觸動了很多的生命,是一個生命的敬拜,
[00:00:19.000 --> 00:00:27.000]  在裡面只能分享她在她的人生裡面,她為自己無所求,為主求所有,
[00:00:27.000 --> 00:00:31.000]  她很簡單的生命,很簡單的生活,將所有都奉獻在神面前,
[00:00:31.000 --> 00:00:36.000]  也很認真的生命,不計較有時人對她的誤解,願意去擺上,
[00:00:36.000 --> 00:00:40.000]  這是一個生命的敬拜,我們滿心的感恩。
[00:00:40.000 --> 00:00:47.000]  今天同樣是崇拜主日,在我們當中有很多很多弟兄姊妹為我們的敬拜去擺上過。
[00:00:47.000 --> 00:00:53.000]  我記得我剛剛來到恩福的時候,倫牧師他們的敬拜和杜頌華傳道,
[00:00:53.000 --> 00:00:57.000]  帶領我們成立了我們的師班,後來Jason牧師教導我們的更新,
[00:00:57.000 --> 00:01:00.000]  今天有岳勝牧師和他太太Mary經常幫我們守,
[00:01:00.000 --> 00:01:06.000]  我們康復裡面的斯諾傳道,Edith傳道,我們有一群的同工,
[00:01:06.000 --> 00:01:11.000]  包括Clayman,Chris,Beth,Vicky,Mark,你們不在,我們想問一下他們,
[00:01:11.000 --> 00:01:17.000]  在周圍工作的全部都是嗎?我們有八九堂的崇拜,他們一起的服侍,
[00:01:17.000 --> 00:01:21.000]  建立我們的歌庫,維繫我們的隊工,
[00:01:21.000 --> 00:01:25.000]  我們的敬拜不單止是他們,也有很多很多不同的群體,
[00:01:25.000 --> 00:01:30.000]  很期望有機會多謝你們,包括我們的師士,我們的接待,
[00:01:30.000 --> 00:01:35.000]  我們的AV,在那間很小很小的房間裡,充滿了四五個人,
[00:01:35.000 --> 00:01:40.000]  在做很多事情,這些都是他們很美很美很美好的服侍。
[00:01:40.000 --> 00:01:46.000]  我自己呢,我覺得很喜歡唱詩歌的,我自己很喜歡唱,
[00:01:46.000 --> 00:01:51.000]  每一次我都很投入的,我很喜歡一首歌叫做「這是天的門,這是神的殿」,
[00:01:51.000 --> 00:01:56.000]  來到這裡的時候,我們去到主的面前,我也聽過有弟兄跟我分享,
[00:01:56.000 --> 00:02:00.000]  我看你整天上班都很辛苦,回來還要領詩,會不會很累?
[00:02:00.000 --> 00:02:05.000]  他說正正是他回來領詩的時候,他整個人重新得力,
[00:02:05.000 --> 00:02:10.000]  我覺得詩歌很特別的,將一些他們平時不會記到的東西放在裡面,
[00:02:10.000 --> 00:02:15.000]  特別音樂也有這個能力的,譬如我要你背一首詞叫「浪奔浪流」,
[00:02:15.000 --> 00:02:20.000]  你很難背的,如果配了音樂,大家一定到八十歲還記得這首歌,
[00:02:20.000 --> 00:02:26.000]  所以音樂是很特別的,將上帝的話語可以很豐富的放在我們的心裡面,
[00:02:26.000 --> 00:02:31.000]  一些我們平時記不到的東西配了音樂,就將我們帶到神的面前,
[00:02:31.000 --> 00:02:39.000]  我們真的很感謝很多的群體,在這裡令我們整個敬拜能夠得以來到神面前。
[00:02:39.000 --> 00:02:45.000]  今天在Erica Wong牧師說不如說一下敬拜,她說家喬你怎麼看敬拜的?
[00:02:45.000 --> 00:02:49.000]  她經常都想問我這件事情,我就藉著今天這個機會,
[00:02:49.000 --> 00:02:55.000]  在聖經裡面有很多很多不同的片段,發覺聖經很多不同的片段都是指向一個敬拜的真義,
[00:02:55.000 --> 00:03:01.000]  就是基督帶來一個劃時代的敬拜,我想和大家從舊約一個聖經神學的角度,
[00:03:01.000 --> 00:03:10.000]  從舊約的創世記開始,一直看到新約希伯來書,上帝怎樣營造一個合他心意的敬拜,
[00:03:10.000 --> 00:03:15.000]  以至無論我們集體的敬拜,或者我們個人的敬拜,都能夠蒙上帝的喜悅,
[00:03:15.000 --> 00:03:18.000]  我們開心的時候一起有一個禱告,
[00:03:18.000 --> 00:03:24.000]  七夕天父求祢自己親自去賜福我們在敬拜侍奉上人擺上的每一位,
[00:03:24.000 --> 00:03:28.000]  求祢自己按著命字紀念,記掛他們,
[00:03:28.000 --> 00:03:33.000]  特別我們知道我們可能在當中很多人在敬拜上,或許有一些日子受過傷,
[00:03:33.000 --> 00:03:38.000]  但是心信上帝會再一次興起我們去營造耶和華的大軍,
[00:03:38.000 --> 00:03:42.000]  求主幫助我們今天在聖經神學上建構敬拜的概念神學的時候,
[00:03:42.000 --> 00:03:48.000]  你與我們同在,讓我們看見耶穌基督的敬拜,怎樣帶我們到上帝的至聖所面前,
[00:03:48.000 --> 00:03:51.000]  我們這樣禱告,奉耶穌基督的名而求,
[00:03:51.000 --> 00:03:58.000]  今天經文不是很長的經文,不過想大家讀出來慢慢把它放在心裏,
[00:03:58.000 --> 00:04:02.000]  我們一起讀出希伯來書第十章第八節開始的一段經文,
