
[00:00:00.000 --> 00:00:04.800]  好 各位電影姊妹 早安
[00:00:04.800 --> 00:00:10.420]  平安 大家好 我是陳沛浩傳道
[00:00:10.420 --> 00:00:12.820]  叫我阿Ho就可以了
[00:00:12.820 --> 00:00:17.720]  很感恩今天可以回來青少部講道
[00:00:17.720 --> 00:00:19.220]  其實昨天已經是了
[00:00:19.220 --> 00:00:21.320]  昨天的感受更加大
[00:00:21.320 --> 00:00:25.480]  因為昨天是第一天 今天是第二天
[00:00:25.480 --> 00:00:26.680]  為甚麼感受大呢
[00:00:26.680 --> 00:00:33.880]  見到很多以前我小時候認識他的時候
[00:00:33.880 --> 00:00:36.680]  今天已經不同了
[00:00:36.680 --> 00:00:40.120]  剛才大敬拜的那個 阿Joe
[00:00:40.120 --> 00:00:44.360]  我認識他的時候 他是中一、二在樓下
[00:00:44.360 --> 00:00:47.040]  今天剛才他大敬拜
[00:00:47.040 --> 00:00:50.160]  還問一些很深度的問題
[00:00:50.160 --> 00:00:53.040]  甚麼叫敬拜呢
[00:00:53.040 --> 00:00:56.080]  給了我們很多空間去思考
[00:00:56.080 --> 00:00:59.840]  原來我們很想親近神
[00:00:59.840 --> 00:01:02.160]  心裡誠實去敬拜神
[00:01:02.160 --> 00:01:05.120]  能夠親近神是一個很好的地方
[00:01:05.120 --> 00:01:07.600]  另外又見到一些哥哥回來了
[00:01:07.600 --> 00:01:10.560]  不知道大家認不認識 李以
[00:01:10.560 --> 00:01:12.520]  我認識他的時候也是中一、二
[00:01:12.520 --> 00:01:17.760]  那時候每天在滾地沙
[00:01:17.760 --> 00:01:19.440]  沒有那麼高 很矮的
[00:01:19.440 --> 00:01:21.840]  我經常問他你在做甚麼
[00:01:21.840 --> 00:01:27.920]  竟然今天已經幾十歲在工作 做導師
[00:01:27.920 --> 00:01:30.800]  再加上我再感受幾十節心
[00:01:30.800 --> 00:01:32.560]  剛才見到他在剛才那裏
[00:01:32.560 --> 00:01:35.080]  認識他的時候是中一、二 在那裏
[00:01:35.080 --> 00:01:38.360]  林哲森加入我們AV Team
[00:01:38.360 --> 00:01:40.280]  誰知就加入了AV Team
[00:01:40.280 --> 00:01:44.560]  誰知今天已經快要成為媽媽了
[00:01:44.560 --> 00:01:50.800]  你想想我見到他們好像老懷安慰
[00:01:50.800 --> 00:01:55.440]  所以頂姐妹你們不要小看你們年輕
[00:01:55.440 --> 00:01:57.760]  今天你們中一、二、三而已
[00:01:57.760 --> 00:01:59.400]  應該是 初中說
[00:01:59.400 --> 00:02:01.000]  將來不得了
[00:02:01.000 --> 00:02:04.600]  在主裏面繼續愛主 忠心服侍主
[00:02:04.600 --> 00:02:07.240]  相信將來你們一定在主裏面
[00:02:07.240 --> 00:02:09.840]  成為一個光明的兒女
[00:02:09.840 --> 00:02:11.400]  屬神的器皿
[00:02:11.400 --> 00:02:16.240]  能夠一生去服侍主很重要 記得
[00:02:16.240 --> 00:02:18.880]  好 今天的題目叫做「慣性逆轉」
[00:02:18.880 --> 00:02:20.640]  是甚麼來的呢
[00:02:20.640 --> 00:02:23.760]  知不知道最近現在流行甚麼
[00:02:23.760 --> 00:02:25.560]  可能流行很久了
[00:02:25.560 --> 00:02:28.600]  我真的沒有想過
[00:02:28.600 --> 00:02:34.320]  我以前小時候玩陀螺
[00:02:34.320 --> 00:02:36.240]  我想你們沒有見過我玩陀螺
[00:02:36.240 --> 00:02:42.400]  那些是手動的 木來的
[00:02:42.400 --> 00:02:43.360]  你有玩過
[00:02:43.360 --> 00:02:46.960]  手動的木 在地上而已
[00:02:46.960 --> 00:02:48.400]  沒有現在這樣
[00:02:48.400 --> 00:02:53.240]  誰知我最近發現大家很喜歡玩陀螺
[00:02:53.240 --> 00:02:56.080]  舉手 誰有玩的
[00:02:56.080 --> 00:02:59.280]  那麼少 通常是男生 女生不玩
[00:02:59.280 --> 00:03:02.040]  我兒子三年級
[00:03:02.040 --> 00:03:06.440]  和大家一樣 玩陀螺
[00:03:06.440 --> 00:03:10.280]  誰知在家中 媽媽買了一個盤給他
[00:03:10.280 --> 00:03:14.480]  膠盤 然後還有一個發射器
[00:03:14.480 --> 00:03:18.760]  一拉 整個陀螺在那裡對打
[00:03:18.760 --> 00:03:21.880]  是不是 這些已經很熟悉了
[00:03:21.880 --> 00:03:24.360]  我以為兒子女兒玩而已
[00:03:24.360 --> 00:03:25.640]  和我有甚麼關係呢
[00:03:25.640 --> 00:03:27.440]  兒子就讓我玩
[00:03:27.440 --> 00:03:29.680]  誰知我不玩又自可
[00:03:29.680 --> 00:03:32.800]  一玩 咦 原來挺好玩的
[00:03:32.800 --> 00:03:35.920]  兒子兒子快點過來 我一會跟你玩
[00:03:35.920 --> 00:03:40.080]  玩了很久 坐在地上對戰
[00:03:40.080 --> 00:03:45.120]  我上網看看 原來有幾個形態
[00:03:45.120 --> 00:03:46.440]  是怎樣的
[00:03:46.440 --> 00:03:50.840]  原來有四個形
[00:03:50.840 --> 00:03:53.840]  讀一次給大家聽 有攻擊形
[00:03:53.840 --> 00:03:57.560]  外形多靈覺 移動速度很快
[00:03:57.560 --> 00:03:59.800]  主動去衝撞對手
[00:03:59.800 --> 00:04:02.600]  意圖將對手擊破
[00:04:02.600 --> 00:04:06.400]  不過持久力又不是很長
[00:04:06.400 --> 00:04:08.480]  是吧 大家記住
[00:04:08.480 --> 00:04:10.160]  這個一會兒我想說甚麼呢
[00:04:10.160 --> 00:04:12.600]  第二樣是甚麼 防禦性 防禦型
[00:04:12.600 --> 00:04:13.560]  防禦型是甚麼呢
[00:04:13.560 --> 00:04:16.960]  圓潤厚實的
[00:04:16.960 --> 00:04:19.080]  你看看弟兄姊妹有沒有圓潤厚實的
[00:04:19.080 --> 00:04:20.840]  我不是的
[00:04:20.840 --> 00:04:24.200]  重心很穩重的
[00:04:24.200 --> 00:04:25.800]  你看看我旁邊的左右
[00:04:25.800 --> 00:04:29.360]  擴撞能力很強的
[00:04:29.360 --> 00:04:31.440]  撞他不低的
[00:04:31.440 --> 00:04:35.040]  這麼圓潤厚實 你怎麼撞低他呢
[00:04:35.040 --> 00:04:37.320]  專門抵擋攻擊
[00:04:37.320 --> 00:04:41.160]  通常攻擊你的時候 誰抵擋得最強
[00:04:41.160 --> 00:04:42.840]  就是大隻佬
[00:04:42.840 --> 00:04:45.840]  很穩定的 這是防禦
[00:04:45.840 --> 00:04:47.920]  第三是甚麼 持久型
[00:04:47.920 --> 00:04:49.080]  甚麼是持久型
[00:04:49.080 --> 00:04:53.600]  底部設計講求減少磨擦 旋轉
[00:04:53.600 --> 00:04:58.560]  目標極力是延長旋轉的時間
[00:04:58.560 --> 00:05:03.920]  避免正面碰撞 消耗體力
[00:05:03.920 --> 00:05:05.480]  可以嗎 這是第三類
[00:05:05.480 --> 00:05:07.600]  第四是甚麼 平衡型
[00:05:07.600 --> 00:05:10.600]  綜合攻擊 防禦與持久能力
[00:05:10.600 --> 00:05:13.280]  沒有甚麼極端的優缺點
[00:05:13.280 --> 00:05:17.480]  能根據戰況 看戰況是怎樣打
[00:05:17.480 --> 00:05:19.080]  玩法最有彈性
[00:05:19.080 --> 00:05:24.920]  這四種 攻擊性 防禦性 持久性 和平衡性
[00:05:24.920 --> 00:05:27.800]  這個就是爆旋陀螺
[00:05:31.800 --> 00:05:35.640]  非常好 這個回應真的很好
[00:05:35.640 --> 00:05:38.800]  很難得有回應 我很感謝你
[00:05:38.800 --> 00:05:41.120]  你的回應讓我更雀躍
[00:05:41.120 --> 00:05:44.240]  但你發覺這四種形態
[00:05:44.240 --> 00:05:46.720]  雖然好像是講爆旋陀螺
[00:05:46.720 --> 00:05:48.880]  但跟我們的人都很相似
[00:05:48.880 --> 00:05:51.360]  你試想想這四種型 簡單一點
[00:05:51.360 --> 00:05:54.640]  你覺得自己是哪一種型
[00:05:54.640 --> 00:05:57.640]  你是攻擊型 防禦型
[00:05:57.640 --> 00:06:00.320]  不是講身型 是講性格
[00:06:00.320 --> 00:06:05.080]  持久型 還是平衡型 四種
[00:06:05.080 --> 00:06:09.920]  你覺得你的性格像哪一種
[00:06:09.920 --> 00:06:12.840]  多謝你 我覺得看起來
[00:06:12.840 --> 00:06:14.920]  我不是攻擊型
[00:06:14.920 --> 00:06:18.320]  我不是經常罵人 罵人
[00:06:18.320 --> 00:06:22.280]  最壞是你 突然有憤怒
[00:06:22.280 --> 00:06:25.040]  你有沒有認識一些朋友很容易憤怒
[00:06:25.040 --> 00:06:28.400]  沒有嗎 你有沒有認識一些朋友很兇
[00:06:28.400 --> 00:06:31.960]  有 特別是女生
[00:06:31.960 --> 00:06:38.600]  我是平衡型 以字面來解釋
[00:06:38.600 --> 00:06:41.720]  到時看看情況如何
[00:06:41.720 --> 00:06:44.280]  沒有什麼好壞的
[00:06:44.280 --> 00:06:49.800]  我為人很即興 看看到時情況如何
[00:06:49.800 --> 00:06:53.800]  最重要是多些彈性 隨時可以有些變化
[00:06:53.800 --> 00:06:56.760]  我不知道你是屬於哪一類
[00:06:56.760 --> 00:07:01.080]  不過聖經 今天介紹一段聖經給大家聽
[00:07:01.080 --> 00:07:02.960]  聖經不是講這些
[00:07:02.960 --> 00:07:06.440]  聖經是很想我們每一個弟兄姊妹
[00:07:06.440 --> 00:07:11.840]  都能夠成為在主裡面的光明子女
[00:07:11.840 --> 00:07:16.240]  聖經文在《耳筆所書》五章的八至十節
[00:07:16.240 --> 00:07:18.920]  我們試試一起讀一次 好嗎
[00:07:18.920 --> 00:07:21.520]  試試吧 試試一起開聲
[00:07:21.520 --> 00:07:24.120]  早上九點半不容易開聲
[00:07:24.120 --> 00:07:25.800]  以前李怡那些不理我
[00:07:25.800 --> 00:07:27.960]  今天李怡應該會理我的
[00:07:27.960 --> 00:07:29.320]  一起讀一次 好嗎
[00:07:29.320 --> 00:07:30.840]  《耳筆所書》五章的八至十節
[00:07:30.840 --> 00:07:32.360]  好 預備 1 2 3
[00:07:32.360 --> 00:07:55.480]  很短的經文在《耳筆所書》三節
[00:07:55.480 --> 00:07:57.520]  不過三節裡說了很多
[00:07:57.520 --> 00:08:02.200]  我們屬於神的子民 或者我們去了門徒
[00:08:02.200 --> 00:08:06.280]  我們如何能夠做一個光明的子女
[00:08:06.280 --> 00:08:07.480]  在《耳筆所書》裡面
[00:08:07.480 --> 00:08:10.400]  保羅當時提醒《耳筆所教會》
[00:08:10.400 --> 00:08:13.200]  或者周邊教會的信徒
[00:08:13.200 --> 00:08:16.880]  主要說了三樣很重要的特點
[00:08:16.880 --> 00:08:18.760]  這是《耳筆所書》所提的
[00:08:18.760 --> 00:08:21.320]  無論是基督律一個新的生命
[00:08:21.320 --> 00:08:22.840]  教會的合一
[00:08:22.840 --> 00:08:25.800]  以及信徒屬靈生命的實踐
[00:08:25.800 --> 00:08:26.720]  第一樣東西
[00:08:26.720 --> 00:08:30.480]  原來我們在基督裏面是一個新生命
[00:08:30.480 --> 00:08:34.640]  他說若有人在基督裏
[00:08:34.640 --> 00:08:38.200]  他就是新造的人
[00:08:38.200 --> 00:08:39.680]  舊是已過
[00:08:39.680 --> 00:08:42.120]  都變成新的了
[00:08:42.120 --> 00:08:46.240]  好 問問導師出自什麼經文
[00:08:46.240 --> 00:08:48.360]  多謝 是否這麼容易
[00:08:48.360 --> 00:08:50.440]  問這些經文
[00:08:50.440 --> 00:08:53.920]  弟兄姊妹當然回答不了 哪有這麼容易
[00:08:53.920 --> 00:08:55.880]  看到導師很回應
[00:08:55.880 --> 00:08:57.840]  他也讀得很好
[00:08:57.840 --> 00:09:03.000]  原來今天我們能夠有教會
[00:09:03.000 --> 00:09:04.160]  有音福堂
[00:09:04.160 --> 00:09:07.600]  我們能夠九時半都一起回到十二樓裏面
[00:09:07.600 --> 00:09:09.520]  一起學習神的話語
[00:09:09.520 --> 00:09:11.520]  去聽神的道
[00:09:11.520 --> 00:09:14.280]  是很重要的地方
[00:09:14.280 --> 00:09:17.280]  但最重要的不單止是神的話語
[00:09:17.280 --> 00:09:20.680]  更加是在基督裏面我們有一個新的生命
[00:09:20.680 --> 00:09:23.000]  我們信耶穌的人是有不同的
[00:09:23.000 --> 00:09:25.200]  信耶穌是不一樣的
[00:09:25.200 --> 00:09:27.560]  信耶穌是會有不同的性情
[00:09:27.560 --> 00:09:29.720]  也有不同的行事為人
[00:09:29.720 --> 00:09:30.840]  不單止是這樣
[00:09:30.840 --> 00:09:32.960]  教會裏面也需要合一
[00:09:32.960 --> 00:09:34.280]  我們有不同的性格
[00:09:34.280 --> 00:09:35.640]  有不同的性情
[00:09:35.640 --> 00:09:37.640]  有不同的年班
[00:09:37.640 --> 00:09:40.240]  甚至我們來自不同的背景
[00:09:40.240 --> 00:09:42.920]  家庭的狀況也很不同
[00:09:42.920 --> 00:09:44.320]  或者你看信仰
