
[00:00:00.000 --> 00:00:02.000]  在此給掌聲我們的主耶穌
[00:00:02.000 --> 00:00:06.600]  主耶穌對我們充滿恩典
[00:00:06.600 --> 00:00:08.840]  也犧牲了祂的性命來拯救我們
[00:00:08.840 --> 00:00:11.000]  特別我也很感謝主
[00:00:11.000 --> 00:00:13.720]  讓我有機會侍奉主這麼長的時間
[00:00:13.720 --> 00:00:16.840]  有一次正當我去廁所的時候碰到Roger
[00:00:16.840 --> 00:00:19.040]  他問我你在恩福堂做了多久
[00:00:19.040 --> 00:00:21.840]  其實數數手指也做了13年了
[00:00:21.840 --> 00:00:24.720]  其實出道做傳道人到現在
[00:00:24.720 --> 00:00:26.200]  是大概16年了
[00:00:26.200 --> 00:00:28.120]  其實很多事情都是很唏噓的
[00:00:28.120 --> 00:00:29.040]  告訴大家
[00:00:29.160 --> 00:00:31.040]  雖然很感恩,但也很唏噓的
[00:00:31.040 --> 00:00:33.880]  記得第一次自己做一個報道會的時候
[00:00:33.880 --> 00:00:35.560]  預備了很多個晚上
[00:00:35.560 --> 00:00:37.320]  寫一篇報道
[00:00:37.320 --> 00:00:39.680]  就是叫人傳福音,信耶穌的信息
[00:00:39.680 --> 00:00:41.360]  給學生聽的
[00:00:41.360 --> 00:00:42.520]  最後
[00:00:42.520 --> 00:00:44.640]  來到的人,你知道有多少個嗎?
[00:00:44.640 --> 00:00:47.680]  是有一個
[00:00:47.680 --> 00:00:49.680]  但嚴格來說
[00:00:49.680 --> 00:00:51.040]  不是一個
[00:00:51.040 --> 00:00:52.520]  因為他坐了兩分鐘
[00:00:52.520 --> 00:00:54.120]  我說了兩句,他就走了
[00:00:54.120 --> 00:00:55.720]  因為不是很對勁
[00:00:55.720 --> 00:00:57.680]  四捨五入來說
[00:00:57.680 --> 00:00:59.080]  他是零個的
[00:00:59.600 --> 00:01:00.400]  那麼
[00:01:00.400 --> 00:01:02.400]  印象中那一刻突然間想起
[00:01:02.400 --> 00:01:04.680]  其實中國歷史上有一些事情
[00:01:04.680 --> 00:01:06.320]  其實和這個環境很類似
[00:01:06.320 --> 00:01:07.520]  就是那些空椅子
[00:01:07.520 --> 00:01:09.080]  就是叫神功戲
[00:01:09.080 --> 00:01:11.160]  就是你年輕的時候你不知道
[00:01:11.160 --> 00:01:12.760]  就是那些做粵劇的人
[00:01:12.760 --> 00:01:14.360]  做給鬼神看的時候
[00:01:14.360 --> 00:01:17.200]  上面是做粵劇,下面就只有空椅子
[00:01:17.200 --> 00:01:19.920]  然後我就終於知道自己是什麼了
[00:01:19.920 --> 00:01:21.280]  就是一個殘酷的現實
[00:01:21.280 --> 00:01:25.160]  一個傳道人將報道會變成神功戲
[00:01:25.400 --> 00:01:27.400]  就是我第一次經歷
