
[00:00:00.000 --> 00:00:02.000]  (主持人:喂喂喂)
[00:00:02.000 --> 00:00:04.000]  (主持人:好,謝謝敬拜隊啦)
[00:00:04.000 --> 00:00:06.000]  (主持人:AV Team啦,詩詞啦,在我們當中去服侍啦)
[00:00:06.000 --> 00:00:09.000]  (主持人:但剛才我呢,見大家進來的時候呢)
[00:00:09.000 --> 00:00:12.000]  (主持人:即是主席去問,即是)
[00:00:12.000 --> 00:00:14.000]  (主持人:你考完試未呀?)
[00:00:14.000 --> 00:00:16.000]  (主持人:我後面見到一個原來未考試)
[00:00:16.000 --> 00:00:18.000]  (主持人:我覺得對於現在還未考試的人呢)
[00:00:18.000 --> 00:00:19.000]  (主持人:高度respect大家)
[00:00:19.000 --> 00:00:21.000]  (主持人:你見到身邊的同伴呢)
[00:00:21.000 --> 00:00:23.000]  (主持人:一個一個考完呢,其實都不容易)
[00:00:23.000 --> 00:00:25.000]  (主持人:所以鼓勵大家,繼續堅持呀)
[00:00:25.000 --> 00:00:28.000]  (主持人:鼓勵一下未考試的弟兄姊妹)
[00:00:28.000 --> 00:00:30.000]  (主持人:我見到大家的樣子呢)
[00:00:30.000 --> 00:00:34.000]  (主持人:我感受到就是近排可能考試的摧殘)
[00:00:34.000 --> 00:00:38.000]  (主持人:令到大家你的樣子如何,你的力量也必如何)
[00:00:38.000 --> 00:00:43.000]  (主持人:所以都鼓勵大家,繼續加油努力考完)
[00:00:43.000 --> 00:00:47.000]  (主持人:不如在開始進入講道之前)
[00:00:47.000 --> 00:00:49.000]  (主持人:我們有個祈禱先,我們一起禱告)
[00:00:49.000 --> 00:00:54.000]  (主持人:主願你帶領我們,要我們打開我們的心)
[00:00:54.000 --> 00:00:59.000]  (主持人:心能夠對準你,願你的話語成為我們的提醒)
[00:00:59.000 --> 00:01:02.000]  (主持人:帶領我們,願你去指引我們)
[00:01:02.000 --> 00:01:05.000]  (主持人:感謝你,祈禱交托,逢主命求,阿門)
[00:01:05.000 --> 00:01:08.000]  (主持人:如果大家有看IG就知道)
[00:01:08.000 --> 00:01:11.000]  (主持人:這個星期講到的就是這個題目)
[00:01:11.000 --> 00:01:13.000]  (主持人:阿芯已經幫我宣傳了)
[00:01:13.000 --> 00:01:19.000]  (主持人:今天是父親節,不知道大家如何預備)
[00:01:19.000 --> 00:01:21.000]  (主持人:不過今天很想和大家分享一個)
[00:01:21.000 --> 00:01:24.000]  (主持人:關於家庭的訊息)
[00:01:24.000 --> 00:01:26.000]  (主持人:第一次很想問大家一個問題)
[00:01:26.000 --> 00:01:31.000]  (主持人:你對於你家庭有什麼感覺?)
[00:01:31.000 --> 00:01:36.000]  (主持人:如果要形容你和家人的關係)
[00:01:36.000 --> 00:01:38.000]  (主持人:有什麼感覺?)
[00:01:38.000 --> 00:01:42.000]  (主持人:我想我們每一個人都有不同家庭的背景)
[00:01:42.000 --> 00:01:46.000]  (主持人:但我猜我們對家庭的感受確實是很真實的)
[00:01:46.000 --> 00:01:50.000]  (主持人:我分享一下我仍然還是青少年)
[00:01:50.000 --> 00:01:53.000]  (主持人:即是中學大專階段的時候)
[00:01:53.000 --> 00:01:56.000]  (主持人:家庭對於我來說是一個什麼東西?)
[00:01:56.000 --> 00:01:59.000]  (主持人:家庭對於我來說是一個框框)
[00:01:59.000 --> 00:02:02.000]  (主持人:這個框框從小到大給我的就是)
[00:02:02.000 --> 00:02:06.000]  (主持人:家庭教導我應該做什麼,不應該做什麼)
[00:02:06.000 --> 00:02:09.000]  (主持人:我做了那些事情就是好了)
[00:02:09.000 --> 00:02:12.000]  (主持人:這個框框帶給我有一個安全感)
[00:02:12.000 --> 00:02:15.000]  (主持人:我知道有什麼我不會走錯路)
[00:02:15.000 --> 00:02:18.000]  (主持人:不過當我去到青少年時期的時候)
[00:02:18.000 --> 00:02:20.000]  (主持人:我會有一個傾向)
[00:02:20.000 --> 00:02:23.000]  (主持人:我會很想去突破這個框框)
