
[00:00:00.000 --> 00:00:04.280]  感謝天父帶領我們一起去敬拜祂
[00:00:04.280 --> 00:00:07.320]  很感謝敬拜隊帶我們來這麼好的敬拜
[00:00:07.320 --> 00:00:10.000]  讓我們給神最大的掌聲
[00:00:10.000 --> 00:00:15.000]  (掌聲)
[00:00:15.000 --> 00:00:17.000]  讓姐妹平安
[00:00:17.000 --> 00:00:19.000]  不知道大家認不認識我呢?
[00:00:19.000 --> 00:00:22.000]  認識!其實很多人都認識的
[00:00:22.000 --> 00:00:27.000]  其實我是第一次在星期六早堂去正道
[00:00:27.000 --> 00:00:31.000]  因為我是周六晚堂的團隊
[00:00:31.000 --> 00:00:36.000]  所以主要都是在周六晚堂去正道和當職的
[00:00:36.000 --> 00:00:39.000]  今天很開心可以來到你們的當中
[00:00:39.000 --> 00:00:42.000]  去分享神的話語
[00:00:42.000 --> 00:00:44.000]  在分享神的話之前
[00:00:44.000 --> 00:00:47.000]  讓我們一同低頭禱告
[00:00:47.000 --> 00:00:49.000]  慈愛天父我們感謝你
[00:00:49.000 --> 00:00:51.000]  很感謝你招聚我們
[00:00:51.000 --> 00:00:54.000]  一同回到你的殿裡去敬拜你
[00:00:54.000 --> 00:00:56.000]  去聽你的話語
[00:00:56.000 --> 00:00:58.000]  求你打開我們心靈的眼睛
[00:00:58.000 --> 00:01:02.000]  讓我們聽得明白和清楚你的教導
[00:01:02.000 --> 00:01:05.000]  讓我們聽了道之後
[00:01:05.000 --> 00:01:07.000]  都在生活裡實踐出來
[00:01:07.000 --> 00:01:09.000]  聽我們的禱告
[00:01:09.000 --> 00:01:11.000]  是奉主耶穌基督明智而求
[00:01:11.000 --> 00:01:12.000]  阿門
[00:01:12.000 --> 00:01:16.000]  想請問一下大家
[00:01:16.000 --> 00:01:21.000]  記不記得教會35週年紀念是哪一年?
[00:01:23.000 --> 00:01:25.000]  前兩年吧
[00:01:25.000 --> 00:01:28.000]  是2022年
[00:01:28.000 --> 00:01:32.000]  當時教會除了舉辦了不同的慶祝聚會之外
[00:01:32.000 --> 00:01:35.000]  也舉辦了三場的培靈會
[00:01:35.000 --> 00:01:37.000]  不知道你們有沒有參加
[00:01:37.000 --> 00:01:39.000]  我三場都參加了
[00:01:39.000 --> 00:01:41.000]  所以我拿了禮物
[00:01:41.000 --> 00:01:45.000]  每一場的培靈會都令我很感動
[00:01:45.000 --> 00:01:48.000]  我看到神賜給教會很多的恩典
[00:01:48.000 --> 00:01:50.000]  很多的祝福
[00:01:50.000 --> 00:01:52.000]  而培靈會裡
[00:01:52.000 --> 00:01:55.000]  其中有一場的培靈會
[00:01:55.000 --> 00:01:58.000]  有一個片段令我印象很深刻
[00:01:58.000 --> 00:01:59.000]  很感動
[00:01:59.000 --> 00:02:03.000]  那一晚是創行主任宋牧師的兒子
[00:02:03.000 --> 00:02:05.000]  Watchman 去分享
[00:02:05.000 --> 00:02:09.000]  Watchman 回到教會侍奉
[00:02:09.000 --> 00:02:10.000]  做傳導人
[00:02:10.000 --> 00:02:12.000]  在第三場的培靈會
[00:02:12.000 --> 00:02:15.000]  他分享到他BB的時候
[00:02:15.000 --> 00:02:17.000]  就已經回到教會了
[00:02:17.000 --> 00:02:20.000]  他一直在教會裡長大
[00:02:20.000 --> 00:02:23.000]  因為他是宋牧師的兒子
[00:02:23.000 --> 00:02:25.000]  他知道自己要乖
