
[00:00:00.000 --> 00:00:04.800]  讓我們在講道之前一起同心去禱告
[00:00:04.800 --> 00:00:07.200]  七夕天父,我們感謝祢
[00:00:07.200 --> 00:00:09.000]  讓我們可以回到教會
[00:00:09.000 --> 00:00:11.600]  我們一起去敬拜、讚美祢
[00:00:11.600 --> 00:00:13.800]  求主祢打開我們的心
[00:00:13.800 --> 00:00:16.800]  讓我們去聆聽神理的話語
[00:00:16.800 --> 00:00:19.800]  被神理的話語提醒和幫助
[00:00:19.800 --> 00:00:22.200]  奉主耶穌基督之名祈求
[00:00:22.200 --> 00:00:24.200]  阿門
[00:00:24.200 --> 00:00:28.200]  現在我會講一段對白
[00:00:28.200 --> 00:00:32.200]  看看大家能否猜到是賣什麼的
[00:00:32.200 --> 00:00:34.200]  準備了
[00:00:34.200 --> 00:00:38.200]  做什麼這麼煩呢?白頭髮?
[00:00:38.200 --> 00:00:42.200]  你又煩?查了什麼?黃金金的?
[00:00:42.200 --> 00:00:46.200]  學我吧,逐剪變黑又得
[00:00:46.200 --> 00:00:50.200]  立即變黑曬,易得,得咗
[00:00:50.200 --> 00:00:52.200]  有沒有人看過這個廣告?
[00:00:52.200 --> 00:00:56.200]  有啊,是賣什麼的?
[00:00:56.200 --> 00:01:00.200]  我們不賣廣告的,嚴法用品
[00:01:00.200 --> 00:01:03.200]  話說當年這個廣告商
[00:01:03.200 --> 00:01:07.200]  他買斷了這個廣告的播放權
[00:01:07.200 --> 00:01:12.200]  所以這個廣告可以在電視界播出40年
[00:01:12.200 --> 00:01:14.200]  沒有重拍過
[00:01:14.200 --> 00:01:20.200]  還記不記得這個廣告有個代言人
[00:01:20.200 --> 00:01:22.200]  還記得是誰?
[00:01:22.200 --> 00:01:26.200]  曾剛,對,可以這樣說
[00:01:26.200 --> 00:01:28.200]  一見到這個品牌
[00:01:28.200 --> 00:01:30.200]  就會立即想起曾剛
[00:01:30.200 --> 00:01:32.200]  或者你見到曾剛
[00:01:32.200 --> 00:01:35.200]  都會想他有沒有用這個嚴法用品
[00:01:35.200 --> 00:01:38.200]  可以說是深入民心
[00:01:38.200 --> 00:01:40.200]  成為大家集體的回憶
[00:01:40.200 --> 00:01:43.200]  我沒有用過這個品牌
[00:01:43.200 --> 00:01:45.200]  在在有沒有朋友用過?
[00:01:45.200 --> 00:01:47.200]  不要舉手了,現在不流行
[00:01:47.200 --> 00:01:49.200]  不流行這個品牌
[00:01:49.200 --> 00:01:51.200]  一個成功的代言人
[00:01:51.200 --> 00:01:54.200]  的確可以為他代言的產品
[00:01:54.200 --> 00:01:57.200]  帶來很正面的影響
[00:01:57.200 --> 00:02:02.200]  至少可以吸引人去買他的產品
[00:02:02.200 --> 00:02:05.200]  另外,可能一見到這個代言人
[00:02:05.200 --> 00:02:08.200]  就會想起這個產品
[00:02:08.200 --> 00:02:11.200]  在聖經裏面,也有一個人
[00:02:11.200 --> 00:02:14.200]  他不是什麼品牌的代言人
