
[00:00:00.000 --> 00:00:04.920]  好,謝謝勁拜隊帶給我們勁拜的時候
[00:00:04.920 --> 00:00:08.440]  最後一首歌叫做《我心屬於你》
[00:00:08.440 --> 00:00:11.320]  今天很開心見到在座,你們回來了
[00:00:11.320 --> 00:00:15.240]  不知道你們可否預備自己的心
[00:00:15.240 --> 00:00:18.520]  這個空間,這個時間去給上帝
[00:00:18.520 --> 00:00:20.120]  剛剛另一首詩也提到
[00:00:20.120 --> 00:00:22.280]  在上帝那裡有永生的道
[00:00:22.280 --> 00:00:25.320]  回來我們能夠聽上帝這個生命的道
[00:00:25.320 --> 00:00:29.120]  相信對我們的生命也有提醒、安慰和幫助
[00:00:29.120 --> 00:00:31.120]  拍完也帶著期待的心
[00:00:31.120 --> 00:00:35.080]  我們一起聽上帝的話,成為你的幫助
[00:00:35.080 --> 00:00:40.000]  在說到這之前,我們想問大家一個問題
[00:00:40.000 --> 00:00:45.840]  你對上一次抱怨、埋怨、不滿是何時?
[00:00:45.840 --> 00:00:47.840]  給你們三秒時間想想
[00:00:47.840 --> 00:00:50.920]  不知道會否很簡單
[00:00:50.920 --> 00:00:54.920]  就是你今天早上覺得很早起床,很不想起床
[00:00:54.920 --> 00:00:57.640]  我最近看了一篇文章
[00:00:57.640 --> 00:01:01.960]  有些人專門研究抱怨的心理學
[00:01:01.960 --> 00:01:05.560]  有些學者訪問很多人
[00:01:05.560 --> 00:01:07.960]  大概計算每個人,一般人
[00:01:07.960 --> 00:01:12.160]  平均每天大概會抱怨或埋怨的聲音
[00:01:12.160 --> 00:01:14.440]  大概15至30次
[00:01:14.440 --> 00:01:16.960]  我不知道你是落在多少次之間
[00:01:16.960 --> 00:01:19.960]  你是否一般人,還是過多,還是少一點
[00:01:19.960 --> 00:01:23.160]  他再說,當我們抱怨的時候
[00:01:23.160 --> 00:01:26.520]  通常是在表達自己的一些需求
[00:01:26.520 --> 00:01:29.320]  例如,不知道你今天早上有沒有吃早餐
[00:01:29.320 --> 00:01:31.320]  不知道你覺得今天早餐好不好吃
[00:01:31.320 --> 00:01:33.920]  可能你覺得不太好吃的時候
[00:01:33.920 --> 00:01:36.720]  可能是在表達,我放假也想吃好一點
[00:01:36.720 --> 00:01:40.320]  平時上學,急忙有個麵包就要上學了
[00:01:40.320 --> 00:01:43.320]  可能是在表達你放假想吃好東西的需求
[00:01:43.320 --> 00:01:47.520]  又或者當你在抱怨有些人或有些事
[00:01:47.520 --> 00:01:50.720]  令你覺得很心疼、很累的時候
[00:01:50.720 --> 00:01:52.920]  是在表達你很需要休息
[00:01:52.920 --> 00:01:55.920]  很想停下來休息的一個需求
[00:01:55.920 --> 00:01:59.520]  又或者當你抱怨你身邊的同學、朋友
[00:01:59.520 --> 00:02:02.320]  令到你自己很失望、不開心的時候
[00:02:02.320 --> 00:02:06.320]  你是在表達,其實很想被同學、朋友關心
[00:02:06.320 --> 00:02:09.120]  想他被愛的那個需求
[00:02:09.120 --> 00:02:11.120]  每個人都有自己的需求
[00:02:11.120 --> 00:02:12.920]  覺得得不到滿足的時候
[00:02:12.920 --> 00:02:17.920]  就會引起抱怨、埋怨這些負面的情緒反應
[00:02:17.920 --> 00:02:19.920]  今天我們所看的經文
[00:02:19.920 --> 00:02:22.920]  同樣是在說以色列人的抱怨
[00:02:22.920 --> 00:02:25.520]  我們今天會繼續看《出拉及記》
[00:02:25.520 --> 00:02:29.320]  關於摩西和以色列人如何經歷上帝的一本書
[00:02:29.320 --> 00:02:32.120]  在當中,其實在《出拉及記》
[00:02:32.120 --> 00:02:34.120]  如果有學者去統計
[00:02:34.120 --> 00:02:35.920]  《出拉及記》說到以色列人
[00:02:35.920 --> 00:02:37.920]  大概有十次記載了
[00:02:37.920 --> 00:02:39.920]  十次他們對上帝的抱怨
[00:02:39.920 --> 00:02:43.520]  今次我們所看的15章22至27節
[00:02:43.520 --> 00:02:46.120]  是第一次他們在出拉及之後
[00:02:46.120 --> 00:02:48.920]  在曠野對上帝的一個抱怨
[00:02:48.920 --> 00:02:51.920]  他們覺得上帝抱怨的原因
[00:02:51.920 --> 00:02:53.920]  是因為覺得上帝不理解他們
[00:02:53.920 --> 00:02:55.920]  不明白他們的需要
[00:02:55.920 --> 00:02:58.920]  其實事實,是否真的像以色列人那樣想
[00:02:58.920 --> 00:03:01.320]  上帝不理會他們?不明白他們?
[00:03:01.320 --> 00:03:04.320]  我們今天一起去看以下的經文
[00:03:04.320 --> 00:03:08.920]  《出拉及記》15章22至27節
[00:03:08.920 --> 00:03:10.920]  我們一起先讀經文,好嗎?
[00:03:10.920 --> 00:03:12.920]  預備起
[00:03:12.920 --> 00:03:16.320]  摩西令以色列人從紅海起程
[00:03:16.320 --> 00:03:18.520]  到了舒爾的曠野
[00:03:18.520 --> 00:03:20.920]  在曠野走了三天
[00:03:20.920 --> 00:03:22.320]  找不到水
[00:03:22.320 --> 00:03:23.920]  到了馬拉
[00:03:23.920 --> 00:03:26.320]  他們不能喝馬拉的水
[00:03:26.320 --> 00:03:28.320]  因為水是苦的
[00:03:28.320 --> 00:03:30.720]  所以那地名叫馬拉
[00:03:30.720 --> 00:03:33.920]  百姓就向摩西法院言說
[00:03:33.920 --> 00:03:35.920]  我們喝什麼呢?
[00:03:35.920 --> 00:03:37.920]  摩西夫球耶和華
[00:03:37.920 --> 00:03:40.520]  耶和華只是他一棵樹
[00:03:40.520 --> 00:03:42.920]  他把樹丟在水裡
[00:03:42.920 --> 00:03:44.920]  水就變甜了
[00:03:44.920 --> 00:03:48.520]  耶和華在那裡為他們定了律例
[00:03:48.520 --> 00:03:51.520]  典章在那裡考驗他們
[00:03:51.520 --> 00:03:52.520]  他說
[00:03:52.520 --> 00:03:56.120]  你若留心聽從耶和華你神的話
[00:03:56.120 --> 00:03:58.920]  行我眼中看為正的事
[00:03:58.920 --> 00:04:00.920]  則以聽我的誡令
[00:04:00.920 --> 00:04:03.320]  遵守我一切的律例
[00:04:03.320 --> 00:04:06.920]  我就不將所加於埃及人的疾病
[00:04:06.920 --> 00:04:08.520]  加在你身上
[00:04:08.520 --> 00:04:11.520]  因為我是醫治你的耶和華
[00:04:11.520 --> 00:04:13.520]  他們到了以林
[00:04:13.520 --> 00:04:16.120]  在那裡有十二股水泉
[00:04:16.120 --> 00:04:17.720]  七十火種樹
[00:04:17.720 --> 00:04:20.920]  他們就在那裡的水邊安營
[00:04:20.920 --> 00:04:22.120]  我們先進入經文
[00:04:22.120 --> 00:04:23.120]  有禱告
[00:04:23.120 --> 00:04:25.120]  我們一起禱告
[00:04:25.120 --> 00:04:29.120]  祥天父多謝你
[00:04:29.120 --> 00:04:30.320]  你留下聖經給我們
[00:04:30.320 --> 00:04:32.720]  讓我們能夠藉著看你的話
[00:04:32.720 --> 00:04:35.320]  你的話也成為我們的幫助
[00:04:35.320 --> 00:04:37.720]  最後也求在我們心中的聖靈
[00:04:37.720 --> 00:04:39.120]  在我們心中動功
[00:04:39.120 --> 00:04:40.320]  讓我們有專心
[00:04:40.320 --> 00:04:42.320]  有精神的去明白你的話
[00:04:42.320 --> 00:04:44.920]  成為我們繼續走這條信仰路
[00:04:44.920 --> 00:04:47.120]  向前走的力量、動力
[00:04:47.120 --> 00:04:48.520]  你聽我們禱告
[00:04:48.520 --> 00:04:49.120]  也順祂禱告
[00:04:49.120 --> 00:04:51.120]  奉主耶穌基督聖名
[00:04:51.120 --> 00:04:52.120]  阿們
[00:04:52.120 --> 00:04:55.120]  進入剛剛十五章
[00:04:55.120 --> 00:04:56.720]  22到27節
[00:04:56.720 --> 00:04:59.920]  先說說《出拉及記》經過了什麼
[00:04:59.920 --> 00:05:02.120]  因為上一次和大家分享的時候
[00:05:02.120 --> 00:05:05.520]  是說摩西被上帝呼召
[00:05:05.520 --> 00:05:07.520]  他就說我不行的
[00:05:07.520 --> 00:05:09.520]  他很自卑的情況
[00:05:09.520 --> 00:05:13.320]  我們從第三至四章看完
[00:05:13.320 --> 00:05:14.720]  這次到十五章中間
[00:05:14.720 --> 00:05:16.320]  經過了什麼情況呢
[00:05:16.320 --> 00:05:19.320]  就是摩西已經回到建法老
[00:05:19.320 --> 00:05:22.120]  也是大家很熟悉的聖經故事
[00:05:22.120 --> 00:05:23.720]  已經過了十災
[00:05:23.720 --> 00:05:25.520]  上帝用他的能力
[00:05:25.520 --> 00:05:28.120]  讓埃及人在當中
[00:05:28.120 --> 00:05:31.920]  他去經歷上帝創天造理的耶護華
[00:05:31.920 --> 00:05:33.720]  甚至在十三、十四章
[00:05:33.720 --> 00:05:35.720]  都已經說到
[00:05:35.720 --> 00:05:38.520]  這群以色列人出了埃及過紅海
[00:05:38.520 --> 00:05:40.520]  經歷上帝如何透過摩西
[00:05:40.520 --> 00:05:42.120]  將紅海分開
[00:05:42.120 --> 00:05:43.720]  到了十五章頭
[00:05:43.720 --> 00:05:46.120]  說到摩西之歌是什麼呢
[00:05:46.120 --> 00:05:48.120]  就是當以色列人出完埃及
[00:05:48.120 --> 00:05:48.920]  過了紅海
[00:05:48.920 --> 00:05:50.920]  他們就跳舞唱詩
[00:05:50.920 --> 00:05:53.720]  去讚美上帝的能力和拯救
[00:05:53.720 --> 00:05:56.520]  現在我們要接著看的
[00:05:56.520 --> 00:05:58.120]  就是十五章的尾段
[00:05:58.120 --> 00:06:02.920]  說到他們去到馬拉這個地方的情況
[00:06:02.920 --> 00:06:04.720]  我們一起進入看
[00:06:04.720 --> 00:06:07.920]  先會看二十二到二十五節
[00:06:07.920 --> 00:06:10.520]  這裡說到摩西令以色列人
[00:06:10.520 --> 00:06:12.920]  由紅海起程
[00:06:12.920 --> 00:06:14.520]  到了舒爾的曠野
[00:06:14.520 --> 00:06:15.920]  在曠野行山
[00:06:15.920 --> 00:06:17.920]  都找不到水
[00:06:17.920 --> 00:06:20.720]  其實對於以色列人來說
[00:06:20.720 --> 00:06:22.920]  找不到水是很大件事
[00:06:22.920 --> 00:06:24.120]  因為在曠野
[00:06:24.120 --> 00:06:25.720]  那裡又乾又熱
[00:06:25.720 --> 00:06:28.520]  還記得之前有和大家分享過
[00:06:28.520 --> 00:06:31.120]  他們摩西令以色列人出埃及的時候
[00:06:31.120 --> 00:06:35.120]  保守估計大概有一百五十萬到二百萬人
[00:06:35.120 --> 00:06:37.320]  這樣走一路大家都沒有水
[00:06:37.320 --> 00:06:39.520]  其實都是很大件事
[00:06:39.520 --> 00:06:41.920]  當中有老弱婦孺
[00:06:41.920 --> 00:06:44.320]  有很多不同年齡層的人
[00:06:44.320 --> 00:06:49.120]  可能會容易出現死傷慘重的情況
[00:06:49.120 --> 00:06:52.720]  二十三節說到在馬拉
