
[00:00:00.000 --> 00:00:05.000]  想問大家最近半年有沒有試過因為怕失去一些東西
[00:00:05.000 --> 00:00:07.320]  或者是想捉緊一些東西
[00:00:07.320 --> 00:00:09.320]  或者有其他的原因
[00:00:09.320 --> 00:00:12.400]  所以睡得差或者睡不著呢?
[00:00:12.400 --> 00:00:14.400]  如果有的請舉手
[00:00:14.400 --> 00:00:16.600]  有我
[00:00:16.600 --> 00:00:22.200]  所以原來睡得好睡得著都不是必然的事
[00:00:22.200 --> 00:00:26.400]  不過如果我問你最近那次睡不著是什麼原因呢?
[00:00:26.400 --> 00:00:28.000]  或者睡得不好是什麼原因呢?
[00:00:28.000 --> 00:00:29.400]  應該你會回答得到的
[00:00:29.400 --> 00:00:32.400]  但如果我問你五年前或者十年前
[00:00:32.400 --> 00:00:34.000]  有沒有試過睡不著
[00:00:34.000 --> 00:00:35.600]  還有為什麼睡不著呢?
[00:00:35.600 --> 00:00:39.000]  我想未必記得我
[00:00:39.000 --> 00:00:40.400]  不過很有趣的就是
[00:00:40.400 --> 00:00:42.800]  我很多年前有一次睡不著
[00:00:42.800 --> 00:00:45.800]  到現在我還是很記得的
[00:00:45.800 --> 00:00:47.200]  那天晚上的第二天
[00:00:47.200 --> 00:00:51.400]  我要去見一間投資銀行的人事部
[00:00:51.400 --> 00:00:54.400]  之前我已經見過我的上司
[00:00:54.400 --> 00:00:58.800]  所以去見人事部應該是最後一關
[00:00:58.800 --> 00:01:00.600]  當時很想入職
[00:01:00.600 --> 00:01:03.800]  所以不想臨門一腳踢
[00:01:03.800 --> 00:01:05.000]  所以很緊張
[00:01:05.000 --> 00:01:08.200]  結果緊張到整晚都睡不著
[00:01:08.200 --> 00:01:11.200]  感恩最後都順利入職
[00:01:11.200 --> 00:01:13.200]  不過回想起來
[00:01:13.200 --> 00:01:18.200]  都知道結果根本不是我自己可以控制得到
[00:01:18.200 --> 00:01:20.200]  我都不知道有什麼對手
[00:01:20.200 --> 00:01:25.400]  而擔心和睡不著對事情都不會有幫助
[00:01:25.400 --> 00:01:28.400]  不過當時的擔心和睡不著很真實
[00:01:28.400 --> 00:01:30.000]  都不是我控制得到的
[00:01:30.000 --> 00:01:33.000]  所以人就是這麼有限
[00:01:33.000 --> 00:01:34.400]  就好像地鐵有事故
[00:01:34.400 --> 00:01:36.200]  我們都控制不到
[00:01:36.200 --> 00:01:39.000]  但很感恩我們可以一起敬拜
[00:01:39.000 --> 00:01:43.000]  今天又是職場行者系列
[00:01:43.000 --> 00:01:45.200]  講題是你有幾啞角?
[00:01:45.200 --> 00:01:47.600]  《創世記32章》的主角啞角
[00:01:47.600 --> 00:01:49.600]  他這一晚在啞博渡口
[00:01:49.600 --> 00:01:52.400]  都差不多整晚都沒有睡
[00:01:52.400 --> 00:01:54.400]  不過去到天亮的時候
[00:01:54.400 --> 00:01:56.400]  他又變得不一樣
[00:01:56.400 --> 00:01:57.400]  為什麼呢?
[00:01:57.400 --> 00:01:58.400]  我們一起來看看
[00:01:58.400 --> 00:02:01.400]  啞角當時有什麼心事
[00:02:01.400 --> 00:02:04.400]  還有那一晚他又經歷了什麼
[00:02:04.400 --> 00:02:05.400]  我們先來了解
[00:02:05.400 --> 00:02:07.400]  《創世記32章》這個時候
[00:02:07.400 --> 00:02:10.400]  是啞角人生的什麼階段
[00:02:10.400 --> 00:02:14.400]  啞角的故事相信大家都不陌生
[00:02:14.400 --> 00:02:16.400]  那就先問大家一個問題
[00:02:16.400 --> 00:02:20.400]  啞角這個名是什麼意思?
[00:02:20.400 --> 00:02:23.400]  對了,看到很多這樣的動作,很好
[00:02:23.400 --> 00:02:24.400]  雖然有時有人會問
[00:02:24.400 --> 00:02:27.400]  啞角的名字是不是叫鬼咋的意思?
[00:02:27.400 --> 00:02:29.400]  這個理解很合理
[00:02:29.400 --> 00:02:31.400]  因為他哥哥曾經說
[00:02:31.400 --> 00:02:33.400]  他名叫啞角豈不是這樣嗎?
[00:02:33.400 --> 00:02:35.400]  他欺騙了我兩次
[00:02:35.400 --> 00:02:38.400]  所以啞角確實是一個鬼咋的人
[00:02:38.400 --> 00:02:41.400]  不過啞角這個名字最直接的意思
