
[00:00:00.000 --> 00:00:02.520]  好,謝謝剛剛敬拜隊
[00:00:02.520 --> 00:00:06.200]  主席帶領我們一起去敬拜唱詩的時間
[00:00:06.200 --> 00:00:09.960]  很體會的就是主席讓我們重新思想
[00:00:09.960 --> 00:00:11.480]  特別在今天這個日子
[00:00:11.480 --> 00:00:12.520]  壽冷節的翌日
[00:00:12.520 --> 00:00:13.840]  復節的前夕
[00:00:13.840 --> 00:00:16.840]  重新思考上帝這份愛
[00:00:16.840 --> 00:00:19.840]  剛剛這首歌最後就叫做《謝謝你的愛》
[00:00:19.840 --> 00:00:21.400]  我想上帝的愛
[00:00:21.400 --> 00:00:24.640]  那份愛不只是要我們感受到
[00:00:24.640 --> 00:00:28.400]  裡面提到祂的愛是帶給我們新的生命
[00:00:28.400 --> 00:00:31.120]  我們的生命能夠從罪惡
[00:00:31.120 --> 00:00:33.600]  從黑暗中得著釋放
[00:00:33.600 --> 00:00:36.080]  盼望我們今天在座的
[00:00:36.080 --> 00:00:37.800]  都藉著上帝的話
[00:00:37.800 --> 00:00:39.080]  藉著今天的講道
[00:00:39.080 --> 00:00:43.080]  讓我們的生命再一次轉化、改變
[00:00:43.080 --> 00:00:47.600]  好,這裡看到一本書
[00:00:47.600 --> 00:00:51.680]  不知道大家時下的你們
[00:00:51.680 --> 00:00:53.800]  可能也看過很多不關心理學的書
[00:00:53.800 --> 00:00:55.160]  或者你們去書店
[00:00:55.160 --> 00:00:58.200]  也有很多關於自我成長的書
[00:00:58.200 --> 00:01:02.120]  這本書是一個心理學家叫做亞德勒
[00:01:02.120 --> 00:01:03.480]  不知道大家有沒有聽過
[00:01:03.480 --> 00:01:07.880]  亞德勒其實稱為一個自我心理學之父
[00:01:07.880 --> 00:01:12.320]  他在當中會研究一個人的成長是怎樣的
[00:01:12.320 --> 00:01:15.680]  而他當中就會研究自卑這件事
[00:01:15.680 --> 00:01:17.640]  他當中就去分析
[00:01:17.640 --> 00:01:19.640]  原來自卑也有不同的程度
[00:01:19.640 --> 00:01:24.320]  甚至在當中他有一個學說叫做自卑情結
[00:01:24.320 --> 00:01:26.240]  是什麼來的呢?
[00:01:26.240 --> 00:01:28.480]  他說自卑情結的人
[00:01:28.480 --> 00:01:32.320]  會開始在生活中不斷將自卑感
[00:01:32.320 --> 00:01:35.040]  當作一個藉口的狀態
[00:01:35.040 --> 00:01:37.920]  經常會用一種很消極的方法
[00:01:37.920 --> 00:01:40.560]  去作出一些自我的評價
[00:01:40.560 --> 00:01:43.560]  經常都會覺得自己某方面不如人
[00:01:43.560 --> 00:01:46.760]  但其實事實未必是這樣
[00:01:46.760 --> 00:01:50.680]  但因著他這種自卑情結的心理狀態
[00:01:50.680 --> 00:01:52.720]  令他自己每件事都覺得
[00:01:52.720 --> 00:01:55.440]  「我什麼都不行了,我一定是這樣」
[00:01:55.440 --> 00:01:57.920]  面對的事情、挑戰的時候
[00:01:57.920 --> 00:02:01.400]  他選擇的方法就是自暴自棄
[00:02:01.400 --> 00:02:04.120]  不求進取、怯懦
[00:02:04.120 --> 00:02:07.880]  或者他會退縮和退步
[00:02:07.880 --> 00:02:10.600]  不知道大家很多時候會想起
[00:02:10.600 --> 00:02:12.600]  可能你會覺得自我中心的人
[00:02:12.600 --> 00:02:14.600]  就是一些很自大的人
[00:02:14.600 --> 00:02:18.080]  因為你會覺得自大的人是一種很自我
[00:02:18.080 --> 00:02:19.840]  他將他的「我」放得很重要
[00:02:19.840 --> 00:02:21.920]  所有人都要聽我說
[00:02:21.920 --> 00:02:24.720]  但原來當我們細心去了解的時候
[00:02:24.720 --> 00:02:27.120]  原來今天我們看的時候
[00:02:27.120 --> 00:02:30.880]  自卑原來同樣是一個自我過大
[00:02:30.880 --> 00:02:33.280]  是一種自我中心的表現
