
[00:00:00.000 --> 00:00:02.000]  好 早安 弟兄姊妹
[00:00:02.000 --> 00:00:04.000]  早安
[00:00:04.000 --> 00:00:06.000]  早安 早安
[00:00:06.000 --> 00:00:08.000]  多謝敬拜隊
[00:00:08.000 --> 00:00:10.000]  剛才那班哥哥姐姐
[00:00:10.000 --> 00:00:12.000]  我覺得自己在台下
[00:00:12.000 --> 00:00:14.000]  都很享受敬拜
[00:00:14.000 --> 00:00:16.000]  因為剛才
[00:00:16.000 --> 00:00:18.000]  主席叫Mercy姐姐
[00:00:18.000 --> 00:00:20.000]  她告訴我們我們回來敬拜
[00:00:20.000 --> 00:00:22.000]  其實我們可能
[00:00:22.000 --> 00:00:24.000]  有時我們說敬拜是
[00:00:24.000 --> 00:00:26.000]  讚美上帝 但其實敬拜
[00:00:26.000 --> 00:00:28.000]  是否只是讚美上帝都不止
[00:00:28.000 --> 00:00:30.000]  剛才是一段很好的時間
[00:00:30.000 --> 00:00:32.000]  讓我能夠去到神的面前
[00:00:32.000 --> 00:00:34.000]  跟神聊天 再次領受
[00:00:34.000 --> 00:00:36.000]  祂的愛 希望
[00:00:36.000 --> 00:00:38.000]  往後你來到青少部
[00:00:38.000 --> 00:00:40.000]  或者你本來已經在青少部
[00:00:40.000 --> 00:00:42.000]  在敬拜裏面除了讚美上帝
[00:00:42.000 --> 00:00:44.000]  都藉著這個詩歌的時間
[00:00:44.000 --> 00:00:46.000]  跟神有溝通的時候
[00:00:46.000 --> 00:00:48.000]  可以將自己擺在
[00:00:48.000 --> 00:00:50.000]  神的面前 跟祂相處
[00:00:50.000 --> 00:00:52.000]  其實都是一個這樣的時候 多謝
[00:00:52.000 --> 00:00:54.000]  剛才那班哥哥姐姐
[00:00:54.000 --> 00:00:56.000]  我特別感動 因為我看上去
[00:00:56.000 --> 00:00:58.000]  全部都是我看著他們長大的
[00:00:58.000 --> 00:01:00.000]  他們那時候都好像
[00:01:00.000 --> 00:01:02.000]  大家這麼小 長到這麼高
[00:01:02.000 --> 00:01:04.000]  希望有一天
[00:01:04.000 --> 00:01:06.000]  你都已經很高
[00:01:06.000 --> 00:01:08.000]  我知道你已經很高
[00:01:08.000 --> 00:01:10.000]  希望你們都長高長大的時候
[00:01:10.000 --> 00:01:12.000]  你們都可以成為那些詩詩人員
