
[00:00:00.000 --> 00:00:04.000]  等子妹主內平安
[00:00:04.000 --> 00:00:08.000]  多謝敬拜隊帶我們向神獻上的敬拜
[00:00:08.000 --> 00:00:11.000]  預備我們用感恩讚美
[00:00:11.000 --> 00:00:14.000]  但又敬畏呼求
[00:00:14.000 --> 00:00:15.000]  醫治呼求
[00:00:15.000 --> 00:00:16.000]  浮避的心
[00:00:16.000 --> 00:00:19.000]  去進入聆聽神的話語
[00:00:19.000 --> 00:00:22.000]  不知道大家最近有沒有看過
[00:00:22.000 --> 00:00:25.000]  Top Gun 第二集呢
[00:00:25.000 --> 00:00:26.000]  好熱啊
[00:00:26.000 --> 00:00:28.000]  我都是聽到好評如注
[00:00:28.000 --> 00:00:32.000]  特別是狄哥強力推介之後
[00:00:32.000 --> 00:00:34.000]  狄哥說他看了兩次
[00:00:34.000 --> 00:00:35.000]  所以我也去了看
[00:00:35.000 --> 00:00:40.000]  這套戲有很多值得去細味的地方和元素
[00:00:40.000 --> 00:00:45.000]  其中一個元素就是戰友的彼此守望
[00:00:45.000 --> 00:00:50.000]  Tom Cruise 飾演的獨行俠Marvel
[00:00:50.000 --> 00:00:51.000]  他作為一個教官
[00:00:51.000 --> 00:00:54.000]  在訓練裏面他已經很強調
[00:00:54.000 --> 00:00:59.000]  戰機和戰機之間彼此要照顧
[00:00:59.000 --> 00:01:01.000]  要看著大家的安全
[00:01:01.000 --> 00:01:05.000]  Marvel 已經超強超級強
[00:01:05.000 --> 00:01:10.000]  但他在帶著戰機一起去做攻擊任務的時候
[00:01:10.000 --> 00:01:13.000]  都有兩次差點被敵人的敵機殺死
[00:01:13.000 --> 00:01:17.000]  全靠他的隊友在千鈞一髮的時候
[00:01:17.000 --> 00:01:19.000]  擊落了敵機
[00:01:19.000 --> 00:01:20.000]  對不起劇透了
[00:01:20.000 --> 00:01:21.000]  如果你還沒看
[00:01:21.000 --> 00:01:23.000]  救了他
[00:01:23.000 --> 00:01:26.000]  其實他跌入險境
[00:01:26.000 --> 00:01:31.000]  都是因為要幫其中一個隊友擋一個導彈
[00:01:31.000 --> 00:01:34.000]  所以才會跌入險境
[00:01:34.000 --> 00:01:36.000]  所以他很看到作為同伴
[00:01:36.000 --> 00:01:38.000]  那種彼此守望
[00:01:38.000 --> 00:01:42.000]  互相back up 互相cover的重要性
[00:01:42.000 --> 00:01:48.000]  亦都看到隊員之間對同伴生命的那份著緊
[00:01:48.000 --> 00:01:55.000]  今天這篇讀法仍然是福音系列的團契生活閱題
[00:01:55.000 --> 00:01:59.000]  題目是認罪與同行的團契生活
[00:01:59.000 --> 00:02:03.000]  我們會透過雅各書五章十六
[00:02:03.000 --> 00:02:04.000]  可以下一章
[00:02:04.000 --> 00:02:06.000]  五章十六至二十節
[00:02:06.000 --> 00:02:10.000]  我們作為屬神的子民和屬靈的群體
[00:02:10.000 --> 00:02:12.000]  面對屬靈爭戰的時候
[00:02:12.000 --> 00:02:13.000]  我們應該怎樣去做
[00:02:13.000 --> 00:02:16.000]  怎樣打和怎樣同行呢
[00:02:16.000 --> 00:02:20.000]  我們先一起來讀雅各書五章十六至十八節
[00:02:20.000 --> 00:02:21.000]  一二三
[00:02:21.000 --> 00:02:24.000]  所以你們要彼此認罪
[00:02:24.000 --> 00:02:25.000]  互相代求
[00:02:25.000 --> 00:02:27.000]  使你們得醫治
[00:02:27.000 --> 00:02:31.000]  二人祈禱所發的力量是大有功效的
[00:02:31.000 --> 00:02:34.000]  以利亞與我們是同樣性情的人
[00:02:34.000 --> 00:02:37.000]  他懇切地祈求不要下雨
[00:02:37.000 --> 00:02:40.000]  地上就三年六個月沒有下雨
[00:02:40.000 --> 00:02:43.000]  他又禱告天就降下雨來
[00:02:43.000 --> 00:02:45.000]  你就有了出產
[00:02:45.000 --> 00:02:48.000]  在五章十六節一開始有個所以
[00:02:48.000 --> 00:02:52.000]  顯示這幾節的經文和前面的經文有些關連
[00:02:52.000 --> 00:02:55.000]  首先在前面的十四至十五節
[00:02:55.000 --> 00:02:59.000]  是說到身體的醫治和罪的醫治
[00:02:59.000 --> 00:03:00.000]  即是靈性的醫治
[00:03:00.000 --> 00:03:05.000]  十六節繼續是說靈性問題的處理
[00:03:05.000 --> 00:03:11.000]  同時也延續了禱告有功效這個課題
[00:03:11.000 --> 00:03:15.000]  你們要彼此認罪互相代求
[00:03:15.000 --> 00:03:17.000]  使你們得醫治
[00:03:17.000 --> 00:03:19.000]  你們是指哪一個呢
[00:03:19.000 --> 00:03:21.000]  雅各書是一章一節
[00:03:21.000 --> 00:03:22.000]  已經這樣說
[00:03:22.000 --> 00:03:24.000]  神和主耶穌基督的僕人雅各
[00:03:24.000 --> 00:03:28.000]  問候散居在廚的十二個支派的人
[00:03:28.000 --> 00:03:30.000]  所以你們是指哪一個
[00:03:30.000 --> 00:03:32.000]  就是主內的弟兄姊妹
[00:03:32.000 --> 00:03:35.000]  今天這五節經文裡
[00:03:35.000 --> 00:03:38.000]  有三個命令語氣的動詞
[00:03:38.000 --> 00:03:42.000]  是雅各對主內的肢體發出的三個命令
[00:03:42.000 --> 00:03:45.000]  第一節裡就有兩個命令
[00:03:45.000 --> 00:03:50.000]  就是要彼此認罪和要互相代求
[00:03:50.000 --> 00:03:52.000]  先說認罪
[00:03:52.000 --> 00:03:55.000]  罪這個字在這五節經文裡出現了三次
[00:03:55.000 --> 00:03:59.000]  可以看到是這五節經文一個關心的課題
[00:03:59.000 --> 00:04:04.000]  認罪是指承認自己的罪
[00:04:04.000 --> 00:04:06.000]  Confess your sins
[00:04:06.000 --> 00:04:09.000]  認這個詞的詞態
[00:04:09.000 --> 00:04:13.000]  在希臘文是一個大家可能比較少聽到的語態
[00:04:13.000 --> 00:04:15.000]  不是active的語態
[00:04:15.000 --> 00:04:17.000]  也不是passive的被動語態
[00:04:17.000 --> 00:04:21.000]  而是一個叫做middle voice關心語態
[00:04:21.000 --> 00:04:26.000]  關心語態是代表這個動詞是做在自己身上
[00:04:26.000 --> 00:04:28.000]  就是認自己的罪
[00:04:28.000 --> 00:04:32.000]  在詩篇32篇三至五節
[00:04:32.000 --> 00:04:35.000]  大衛也說出了不認罪的狀態是怎樣
[00:04:35.000 --> 00:04:38.000]  我閉口不認罪的時候
[00:04:38.000 --> 00:04:41.000]  因終日心仁而骨頭枯乾
[00:04:41.000 --> 00:04:44.000]  黑夜白日你的手握在我身上沉重
[00:04:44.000 --> 00:04:47.000]  我的精力耗盡如同夏天的乾寒
[00:04:47.000 --> 00:04:49.000]  我向你尋明我的罪
[00:04:49.000 --> 00:04:51.000]  不隱瞞我的惡
[00:04:51.000 --> 00:04:54.000]  我說我要向耶和華承認我的過分
[00:04:54.000 --> 00:04:57.000]  你就赦免我的罪惡
[00:04:57.000 --> 00:05:00.000]  原來不認罪人是會沉重
[00:05:00.000 --> 00:05:03.000]  在耗盡的痛苦裡
[00:05:03.000 --> 00:05:06.000]  反而認罪是會得到神的赦免
[00:05:06.000 --> 00:05:08.000]  得到釋放的
[00:05:08.000 --> 00:05:11.000]  雅各在這裡不單是說認罪
[00:05:11.000 --> 00:05:15.000]  更加是命令要彼此認罪
[00:05:15.000 --> 00:05:18.000]  彼此英文是to each other
[00:05:18.000 --> 00:05:19.000]  如果沒有彼此
[00:05:19.000 --> 00:05:23.000]  就會只是你們要認罪
[00:05:23.000 --> 00:05:27.000]  但有種彼此就是不單止對自己
[00:05:27.000 --> 00:05:28.000]  也不單單對神
[00:05:28.000 --> 00:05:30.000]  而是在屬靈群體裡
[00:05:30.000 --> 00:05:33.000]  人與人等姐妹之間的認罪
[00:05:33.000 --> 00:05:36.000]  不是單向的而是雙向的
[00:05:36.000 --> 00:05:39.000]  彼此向對方去承認自己的罪
