
[00:00:00.000 --> 00:00:05.000]  (主持人:喂,弟兄姊妹早晨,早晨早晨)
[00:00:05.000 --> 00:00:09.000]  (主持人:嘩,黃雨大家都回來,厲害)
[00:00:09.000 --> 00:00:13.000]  (主持人:敬拜隊帶領我們去敬拜)
[00:00:13.000 --> 00:00:18.000]  (主持人:弟兄姊妹,我不知道你剛才在敬拜裡面)
[00:00:18.000 --> 00:00:21.000]  (主持人:你怎樣看崇拜?中一的弟兄姊妹)
[00:00:21.000 --> 00:00:25.000]  (主持人:你應該是第三個星期回來崇拜)
[00:00:25.000 --> 00:00:27.000]  (主持人:我不知道你有什麼體會)
[00:00:27.000 --> 00:00:29.000]  (主持人:你兒童部,或者你過去有沒有試過崇拜)
[00:00:29.000 --> 00:00:33.000]  (主持人:但我經常覺得一件事,作為初中的弟兄姊妹)
[00:00:33.000 --> 00:00:37.000]  (主持人:你有多投入敬拜,你有多願意唱歌)
[00:00:37.000 --> 00:00:43.000]  (主持人:其實就是你有多願意嘗試去經歷這個信仰多一點)
[00:00:43.000 --> 00:00:47.000]  (主持人:所以鼓勵大家,可能你未必懂得唱這首歌)
[00:00:47.000 --> 00:00:50.000]  (主持人:嘗試唱,我們一起慢慢去投入)
[00:00:50.000 --> 00:00:55.000]  (主持人:中一的弟兄姊妹,可能你未認識我,我叫凌峰)
[00:00:55.000 --> 00:00:57.000]  (主持人:中二、中三的弟兄姊妹,我都叫凌峰)
[00:00:57.000 --> 00:01:01.000]  (主持人:大家可能看到我剪了頭髮,不太習慣)
[00:01:01.000 --> 00:01:04.000]  (主持人:因為昨天那班高中和大專說,你好像新同工)
[00:01:04.000 --> 00:01:06.000]  (主持人:心想什麼事)
[00:01:06.000 --> 00:01:10.000]  (主持人:無論如何,我們一起去聽聽今天的訊息)
[00:01:10.000 --> 00:01:12.000]  (主持人:今晚和大家分享一個題目叫做)
[00:01:12.000 --> 00:01:17.000]  (主持人:人生這麼難,除了躺平,還有什麼做呢)
[00:01:17.000 --> 00:01:19.000]  (主持人:突然之間我想問大家一個問題)
[00:01:19.000 --> 00:01:23.000]  (主持人:大家十幾歲了,導師那些就再大一點)
[00:01:23.000 --> 00:01:26.000]  (主持人:你覺得人生難不難)
[00:01:26.000 --> 00:01:32.000]  (主持人:我看到有人點頭,OK)
[00:01:32.000 --> 00:01:40.000]  (主持人:可能你覺得人生難的時候,第一刻腦海想起什麼)
[00:01:40.000 --> 00:01:44.000]  (主持人:可能你會覺得,哇,又要讀書,真的很麻煩)
[00:01:44.000 --> 00:01:47.000]  (主持人:可能導師馬上想起,工作壓力很大)
[00:01:47.000 --> 00:01:53.000]  (主持人:可能你會想起,人際關係很複雜,朋友經常說是非)
[00:01:53.000 --> 00:02:00.000]  (主持人:或者回到家,跟家人關係好像不太好)
[00:02:00.000 --> 00:02:04.000]  (主持人:又或者你突如其來,有些人生發生的事情)
[00:02:04.000 --> 00:02:08.000]  (主持人:都會令你問一個問題,就是為什麼會這樣)
[00:02:08.000 --> 00:02:12.000]  (主持人:面對著很多不同的挑戰,很多不同的試煉)
[00:02:12.000 --> 00:02:16.000]  (主持人:你會覺得人生好像很累)
[00:02:16.000 --> 00:02:18.000]  (主持人:很累的時候,大家通常會做什麼呢)
[00:02:18.000 --> 00:02:22.000]  (主持人:現在大家很流行這件事,就是躺平)
[00:02:22.000 --> 00:02:26.000]  (主持人:既然人生這麼辛苦,就放棄就算了)
[00:02:26.000 --> 00:02:32.000]  (主持人:沒有期望,沒有失望,逃避可恥,但非常有用)
[00:02:32.000 --> 00:02:37.000]  (主持人:當我們回到信仰的時候,聖經教我們一些東西)
[00:02:37.000 --> 00:02:39.000]  (主持人:或者我們經常說要做些什麼呢)
[00:02:39.000 --> 00:02:46.000]  (主持人:它說我們看這些試煉和挑戰,是神給我們的考驗)
[00:02:46.000 --> 00:02:50.000]  (主持人:我不知道大家聽到這句話的時候,你第一個反應是什麼)
[00:02:50.000 --> 00:02:55.000]  (主持人:可能第一個反應是,主啊,為什麼我要面對這些東西)
[00:02:55.000 --> 00:02:58.000]  (主持人:我想躺平,我想休息一下,行不行)
[00:02:58.000 --> 00:03:01.000]  (主持人:等於我想大家想一件事)
[00:03:01.000 --> 00:03:10.000]  (主持人:如果要想你現在眼前生活裡面,一個最大的困難,挑戰和試煉)
[00:03:10.000 --> 00:03:14.000]  (主持人:你想起一件事,你想起什麼)
[00:03:14.000 --> 00:03:19.000]  (主持人:不用回答我,pop up出來,記住它)
[00:03:19.000 --> 00:03:22.000]  (主持人:你在這個過程面對挑戰的時候,有沒有想過)
[00:03:22.000 --> 00:03:26.000]  (主持人:算了,我都躺平,人生就是這樣,打一下機好過)
[00:03:26.000 --> 00:03:31.000]  (主持人:是不是,是呀,打一下機可能有些目標)
