
[00:00:00.000 --> 00:00:07.240]  好 大家不如和旁邊的說一聲新年快樂
[00:00:07.240 --> 00:00:11.080]  今天是第一個星期跟大家見面的時間
[00:00:11.080 --> 00:00:12.920]  新年快樂 大家
[00:00:12.920 --> 00:00:15.320]  看到大家都精神奕奕
[00:00:15.320 --> 00:00:18.000]  今天很冷但很開心見到你
[00:00:18.000 --> 00:00:20.480]  新的一年能夠在神極家見到大家
[00:00:20.480 --> 00:00:21.520]  都是很開心的
[00:00:21.520 --> 00:00:24.240]  姐姐剛才帶了唱詩給我們
[00:00:24.240 --> 00:00:26.840]  預備我們的心聽上你的道
[00:00:26.840 --> 00:00:28.040]  我不知道你期待嗎
[00:00:28.040 --> 00:00:32.240]  我突然想起我上年2025年的第一篇
[00:00:32.240 --> 00:00:33.280]  講到的第一個星期
[00:00:33.280 --> 00:00:35.040]  也是剛好編了在我講
[00:00:35.040 --> 00:00:36.840]  今年第一個星期也是我
[00:00:36.840 --> 00:00:38.040]  覺得很特別的
[00:00:38.040 --> 00:00:39.240]  一年也是
[00:00:39.240 --> 00:00:41.560]  由2025年到2026年
[00:00:41.560 --> 00:00:43.800]  你看到在IG
[00:00:43.800 --> 00:00:45.480]  最近如果你查看IG
[00:00:45.480 --> 00:00:47.280]  很多人都會出帖文
[00:00:47.280 --> 00:00:48.760]  Goodbye 2025
[00:00:48.760 --> 00:00:50.480]  然後就Welcome 2026
[00:00:50.480 --> 00:00:51.680]  我不知道你有沒有出過這個帖文
[00:00:51.680 --> 00:00:53.640]  或者沒有說
[00:00:53.640 --> 00:00:56.240]  有些人會回顧一下2025是怎樣
[00:00:56.240 --> 00:00:58.240]  期待著2026
[00:00:58.240 --> 00:01:00.440]  我想在IG的舉動
[00:01:00.440 --> 00:01:03.200]  也是一種去舊迎新
[00:01:03.200 --> 00:01:04.840]  Bye Bye舊的一年
[00:01:04.840 --> 00:01:05.920]  新的一年來了
[00:01:05.920 --> 00:01:07.800]  我想這也是一個儀式感
[00:01:07.800 --> 00:01:11.640]  也表達大家很期待新一年的開始
[00:01:11.640 --> 00:01:13.480]  新一年的來臨
[00:01:13.480 --> 00:01:14.520]  很多時候
[00:01:14.520 --> 00:01:16.520]  大家會做什麼呢
[00:01:16.520 --> 00:01:17.880]  立Flag
[00:01:17.880 --> 00:01:19.400]  你有沒有立什麼目標
[00:01:19.400 --> 00:01:21.640]  還有立你的Flag是什麼呢
[00:01:21.640 --> 00:01:23.840]  我今年也有一個小小的目標
[00:01:23.840 --> 00:01:25.560]  因為我最近學了日文
[00:01:25.560 --> 00:01:29.960]  很想今年考到日文某一個層次
[00:01:29.960 --> 00:01:31.360]  你年尾記得問我
[00:01:31.360 --> 00:01:32.360]  你怎樣了
[00:01:32.360 --> 00:01:33.560]  希望你記得
