
[00:00:00.000 --> 00:00:02.000]  大英姐妹好
[00:00:02.000 --> 00:00:03.000]  好
[00:00:03.000 --> 00:00:06.000]  很感恩可以在這裡跟大家分享神的話語
[00:00:06.000 --> 00:00:09.000]  我們講道之前一起低頭祈禱
[00:00:09.000 --> 00:00:11.000]  神賜給我們天賦感恩
[00:00:11.000 --> 00:00:15.000]  主因為你將你的使命賜給我們
[00:00:15.000 --> 00:00:17.000]  主求你讓我們今天晚上
[00:00:17.000 --> 00:00:19.000]  藉著你自己的話語
[00:00:19.000 --> 00:00:21.000]  藉著主你自己的呼召
[00:00:21.000 --> 00:00:24.000]  來明白一個基督徒的使命人生
[00:00:24.000 --> 00:00:27.000]  求主幫助你自己的靈與我們同在
[00:00:27.000 --> 00:00:30.000]  祈禱奉耶穌基督得勝的名禱
[00:00:30.000 --> 00:00:32.000]  好想問大家
[00:00:32.000 --> 00:00:34.000]  有多少人是很清楚
[00:00:34.000 --> 00:00:36.000]  知道你人生的使命的
[00:00:36.000 --> 00:00:38.000]  可不可以舉手
[00:00:38.000 --> 00:00:41.000]  沒有
[00:00:41.000 --> 00:00:42.000]  沒有
[00:00:42.000 --> 00:00:44.000]  有一個
[00:00:44.000 --> 00:00:47.000]  有多少人知道使命是什麼的
[00:00:47.000 --> 00:00:49.000]  可不可以舉手
[00:00:49.000 --> 00:00:52.000]  沒有
[00:00:52.000 --> 00:00:54.000]  我們連使命都不知道是什麼
[00:00:54.000 --> 00:00:56.000]  怎麼會有人生使命呢
[00:00:56.000 --> 00:00:58.000]  其實我也不知道
[00:00:58.000 --> 00:01:00.000]  於是我查字典
[00:01:00.000 --> 00:01:02.000]  字典就是這樣說
[00:01:02.000 --> 00:01:03.000]  英文字典才有
[00:01:03.000 --> 00:01:04.000]  使命是什麼
[00:01:04.000 --> 00:01:06.000]  使命是很重要的
[00:01:06.000 --> 00:01:11.000]  給一個個別或者一組的人
[00:01:11.000 --> 00:01:13.000]  特別是要越洋
[00:01:13.000 --> 00:01:15.000]  這樣才叫使命
[00:01:15.000 --> 00:01:17.000]  不過還有第二個定義
[00:01:17.000 --> 00:01:19.000]  第二個定義mission是什麼呢
[00:01:19.000 --> 00:01:22.000]  就是一個全時間的呼召
[00:01:22.000 --> 00:01:25.000]  特別在信仰的群體裡
[00:01:25.000 --> 00:01:28.000]  特別是基督徒
[00:01:28.000 --> 00:01:30.000]  要去到海外
[00:01:30.000 --> 00:01:35.000]  來將信仰傳揚出去
[00:01:35.000 --> 00:01:39.000]  可能使命是從聖經開始的
[00:01:39.000 --> 00:01:43.000]  世俗可能未必有使命這個定義
[00:01:43.000 --> 00:01:45.000]  mission這件事
[00:01:45.000 --> 00:01:48.000]  究竟使命有什麼特性呢
[00:01:48.000 --> 00:01:50.000]  使命有兩個特性
[00:01:50.000 --> 00:01:52.000]  第一個特性就是
[00:01:52.000 --> 00:01:56.000]  有一個authority
[00:01:56.000 --> 00:01:59.000]  他要去警察
[00:01:59.000 --> 00:02:03.000]  有一個權柄的組織或人
[00:02:03.000 --> 00:02:05.000]  來去警察
[00:02:05.000 --> 00:02:07.000]  第二個就是
[00:02:07.000 --> 00:02:09.000]  使命是有一個目標的
[00:02:09.000 --> 00:02:11.000]  有一個動機的
[00:02:11.000 --> 00:02:14.000]  有沒有看過mission impossible
[00:02:14.000 --> 00:02:16.000]  有沒有人不看的
[00:02:16.000 --> 00:02:19.000]  你跟AI鬥
[00:02:19.000 --> 00:02:21.000]  是不夠鬥
[00:02:21.000 --> 00:02:25.000]  所以我們有不可能的使命
[00:02:25.000 --> 00:02:29.000]  世俗使命觀念的問題是
[00:02:29.000 --> 00:02:31.000]  我們未必有ownership
[00:02:31.000 --> 00:02:34.000]  因為你上班的時候
[00:02:34.000 --> 00:02:36.000]  老闆也會給你一個使命
[00:02:36.000 --> 00:02:38.000]  不過你未必想做也未必做得好
[00:02:38.000 --> 00:02:42.000]  因為你不是想做的
[00:02:42.000 --> 00:02:44.000]  但如果將這個觀念
[00:02:44.000 --> 00:02:48.000]  帶到基督教聖經裡的時候
