
[00:00:00.000 --> 00:00:03.000]  可否給點掌聲今天的侍奉團隊
[00:00:03.000 --> 00:00:07.000]  包括敬拜隊、AV Team、獅士隊
[00:00:07.000 --> 00:00:10.000]  多謝他們為我們預備一個送拜
[00:00:10.000 --> 00:00:13.000]  剛才敬拜裏面我也很感動
[00:00:13.000 --> 00:00:16.000]  因為最近的事情發生了很多
[00:00:16.000 --> 00:00:19.000]  很多很爛的事都不知道怎樣面對
[00:00:19.000 --> 00:00:22.000]  不過敬拜裏面仍然有體會
[00:00:22.000 --> 00:00:25.000]  上帝是信實的神
[00:00:25.000 --> 00:00:27.000]  祂從來都沒有離開過我們
[00:00:27.000 --> 00:00:29.000]  希望上帝和大家同在
[00:00:29.000 --> 00:00:33.000]  祂的信實是繼續陪伴著大家開學
[00:00:33.000 --> 00:00:39.000]  今天我的講道題目是Lost and Found
[00:00:39.000 --> 00:00:42.000]  我不知道Lost and Found是想起什麼
[00:00:42.000 --> 00:00:46.000]  我就想起失物認領處
[00:00:46.000 --> 00:00:48.000]  是不是所有東西不見了
[00:00:48.000 --> 00:00:53.000]  都可以在失物認領處找回呢?
[00:00:53.000 --> 00:00:56.000]  有人是Lost Temper
[00:00:56.000 --> 00:00:58.000]  有人是Lost Mind
[00:00:58.000 --> 00:01:00.000]  有人是很Lost
[00:01:00.000 --> 00:01:05.000]  不知道這些東西在失物認領處找不找到呢?
[00:01:05.000 --> 00:01:09.000]  如果在信仰上我們都很Lost
[00:01:09.000 --> 00:01:12.000]  可能在信仰上我們Lost了
[00:01:12.000 --> 00:01:14.000]  失去了我們的熱情、熱心
[00:01:14.000 --> 00:01:16.000]  正如剛才敬拜也有提及
[00:01:16.000 --> 00:01:19.000]  或者好像沒有以前那麼投入、積極
[00:01:19.000 --> 00:01:22.000]  甚至信仰的立場也沒有了
[00:01:22.000 --> 00:01:24.000]  讀經的熱誠也沒有了
[00:01:24.000 --> 00:01:27.000]  如果失去了這些東西,如何找回呢?
[00:01:27.000 --> 00:01:31.000]  或者什麼原因令我們失去了這些東西?
[00:01:31.000 --> 00:01:34.000]  不見了又可以嗎?
[00:01:34.000 --> 00:01:37.000]  我想不見了一些物件、物品
[00:01:37.000 --> 00:01:41.000]  或者可以在失物認領處找到
[00:01:41.000 --> 00:01:43.000]  再不是就買過了
[00:01:43.000 --> 00:01:45.000]  你們那麼有錢,是吧?
[00:01:45.000 --> 00:01:48.000]  不過失去了信仰的熱情
[00:01:48.000 --> 00:01:50.000]  或者失去了真理的立場
[00:01:50.000 --> 00:01:55.000]  甚至失去了基督徒應有的生命特質
[00:01:55.000 --> 00:01:57.000]  可以如何找回呢?
[00:01:57.000 --> 00:01:59.000]  是否隨它便算了呢?
[00:01:59.000 --> 00:02:02.000]  今天很想透過尼希米記
[00:02:02.000 --> 00:02:04.000]  或者尼希米的生命
[00:02:04.000 --> 00:02:06.000]  讓我們當中有些提醒
[00:02:06.000 --> 00:02:10.000]  和讓我們了解一下有什麼值得我們學習的地方
[00:02:10.000 --> 00:02:15.000]  今天的經文是尼希米記13章7到14節
[00:02:15.000 --> 00:02:17.000]  我也想邀請大家一起讀
[00:02:17.000 --> 00:02:18.000]  好嗎?
[00:02:18.000 --> 00:02:19.000]  預備起
[00:02:19.000 --> 00:02:21.000]  我來到耶路撒冷
[00:02:21.000 --> 00:02:25.000]  才知道以利亞實為多比亞所造
[00:02:25.000 --> 00:02:31.000]  在神殿的院內為他預備屋子的那件惡事
[00:02:31.000 --> 00:02:33.000]  我非常憤怒
[00:02:33.000 --> 00:02:38.000]  就把多比亞的一切家具都從屋子裡拋出去
[00:02:38.000 --> 00:02:41.000]  我又吩咐人潔淨這屋子
[00:02:41.000 --> 00:02:48.000]  然後將神殿的器皿、掃祭和禦香搬回那裡
[00:02:48.000 --> 00:02:53.000]  我發現利美人當得的份無人供給他們
[00:02:53.000 --> 00:03:01.000]  甚至公積的利美人與歌唱的都各奔回自己的田地去了
[00:03:01.000 --> 00:03:04.000]  我就斥責官長說
[00:03:04.000 --> 00:03:07.000]  你們為何不顧神的殿呢?
[00:03:07.000 --> 00:03:09.000]  於是我召集利美人
[00:03:09.000 --> 00:03:13.000]  使他們在自己的崗位上供積
[00:03:13.000 --> 00:03:20.000]  由大眾人就把五穀、新酒和新油的十分之一送入庫房
[00:03:20.000 --> 00:03:29.000]  我派示利米亞祭司薩督文士和利美人皮大雅作師傅管理庫房
[00:03:29.000 --> 00:03:31.000]  副手是哈蘭
[00:03:31.000 --> 00:03:34.000]  哈蘭是薩克的兒子
[00:03:34.000 --> 00:03:36.000]  薩克是瑪他尼的兒子
[00:03:36.000 --> 00:03:39.000]  這些人都是忠實的
[00:03:39.000 --> 00:03:44.000]  他們的職務是分派他們輕輕所當得的佛
[00:03:44.000 --> 00:03:48.000]  我的神啊,求你因這事紀念我
[00:03:48.000 --> 00:03:53.000]  不要逃去我為神的殿與其中的禮儀所獻的忠心
[00:03:53.000 --> 00:03:55.000]  我們一起禱告
[00:03:55.000 --> 00:03:58.000]  基本上我們要禱告你
[00:03:58.000 --> 00:04:01.000]  我們真的很需要你和我們同在
[00:04:01.000 --> 00:04:04.000]  很需要你的話成為我們的力量
[00:04:04.000 --> 00:04:06.000]  成為我們的指引
[00:04:06.000 --> 00:04:09.000]  因為有時我們真的會迷失
[00:04:09.000 --> 00:04:11.000]  有時會忘記了
[00:04:11.000 --> 00:04:13.000]  願你的令同你同在
[00:04:13.000 --> 00:04:16.000]  願聖靈都在我們生命裏工作
[00:04:16.000 --> 00:04:17.000]  我們祈禱交託
[00:04:17.000 --> 00:04:19.000]  願耶穌基督的名祈求
[00:04:19.000 --> 00:04:20.000]  阿們
[00:04:20.000 --> 00:04:24.000]  講一點點利米亞祭的背景
[00:04:24.000 --> 00:04:28.000]  當時以色列國已經沒有了國
[00:04:28.000 --> 00:04:32.000]  被波斯王統治
[00:04:32.000 --> 00:04:35.000]  波斯王也擄走了一班以色列人
[00:04:35.000 --> 00:04:40.000]  利米亞是波斯王的酒政
[00:04:40.000 --> 00:04:42.000]  是一個很高級的官
[00:04:42.000 --> 00:04:46.000]  酒政不是韓劇的上宮試食
[00:04:46.000 --> 00:04:48.000]  是一個很高級的官
[00:04:48.000 --> 00:04:51.000]  在波斯王亞達薩西的20年
[00:04:51.000 --> 00:05:00.000]  波斯王容許利米亞帶領一部分的以色列回到耶路撒冷
