
[00:00:00.000 --> 00:00:06.000]  多謝敬拜隊今天帶領我們一起去學習敬拜
[00:00:06.000 --> 00:00:09.000]  學習怎樣傳一個謙卑的心
[00:00:09.000 --> 00:00:11.000]  我希望我們每個人都可以有一個開放的靈
[00:00:11.000 --> 00:00:14.000]  謙卑的心去領受神的話語
[00:00:14.000 --> 00:00:17.000]  首先想問下大家,弟兄姊妹
[00:00:17.000 --> 00:00:22.000]  不知道你們個人又或者有沒有聽過人講過
[00:00:22.000 --> 00:00:26.000]  譬如那些小朋友,行花市
[00:00:26.000 --> 00:00:28.000]  或者很多人的地方
[00:00:28.000 --> 00:00:30.000]  本來就拖著父母
[00:00:30.000 --> 00:00:33.000]  拖著拖著就會脫離
[00:00:33.000 --> 00:00:35.000]  有沒有人試過?
[00:00:35.000 --> 00:00:37.000]  又或者聽人講過?
[00:00:37.000 --> 00:00:39.000]  有吧?
[00:00:39.000 --> 00:00:44.000]  其實有沒有感覺到為什麼會脫離呢?
[00:00:44.000 --> 00:00:47.000]  明明父母都覺得在拖著
[00:00:47.000 --> 00:00:51.000]  如果是小時候自己都覺得在拖著
[00:00:51.000 --> 00:00:53.000]  其實我也試過走失
[00:00:53.000 --> 00:00:55.000]  我也覺得我一直在拖著
[00:00:55.000 --> 00:01:00.000]  但不知為什麼走著走著就脫離了
[00:01:00.000 --> 00:01:02.000]  然後就不知道拖了誰
[00:01:02.000 --> 00:01:05.000]  然後就很害怕
[00:01:05.000 --> 00:01:10.000]  很多時候在我們基督徒的生命當中
[00:01:10.000 --> 00:01:15.000]  其實都很想很用心地去拖著父神
[00:01:15.000 --> 00:01:19.000]  但不知為什麼有時候又在不知不覺當中
[00:01:19.000 --> 00:01:22.000]  拖著拖著會脫離
[00:01:22.000 --> 00:01:26.000]  然後可能拖著一個不知是什麼
[00:01:26.000 --> 00:01:28.000]  以為是父神
[00:01:28.000 --> 00:01:32.000]  也是慢慢慢慢地越走越歪
[00:01:32.000 --> 00:01:35.000]  我們一起首先做一個祈禱
[00:01:35.000 --> 00:01:42.000]  天上父神很感謝你
[00:01:42.000 --> 00:01:45.000]  感謝你設下你的話語
[00:01:45.000 --> 00:01:48.000]  讓我們知道自己的光景
[00:01:48.000 --> 00:01:51.000]  讓我們可以跟從
[00:01:51.000 --> 00:01:53.000]  求你幫助我們
[00:01:53.000 --> 00:01:56.000]  好像剛才Florence傳道提醒我們
[00:01:56.000 --> 00:01:59.000]  不要看了之後
[00:01:59.000 --> 00:02:00.000]  明白了之後
[00:02:00.000 --> 00:02:02.000]  就好像照完鏡子
[00:02:02.000 --> 00:02:04.000]  忘記了自己的樣子
[00:02:04.000 --> 00:02:07.000]  求你真的幫助我們看到自己的光景
[00:02:07.000 --> 00:02:11.000]  以致我們知道如何作出適切的回應
[00:02:11.000 --> 00:02:14.000]  保守大力我們一起學習你的話語
[00:02:14.000 --> 00:02:17.000]  禱告是奉主耶穌得勝的命求
[00:02:20.000 --> 00:02:24.000]  今天我們一起看一段經文
[00:02:24.000 --> 00:02:25.000]  比較短一點的
[00:02:25.000 --> 00:02:30.000]  在路加福音18章9至14節
[00:02:30.000 --> 00:02:33.000]  讓我們一起開始讀吧
[00:02:33.000 --> 00:02:35.000]  1 2 3
[00:02:35.000 --> 00:02:40.000]  耶穌向那些自以為義又藐視別人的人
[00:02:40.000 --> 00:02:42.000]  說了這個比喻
[00:02:42.000 --> 00:02:45.000]  有兩個人上聖殿去禱告
[00:02:45.000 --> 00:02:47.000]  一個是發理賽人
[00:02:47.000 --> 00:02:49.000]  一個是瑞利
[00:02:49.000 --> 00:02:52.000]  發理賽人獨自站著
[00:02:52.000 --> 00:02:55.000]  自言自語地禱告說
[00:02:55.000 --> 00:02:57.000]  神啊我感謝你
[00:02:57.000 --> 00:02:59.000]  我不像別人勒索
[00:02:59.000 --> 00:03:01.000]  不義姦淫
[00:03:01.000 --> 00:03:03.000]  也不像這個瑞利
[00:03:03.000 --> 00:03:06.000]  我每週禁食兩次
[00:03:06.000 --> 00:03:10.000]  凡我所得的都獻上十分之一
[00:03:10.000 --> 00:03:13.000]  那瑞利遠遠地站著
[00:03:13.000 --> 00:03:16.000]  連舉目望天也不敢
[00:03:16.000 --> 00:03:18.000]  只隨著空說
[00:03:18.000 --> 00:03:23.000]  神啊開恩可憐我這個罪人
[00:03:23.000 --> 00:03:25.000]  我告訴你們
[00:03:25.000 --> 00:03:29.000]  只有回家去被那人倒算為意料
[00:03:29.000 --> 00:03:33.000]  因為凡自告的必降為卑
[00:03:33.000 --> 00:03:37.000]  自今卑微的必升為高
[00:03:37.000 --> 00:03:40.000]  剛剛我們一起讀的經文
[00:03:40.000 --> 00:03:43.000]  相信都是一段大家非常熟悉的經文
[00:03:43.000 --> 00:03:45.000]  在這裡作者告訴我們
[00:03:45.000 --> 00:03:48.000]  耶穌用了一個比喻
[00:03:48.000 --> 00:03:51.000]  去向那些自以為義
