
[00:00:00.000 --> 00:00:03.920]  好 謝謝敬拜隊 很感動的敬拜
[00:00:03.920 --> 00:00:07.240]  開始之前 我們有一個祈禱
[00:00:07.240 --> 00:00:14.240]  親愛的主 我們感謝祢 今天我們可以一起崇拜 一起敬拜
[00:00:14.240 --> 00:00:17.920]  主啊 請祢祝福我們以下的時間
[00:00:17.920 --> 00:00:21.920]  就好像剛剛其中一首歌的歌詞裡面說
[00:00:21.920 --> 00:00:26.080]  Whatever your will is, come and do it here
[00:00:26.080 --> 00:00:31.080]  主啊 祝福我們以下的時間 幫助我們可以大大地經歷到祢
[00:00:31.080 --> 00:00:35.080]  逢耶穌基督得勝的命求 阿們
[00:00:35.080 --> 00:00:42.080]  最近我跟幾位朋友聊天 剛剛好也聊到一個相同的話題
[00:00:42.080 --> 00:00:47.080]  我們討論好人的定義是什麼
[00:00:47.080 --> 00:00:52.080]  我就跟朋友分享 我說我小時候覺得好人的定義
[00:00:52.080 --> 00:00:58.080]  就是別人對我好 讓我feel good 我就會覺得那個人是好人
[00:00:58.080 --> 00:01:05.080]  但當我長大之後 我慢慢對於好人的定義開始改變了
[00:01:05.080 --> 00:01:09.080]  長大之後 慢慢開始看到更多東西之後
[00:01:09.080 --> 00:01:17.080]  我發現到一件事 好人所做的事情不一定讓你feel good
[00:01:17.080 --> 00:01:25.080]  可能會讓你feel hurt 讓你受傷 之後你才會明白到他的好
[00:01:25.080 --> 00:01:30.080]  慢慢去明白到原來他所做的事情背後是有一個美意的
[00:01:30.080 --> 00:01:36.080]  對於好人的定義 隨著年齡的增長 我的定義也慢慢開始改變
[00:01:36.080 --> 00:01:40.080]  feel good不是唯一一個標準了
[00:01:40.080 --> 00:01:45.080]  大兄姊妹 我想問問你 你對於好人的定義是什麼
[00:01:45.080 --> 00:01:51.080]  或者再闊一點的問 如果feel good是我們唯一的衡量標準的話
[00:01:51.080 --> 00:01:59.080]  是不是我們心中的感受會影響到我們對於這個世界的價值判斷呢
[00:01:59.080 --> 00:02:07.080]  如果是的話 或許你的生命將會有越來越多的挑戰
[00:02:07.080 --> 00:02:17.080]  除了基督教的信仰 會越來越疏離 不想再接觸這個信仰
[00:02:17.080 --> 00:02:22.080]  對於整個大環境 你也會慢慢覺得被孤立
[00:02:22.080 --> 00:02:25.080]  因為你不斷focus在自己的心裡
[00:02:25.080 --> 00:02:32.080]  在2022年那一年 在香港的公開大學
[00:02:32.080 --> 00:02:38.080]  有一個討論會 討論教育和社會的關係
[00:02:38.080 --> 00:02:43.080]  當天講完後 他用了一本書 叫做青少年修養的一本書
[00:02:43.080 --> 00:02:50.080]  其中一段落 他提到 提到 實體主義的思想
[00:02:50.080 --> 00:02:57.080]  讀完這篇文章之後 我發現原來我的思想其實比較偏向個人主義
[00:02:57.080 --> 00:03:03.080]  而不是實體主義 我看完這篇文章之後 我就有很多的反思
[00:03:03.080 --> 00:03:12.080]  這篇文章提到 實體主義是一個正確處理個人與實體關係的唯一正確原則
[00:03:12.080 --> 00:03:19.080]  實體主義原則是要求我們把實體利益放在第一位 個人利益放在第二位
[00:03:19.080 --> 00:03:26.080]  當個人利益和實體利益發生矛盾的時候 應當負重實體利益
[00:03:26.080 --> 00:03:33.080]  在必要的時候 可以犧牲自己的個人利益 甚至自己的生命去維護實體利益
[00:03:33.080 --> 00:03:40.080]  我反思 如果我只是用feel good這種為一個衡量標準去看世界
[00:03:40.080 --> 00:03:46.080]  當實體主義和我個人的利益有碰撞 有矛盾的時候 我要怎樣處理呢
[00:03:46.080 --> 00:03:57.080]  我不斷地想 再深一層去討論 如果我是弱勢的一方 容忍不了實體主義的群體
[00:03:57.080 --> 00:04:00.080]  我會怎樣去回應呢 我容忍不了會怎樣去回應呢
[00:04:00.080 --> 00:04:07.080]  我是去打還是去逃呢 我打贏他們就聽我的話 他們就容忍我
[00:04:07.080 --> 00:04:12.080]  我打贏或者逃跑 試試其他的方法呢
[00:04:12.080 --> 00:04:17.080]  有沒有其他的方法 當我個人利益和實體利益有衝突的時候
[00:04:17.080 --> 00:04:20.080]  我是要用什麼方法去回應呢
