
[00:00:00.000 --> 00:00:02.560]  今天是《五經人物講道》系列
[00:00:02.560 --> 00:00:03.920]  來到尾聲了
[00:00:03.920 --> 00:00:09.360]  也是《生命記》做一個結尾的部分
[00:00:09.360 --> 00:00:10.680]  在這個部分裡
[00:00:10.680 --> 00:00:14.880]  我們是以摩西的離開作為一個結束
[00:00:14.880 --> 00:00:16.280]  摩西他一生裡
[00:00:16.280 --> 00:00:19.320]  都經歷過很多大起大跌
[00:00:19.320 --> 00:00:22.360]  他確實是一個傳奇的人物
[00:00:22.360 --> 00:00:25.160]  現在摩西的旅程來到尾聲
[00:00:25.160 --> 00:00:28.920]  他來到這個約旦河的嘉南邊道裡
[00:00:28.920 --> 00:00:32.560]  但很可惜他進不了這個嘉南地
[00:00:32.560 --> 00:00:36.800]  摩西他終於要面臨他人生最後一個重要的時刻
[00:00:36.800 --> 00:00:40.240]  就是他的時光已經來到一個終結
[00:00:40.240 --> 00:00:43.680]  就好像我們退休夠鐘下車了
[00:00:43.680 --> 00:00:45.760]  總是要失去一些東西
[00:00:45.760 --> 00:00:50.040]  摩西同樣地他都會將它失去一些東西
[00:00:50.040 --> 00:00:51.640]  他是怎樣面對
[00:00:51.640 --> 00:00:54.120]  是怎樣去自處呢
[00:00:54.120 --> 00:00:57.760]  我們人生怎樣能夠終結得好
[00:00:57.760 --> 00:01:00.240]  確實是很不容易
[00:01:00.240 --> 00:01:03.640]  你有沒有面對這個情景呢
[00:01:03.640 --> 00:01:06.960]  面對終結怎樣處理得好
[00:01:06.960 --> 00:01:11.160]  面對失去我們又做些什麼準備呢
[00:01:11.160 --> 00:01:14.840]  願主幫助我們從摩西的身上去學習
[00:01:14.840 --> 00:01:17.120]  怎樣做好這個準備
[00:01:17.120 --> 00:01:21.280]  我們一起來看一看經文
[00:01:21.280 --> 00:01:24.640]  在這個經文裡我想邀請大家
[00:01:24.640 --> 00:01:27.520]  《生命記》三十一章一至八節
[00:01:27.520 --> 00:01:30.600]  我想請男的讀單字
[00:01:30.600 --> 00:01:33.320]  姐妹讀雙字
[00:01:33.320 --> 00:01:35.720]  好 準備 1 2 3
[00:01:35.720 --> 00:01:37.720]  (掌聲)
[00:01:37.720 --> 00:01:39.720]  (掌聲)
[00:01:39.720 --> 00:01:41.720]  (掌聲)
[00:01:42.720 --> 00:01:44.720]  (掌聲)
[00:01:44.760 --> 00:01:46.760]  (掌聲)
[00:01:46.760 --> 00:01:48.760]  (掌聲)
[00:01:48.760 --> 00:01:50.760]  (掌聲)
[00:01:50.760 --> 00:01:52.760]  (掌聲)
[00:01:52.760 --> 00:01:54.760]  (掌聲)
[00:01:54.760 --> 00:01:56.760]  (法國族語)
[00:01:56.760 --> 00:01:58.760]  (法國族語)
[00:01:58.760 --> 00:02:00.760]  (法國族語)
[00:02:00.760 --> 00:02:02.760]  (法國族語)
[00:02:02.760 --> 00:02:31.660]  (廣東話)
[00:02:31.660 --> 00:02:44.660]  (廣東話)
[00:02:44.660 --> 00:03:05.660]  (廣東話)
[00:03:05.660 --> 00:03:18.660]  (廣東話)
[00:03:18.660 --> 00:03:21.660]  在這裡我們剛剛讀完一至八節
[00:03:21.660 --> 00:03:23.660]  摩西將會失去很多東西
[00:03:23.660 --> 00:03:25.660]  第一件事她失去的是什麼呢?
[00:03:25.660 --> 00:03:30.660]  她失去她的權勢地位
[00:03:30.660 --> 00:03:32.660]  即是領袖權
[00:03:32.660 --> 00:03:34.660]  在這裡告訴我們
[00:03:34.660 --> 00:03:38.660]  摩西已經到了年紀大了
[00:03:38.660 --> 00:03:41.660]  她召集了以色列人開這個大會
[00:03:41.660 --> 00:03:43.660]  說出她退下的原因
[00:03:43.660 --> 00:03:45.660]  這裡告訴我們
[00:03:45.660 --> 00:03:47.660]  她已經120歲了
[00:03:47.660 --> 00:03:49.660]  她現在不能夠和他們一起
[00:03:49.660 --> 00:03:51.660]  但我們再看
[00:03:51.660 --> 00:03:57.660]  其實是不是年紀絕對是她要退下來的原因呢?
[00:03:57.660 --> 00:04:01.660]  我們在《生命記》34章7節這裡說
[00:04:01.660 --> 00:04:03.660]  摩西死的時候120歲
[00:04:03.660 --> 00:04:05.660]  但她的身體狀況是怎樣呢?
[00:04:05.660 --> 00:04:07.660]  眼目沒有分花
[00:04:07.660 --> 00:04:09.660]  力量沒有衰退
[00:04:09.660 --> 00:04:15.660]  即是說她退下來不是主要年紀的問題
[00:04:15.660 --> 00:04:17.660]  她只是年事已高
[00:04:17.660 --> 00:04:19.660]  但她身體狀況是怎樣呢?
[00:04:19.660 --> 00:04:21.660]  都OK的
[00:04:21.660 --> 00:04:22.660]  沒有腦眼分花
[00:04:22.660 --> 00:04:24.660]  而且還是有氣有力的
[00:04:24.660 --> 00:04:29.660]  她作為出埃及記和出埃及以色列兩代人
[00:04:29.660 --> 00:04:31.660]  那個阿赫的領袖
[00:04:31.660 --> 00:04:33.660]  我想問如果她繼續留任的話
[00:04:33.660 --> 00:04:35.660]  你認為這群以色列的眾人
[00:04:35.660 --> 00:04:37.660]  有什麼反應呢?
[00:04:37.660 --> 00:04:39.660]  想不想她留下呢?
[00:04:39.660 --> 00:04:40.660]  當然想
[00:04:40.660 --> 00:04:42.660]  一定是說yes
[00:04:42.660 --> 00:04:44.660]  而且在情感上
[00:04:44.660 --> 00:04:46.660]  大家都是有千萬個不捨得她
[00:04:46.660 --> 00:04:49.660]  你還記不記得摩西曾經
[00:04:49.660 --> 00:04:51.660]  因為這群以色列人
[00:04:51.660 --> 00:04:53.660]  他們是拜金牛毒的時候得罪了神
[00:04:53.660 --> 00:04:56.660]  神就說要滅絕他們
[00:04:56.660 --> 00:04:58.660]  而摩西怎樣呢?
[00:04:58.660 --> 00:05:00.660]  為他們向神求情
[00:05:00.660 --> 00:05:04.660]  甚至她寧願將自己的名字
[00:05:04.660 --> 00:05:06.660]  在生命的冊子裡
[00:05:06.660 --> 00:05:08.660]  刪去
[00:05:08.660 --> 00:05:10.660]  她都要為了保護他們
[00:05:10.660 --> 00:05:13.660]  有這樣愛你的領袖
[00:05:13.660 --> 00:05:15.660]  你捨不捨得她卸任呢?
[00:05:15.660 --> 00:05:17.660]  當然不捨得
[00:05:17.660 --> 00:05:19.660]  就像我們一樣
[00:05:19.660 --> 00:05:22.660]  我們都不捨得我們的蘇牧師和蘇師母
[00:05:22.660 --> 00:05:24.660]  大家同不同意嗎?
[00:05:24.660 --> 00:05:25.660]  這麼小聲的
[00:05:25.660 --> 00:05:26.660]  同不同意嗎?
[00:05:26.660 --> 00:05:28.660]  當然同意
[00:05:28.660 --> 00:05:30.660]  摩西她又沒有病沒有痛
[00:05:30.660 --> 00:05:32.660]  有氣有力
[00:05:32.660 --> 00:05:34.660]  其實如果她按照別人的意願
[00:05:34.660 --> 00:05:37.660]  留下繼續做領袖
[00:05:37.660 --> 00:05:39.660]  有什麼不對呢?
[00:05:39.660 --> 00:05:43.660]  而且她畢竟相處了40年
[00:05:43.660 --> 00:05:46.660]  如今第二代的以色列人
[00:05:46.660 --> 00:05:49.660]  他們又需要迎向新的挑戰
[00:05:49.660 --> 00:05:52.660]  就是進入這個迦南之地
[00:05:52.660 --> 00:05:56.660]  他們對未來有很多未知之數
[00:05:56.660 --> 00:06:00.660]  相信摩西是知道他們的處境和需要
[00:06:00.660 --> 00:06:02.660]  如果摩西能夠留下來
[00:06:02.660 --> 00:06:06.660]  和他們一起進入歷史性的時刻
[00:06:06.660 --> 00:06:09.660]  其實一點都不過分
[00:06:09.660 --> 00:06:13.660]  大家都知道重要的話要說多少次?
