
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹各位朋友午安
[00:00:02.000 --> 00:00:05.880]  今天招待香港有點不同了
[00:00:05.880 --> 00:00:07.880]  不知道大家有沒有察覺到
[00:00:07.880 --> 00:00:11.320]  街上很多朋友穿著T恤
[00:00:11.320 --> 00:00:13.320]  有個號碼在上面
[00:00:13.320 --> 00:00:15.320]  知道是甚麼事嗎?
[00:00:15.320 --> 00:00:17.320]  馬拉松就是
[00:00:17.320 --> 00:00:20.200]  看到香港開始有活力
[00:00:20.200 --> 00:00:25.400]  希望香港社會可以慢慢回復正常
[00:00:25.400 --> 00:00:27.400]  我們繼續祈禱
[00:00:27.400 --> 00:00:29.400]  天氣冷了
[00:00:29.400 --> 00:00:32.120]  大家都要穿多件衣服
[00:00:32.120 --> 00:00:34.120]  想說說
[00:00:34.120 --> 00:00:36.920]  在全年教會各堂的崇拜
[00:00:36.920 --> 00:00:38.920]  我們每個月都有同一個主題
[00:00:38.920 --> 00:00:40.920]  這個主題是甚麼呢?
[00:00:40.920 --> 00:00:42.920]  不知道
[00:00:42.920 --> 00:00:44.920]  不要緊
[00:00:44.920 --> 00:00:46.920]  與神相遇
[00:00:46.920 --> 00:00:48.920]  我們透過大自然
[00:00:48.920 --> 00:00:50.920]  透過敬拜 透過退休
[00:00:50.920 --> 00:00:52.920]  透過禮儀
[00:00:52.920 --> 00:00:54.920]  學習如何與神相遇
[00:00:54.920 --> 00:00:56.920]  今天將會是與神相遇
[00:00:56.920 --> 00:00:58.920]  這個系列最後一講
[00:00:58.920 --> 00:01:02.920]  從聖經中與神相遇
[00:01:02.920 --> 00:01:04.920]  聖經是神所密使的
[00:01:04.920 --> 00:01:08.600]  意思是神透過人寫聖經出來
[00:01:08.600 --> 00:01:10.920]  並不是出於人意
[00:01:10.920 --> 00:01:14.680]  所以我們要確信聖經是上帝的邀請
[00:01:14.680 --> 00:01:16.680]  邀請我們親近他
[00:01:16.680 --> 00:01:20.520]  邀請我們與他相遇的其中一個方式
[00:01:20.520 --> 00:01:25.080]  有人說聖經是一本神的情書
[00:01:25.080 --> 00:01:28.200]  在當中感受到神的愛
[00:01:28.200 --> 00:01:30.200]  感受到神的安慰
[00:01:30.200 --> 00:01:32.200]  感受到神的鼓勵
[00:01:32.200 --> 00:01:37.320]  甚至上帝會藉著這本書抹乾我們的眼淚
[00:01:37.320 --> 00:01:39.320]  當我們讀聖經的時候
[00:01:39.320 --> 00:01:41.320]  聖經就像一道門
[00:01:41.320 --> 00:01:43.320]  這道門一打開的時候
[00:01:43.320 --> 00:01:45.320]  我們就可以與神相遇
[00:01:45.320 --> 00:01:47.320]  甚至在那一個時刻
[00:01:47.320 --> 00:01:49.320]  是一個很獨特富有創意的時刻
[00:01:49.320 --> 00:01:51.320]  為甚麼這樣說呢?
[00:01:51.320 --> 00:01:53.320]  因為當我們讀聖經的時候
[00:01:53.320 --> 00:01:55.320]  有機會神會觸碰你
[00:01:55.320 --> 00:01:57.320]  藉著你的說話
[00:01:57.320 --> 00:01:59.320]  鼓勵你
[00:01:59.320 --> 00:02:01.320]  甚至乎去光照你
[00:02:01.320 --> 00:02:03.320]  為甚麼說是一個有創意的時刻呢?
[00:02:03.320 --> 00:02:05.320]  因為當你被神的話語光照的時候
[00:02:05.320 --> 00:02:07.320]  你的生命有機會改變
[00:02:07.320 --> 00:02:09.320]  有機會轉化
[00:02:09.320 --> 00:02:13.320]  所以讀聖經其實是一個進入神恩典的時刻
[00:02:13.320 --> 00:02:15.320]  但可能有人說
[00:02:15.320 --> 00:02:17.320]  瘋傳到我讀聖經的時候
[00:02:17.320 --> 00:02:19.320]  沒有感受到你所說的恩典時刻
[00:02:19.320 --> 00:02:21.320]  沒有覺得被神光照過
[00:02:21.320 --> 00:02:23.320]  沒有被神觸碰過
[00:02:23.320 --> 00:02:25.320]  如果你有這個疑問的話
[00:02:25.320 --> 00:02:27.320]  就願今天的講道能夠啟發你
[00:02:27.320 --> 00:02:31.320]  如何在聖經中遇見神
[00:02:31.320 --> 00:02:33.320]  今天我們會透過士徒行主第八章
[00:02:33.320 --> 00:02:35.320]  一個外邦人的經歷
[00:02:35.320 --> 00:02:39.320]  學習如何在聖經裡與神相遇
[00:02:39.320 --> 00:02:41.320]  也很想邀請大家一起讀
[00:02:41.320 --> 00:02:45.320]  以下八章26至31節的經文
[00:02:45.320 --> 00:02:49.320]  大家看到PowerPoint了
[00:02:49.320 --> 00:02:51.320]  我們一起讀這幾節的經文
[00:02:51.320 --> 00:02:55.320]  有主一個使者對肥利說
[00:02:55.320 --> 00:02:57.320]  「起來向南走
[00:02:57.320 --> 00:03:01.320]  往那從耶路撒冷下加薩的路上去」
[00:03:01.320 --> 00:03:03.320]  那路是曠野
[00:03:03.320 --> 00:03:05.320]  肥利就起身去了
[00:03:05.320 --> 00:03:08.320]  不料有一個埃塞俄比亞人
[00:03:08.320 --> 00:03:11.320]  是個有大權的太監
[00:03:11.320 --> 00:03:15.320]  在埃塞俄比亞女王金大姬的手下
[00:03:15.320 --> 00:03:17.320]  總管銀庫
[00:03:17.320 --> 00:03:19.320]  他上耶路撒冷去禮拜
[00:03:19.320 --> 00:03:21.320]  回程中
[00:03:21.320 --> 00:03:23.320]  他坐在車上
[00:03:23.320 --> 00:03:27.320]  正唸著以賽亞先知的書
[00:03:27.320 --> 00:03:29.320]  聖靈對肥利說
[00:03:29.320 --> 00:03:33.320]  「你要靠近那車走」
[00:03:33.320 --> 00:03:35.320]  肥利就跑到太監那裡
[00:03:35.320 --> 00:03:39.320]  聽見他正唸以賽亞先知的書
[00:03:39.320 --> 00:03:43.320]  就說「你明白你所唸的嗎?」
[00:03:43.320 --> 00:03:46.320]  他說「沒有人教我」
[00:03:46.320 --> 00:03:48.320]  「怎能明白呢?」
[00:03:48.320 --> 00:03:52.320]  於是他請肥利上車與他同在
[00:03:52.320 --> 00:03:54.320]  與神相遇
[00:03:54.320 --> 00:03:56.320]  第一件事很重要的
[00:03:56.320 --> 00:03:58.320]  就是從聖經中認識神
[00:03:58.320 --> 00:04:01.320]  透過聖經我們知道神的作為
[00:04:01.320 --> 00:04:02.320]  和祂的屬性
[00:04:02.320 --> 00:04:04.320]  以致我們更加容易投入親近神
[00:04:04.320 --> 00:04:06.320]  和愛神
[00:04:06.320 --> 00:04:08.320]  如果對神沒有真正的認識
[00:04:08.320 --> 00:04:11.320]  我們可能錯過很多次與神相遇的機會
[00:04:11.320 --> 00:04:15.320]  所以我們要在聖經裡認識神
[00:04:15.320 --> 00:04:18.320]  第一點如何與神有相遇的機會
[00:04:18.320 --> 00:04:21.320]  就是要從聖經裡認識神
[00:04:21.320 --> 00:04:22.320]  經文一開始就說
[00:04:22.320 --> 00:04:25.320]  有一個主的使者對肥利說
[00:04:25.320 --> 00:04:29.320]  「起來,向南走,往那耶路撒冷」
[00:04:29.320 --> 00:04:31.320]  「下去加薩這個地方的路上」
[00:04:31.320 --> 00:04:34.320]  肥利是甚麼人呢?
[00:04:34.320 --> 00:04:37.320]  肥利其實不是耶穌的十二使徒
[00:04:37.320 --> 00:04:39.320]  他只是其中一個門徒
[00:04:39.320 --> 00:04:41.320]  肥利和我們一樣
[00:04:41.320 --> 00:04:43.320]  都身處一個動盪的時間
[00:04:43.320 --> 00:04:46.320]  為何說是一個動盪的時間呢?
[00:04:46.320 --> 00:04:48.320]  因為在第八章的第一節
[00:04:48.320 --> 00:04:49.320]  有這樣說
