
[00:00:00.000 --> 00:00:04.360]  其實《已忽所書》教會的主題裏
[00:00:04.360 --> 00:00:08.160]  第五章是講述一個很強烈的對比
[00:00:08.160 --> 00:00:09.360]  是講述光
[00:00:09.360 --> 00:00:13.160]  我們被神的光照
[00:00:13.160 --> 00:00:15.160]  被主基督的光照
[00:00:15.160 --> 00:00:19.640]  以致我們不會願意留戀在我們的暗裏
[00:00:19.640 --> 00:00:20.840]  我們的醉
[00:00:20.840 --> 00:00:22.440]  我們的軟弱裏
[00:00:22.440 --> 00:00:24.440]  是一個很強烈的對比
[00:00:24.440 --> 00:00:27.040]  所以一開始的首兩首歌
[00:00:27.040 --> 00:00:30.560]  是在一個我們很現實的世界裏面
[00:00:30.560 --> 00:00:32.160]  我們一群敬拜者
[00:00:32.160 --> 00:00:35.040]  我們向神發出我們的敬拜
[00:00:35.040 --> 00:00:36.640]  是有張力的
[00:00:36.640 --> 00:00:38.040]  但當中
[00:00:38.040 --> 00:00:39.760]  中間你聽到一些層次
[00:00:39.760 --> 00:00:40.240]  嘩
[00:00:40.240 --> 00:00:41.240]  是有一個蠢動
[00:00:41.240 --> 00:00:42.840]  是有一個Posing在裏面
[00:00:42.840 --> 00:00:45.640]  因為我們不甘於跟這個世界一樣
[00:00:45.640 --> 00:00:46.240]  弟兄姊妹
[00:00:46.240 --> 00:00:47.240]  是不是?
[00:00:47.240 --> 00:00:48.360]  應該是是的
[00:00:48.360 --> 00:00:49.240]  應該是是的
[00:00:49.240 --> 00:00:49.960]  嗯
[00:00:49.960 --> 00:00:50.760]  是看到的
[00:00:50.760 --> 00:00:52.040]  是有感覺到的
[00:00:52.040 --> 00:00:53.960]  是我們不甘於一樣的
[00:00:53.960 --> 00:00:55.240]  到第三首
[00:00:55.240 --> 00:00:55.760]  聽到嗎?
[00:00:55.760 --> 00:00:56.960]  嘩
[00:00:56.960 --> 00:00:57.840]  那些光
[00:00:57.840 --> 00:00:58.640]  那些榮耀
[00:00:58.640 --> 00:00:59.640]  聽到嗎?
[00:00:59.640 --> 00:01:01.640]  但我們也聽到當中的暗
[00:01:01.640 --> 00:01:03.640]  但到最後一首
[00:01:03.640 --> 00:01:05.840]  我也覺得敬拜者已經不管了
[00:01:05.840 --> 00:01:07.040]  已經豁出去了
[00:01:07.040 --> 00:01:09.240]  我們盡一生去敬拜
[00:01:09.240 --> 00:01:11.040]  那到這個點就是什麼呢?
[00:01:11.040 --> 00:01:12.040]  就是非常好
[00:01:12.040 --> 00:01:15.840]  就正正是我們在吃神的話的時間
[00:01:15.840 --> 00:01:18.040]  就是神去釋放他的訊息
[00:01:18.040 --> 00:01:22.040]  我們一開始再禱告求神光照我們
[00:01:22.040 --> 00:01:23.840]  天父我感謝你
[00:01:23.840 --> 00:01:27.240]  你讓一群熟悉你的人去回家
[00:01:27.240 --> 00:01:30.640]  也讓當中還有福音朋友
[00:01:30.640 --> 00:01:33.240]  你親自去吸引他們回來
[00:01:33.240 --> 00:01:38.040]  願意今晚成為他們認識耶穌基督的救恩一晚
[00:01:38.040 --> 00:01:39.840]  也感謝你聖靈
[00:01:39.840 --> 00:01:41.240]  在敬拜裏面
[00:01:41.240 --> 00:01:42.640]  你帶著我們去
[00:01:42.640 --> 00:01:44.240]  你充滿著我們
[00:01:44.240 --> 00:01:47.640]  你讓我們看到一個敬拜的圖畫
[00:01:47.640 --> 00:01:49.640]  是不物難以形容
[00:01:49.640 --> 00:01:51.440]  就在你的榮耀裏面
[00:01:51.440 --> 00:01:54.240]  我們看到你奇妙的創造
[00:01:54.240 --> 00:01:56.440]  看到我們一群受造的
[00:01:56.440 --> 00:01:57.840]  就是很願意
[00:01:57.840 --> 00:02:00.440]  我們的心去走近你的時候
[00:02:00.440 --> 00:02:02.240]  就求你柔軟我們的心
[00:02:02.240 --> 00:02:05.240]  用你主耶穌的補血去覆蓋我們
[00:02:05.240 --> 00:02:06.840]  去潔淨我們
[00:02:06.840 --> 00:02:09.840]  讓我們的生命是白如雪的時候
[00:02:09.840 --> 00:02:12.240]  我們能夠被你的轉化
[00:02:12.240 --> 00:02:15.240]  被你徹徹底底的轉化
[00:02:15.240 --> 00:02:18.240]  讓我們人生可以更加更加
[00:02:18.240 --> 00:02:21.840]  像主耶穌基督去效法神
[00:02:21.840 --> 00:02:24.440]  讓我們每一位聽到的
[00:02:24.440 --> 00:02:26.840]  都能夠願意走到
[00:02:26.840 --> 00:02:30.040]  讓我們今天走出去的時候
[00:02:30.040 --> 00:02:32.840]  願意被你的愛充滿之餘
[00:02:32.840 --> 00:02:35.440]  更加願意用你的愛
[00:02:35.440 --> 00:02:38.640]  去告訴我們身邊的人
[00:02:38.640 --> 00:02:40.640]  我們就是屬於你自己
[00:02:40.640 --> 00:02:42.640]  我們就是天父的兒女
[00:02:42.640 --> 00:02:45.040]  我們就是神的效法者
[00:02:45.040 --> 00:02:46.240]  求聖靈幫助我們
[00:02:46.240 --> 00:02:47.240]  也幫助孩子
[00:02:47.240 --> 00:02:48.840]  去釋放你的橫
[00:02:48.840 --> 00:02:50.240]  這樣禱告
[00:02:50.240 --> 00:02:52.040]  是奉我們主耶穌基督
[00:02:52.040 --> 00:02:53.640]  寶貝的名字而求
[00:02:53.640 --> 00:02:55.440]  阿們 阿們
[00:02:55.440 --> 00:02:57.040]  再次歡迎大家回來
[00:02:57.040 --> 00:02:58.840]  今天很興奮
[00:02:58.840 --> 00:03:02.040]  因為其實我的PowerPoint弄了很多次
[00:03:02.040 --> 00:03:04.240]  這份東西印了很多次
[00:03:04.240 --> 00:03:05.440]  我覺得自己已經開始
[00:03:05.440 --> 00:03:07.840]  接近不環保的邊緣
[00:03:07.840 --> 00:03:10.640]  不知道是不是我的OCD發作
[00:03:10.640 --> 00:03:12.840]  還是我寫了很多
[00:03:12.840 --> 00:03:16.240]  但是保證大家不會太超時
[00:03:16.240 --> 00:03:18.040]  今天的題目是
[00:03:18.040 --> 00:03:19.640]  被轉化的愛
[00:03:19.640 --> 00:03:21.840]  留意一下
[00:03:21.840 --> 00:03:22.640]  不會太超時
[00:03:22.640 --> 00:03:24.440]  不會超時嗎?
[00:03:24.440 --> 00:03:25.840]  氣死我了
[00:03:25.840 --> 00:03:27.240]  我會很快很快的
[00:03:27.240 --> 00:03:29.040]  但是大家要專心
[00:03:29.040 --> 00:03:30.640]  被轉化的愛
[00:03:30.640 --> 00:03:32.040]  留意是passive
[00:03:32.040 --> 00:03:34.040]  我們可不可以自己轉化自己
