
[00:00:00.000 --> 00:00:02.480]  今天宣講的講題是
[00:00:02.480 --> 00:00:05.520]  看著這四個字,大家有幾個字懂得讀嗎?
[00:00:05.520 --> 00:00:07.600]  應該是不懂得讀的,好
[00:00:07.600 --> 00:00:09.600]  第一個字是君
[00:00:09.600 --> 00:00:11.600]  是呀,五雷君頂的君
[00:00:11.600 --> 00:00:13.600]  接著是賓
[00:00:13.600 --> 00:00:17.000]  是,接著第三個字是三個數字,是嗎?
[00:00:17.000 --> 00:00:19.000]  廟,飄渺廟
[00:00:19.000 --> 00:00:21.000]  接著是仙,仙尾的仙
[00:00:21.000 --> 00:00:25.680]  所以講題是君賓廟仙
[00:00:25.680 --> 00:00:28.360]  是,那我們學那四個字吧
[00:00:28.360 --> 00:00:32.360]  所宣講的經文是俄巴底亞書的一章
[00:00:32.360 --> 00:00:33.600]  部分的節錄
[00:00:33.600 --> 00:00:37.880]  只能讓我們一起同心大聲讀出神的話語,是嗎?
[00:00:37.880 --> 00:00:42.320]  俄巴底亞書的一章,我們選用和合本的版本
[00:00:42.320 --> 00:00:43.640]  我們一起讀,是嗎?
[00:00:43.640 --> 00:00:47.640]  俄巴底亞得了耶和華的物事
[00:00:47.640 --> 00:00:49.640]  論爾東說
[00:00:49.640 --> 00:00:52.840]  我從耶和華那裡聽見訊息
[00:00:52.840 --> 00:00:56.560]  並有使者被差往列國去
[00:00:56.560 --> 00:01:01.560]  說:起來吧,一同起來與爾東爭治
[00:01:01.560 --> 00:01:05.760]  我使你爾東在列國中為最少的
[00:01:05.760 --> 00:01:08.400]  被人大大藐視
[00:01:08.400 --> 00:01:13.240]  住在山月中,居所在高處的
[00:01:13.240 --> 00:01:15.760]  你因狂傲自欺
[00:01:15.760 --> 00:01:20.360]  心裡說:誰能將我拉下地去呢?
[00:01:20.360 --> 00:01:23.160]  你雖如大鷹高飛
[00:01:23.160 --> 00:01:25.640]  在星宿之間踏窩
[00:01:25.640 --> 00:01:28.440]  我必從那裡拉下你來
[00:01:28.440 --> 00:01:30.960]  這是耶和華說的
[00:01:30.960 --> 00:01:33.960]  刀刃若來在你那裡
[00:01:33.960 --> 00:01:36.440]  或強盜夜間而來
[00:01:36.440 --> 00:01:38.840]  你何竟被剪除
[00:01:38.840 --> 00:01:41.840]  豈不偷竊直到救了嗎?
[00:01:41.840 --> 00:01:45.160]  摘葡萄的若來到你那裡
[00:01:45.160 --> 00:01:48.160]  豈不剩下些葡萄呢?
[00:01:56.640 --> 00:02:00.640]  與你結盟的都送你上路
[00:02:00.640 --> 00:02:02.440]  直到交界
[00:02:02.440 --> 00:02:05.240]  與你和好的欺騙你
[00:02:05.240 --> 00:02:06.840]  且勝過你
[00:02:06.840 --> 00:02:08.840]  與你一同吃飯的
[00:02:08.840 --> 00:02:11.440]  設下網羅陷害你
[00:02:11.440 --> 00:02:14.240]  在你心裡毫無聰明
[00:02:14.240 --> 00:02:16.840]  耶和華說:到那日
[00:02:16.840 --> 00:02:20.040]  我豈不從爾東除滅智慧人
[00:02:20.040 --> 00:02:23.240]  從以素山除滅聰明人
[00:02:23.240 --> 00:02:26.640]  提問:你的勇士必驚惶
