
[00:00:00.000 --> 00:00:04.200]  除了每個月一次全教會的講道系列
[00:00:04.200 --> 00:00:06.400]  原來我們星期六早堂
[00:00:06.400 --> 00:00:08.200]  在今年也開始了
[00:00:08.200 --> 00:00:11.800]  講貼撒羅尼加前後書的講道系列
[00:00:11.800 --> 00:00:15.200]  而上星期嘉儀牧師已經和我們開始了
[00:00:15.200 --> 00:00:17.200]  貼撒羅尼加前書的第一章
[00:00:17.200 --> 00:00:19.800]  今天我們會進入第二章
[00:00:19.800 --> 00:00:22.000]  我們開始時一起祈禱吧
[00:00:22.000 --> 00:00:26.000]  天上父
[00:00:26.000 --> 00:00:28.800]  為我們捨己的耶穌
[00:00:28.800 --> 00:00:31.600]  和引導我們的聖靈
[00:00:31.600 --> 00:00:33.800]  願祢都是
[00:00:33.800 --> 00:00:35.800]  幫助我們今天來到這個
[00:00:35.800 --> 00:00:38.600]  祢的家裏面去敬拜祢的時候
[00:00:38.600 --> 00:00:41.000]  求祢幫助我們
[00:00:41.000 --> 00:00:43.600]  知道怎樣的全意將我們獻上
[00:00:43.600 --> 00:00:45.600]  全心全意的去
[00:00:45.600 --> 00:00:48.400]  聆聽祢和我們要講的說話
[00:00:48.400 --> 00:00:50.800]  幫助我們明白祢的真理
[00:00:50.800 --> 00:00:53.600]  以致我們可以活出這個尾線
[00:00:53.600 --> 00:00:56.800]  活出在祢裏面的生命的不一樣
[00:00:56.800 --> 00:00:58.800]  感謝神聽我們祈禱
[00:00:58.800 --> 00:01:00.800]  祈禱過奉主耶穌的德性命救
[00:01:00.800 --> 00:01:02.800]  阿們
[00:01:02.800 --> 00:01:05.600]  大堂節目我想問問大家
[00:01:05.600 --> 00:01:08.800]  不知道你們覺得保羅厲害嗎?
[00:01:08.800 --> 00:01:10.400]  厲害吧
[00:01:10.400 --> 00:01:12.800]  彼得呢?彼得和雅各厲害嗎?
[00:01:12.800 --> 00:01:14.800]  厲害
[00:01:14.800 --> 00:01:16.400]  說近一點吧
[00:01:16.400 --> 00:01:18.800]  例如一出生
[00:01:18.800 --> 00:01:20.400]  沒有了四肢
[00:01:20.400 --> 00:01:24.200]  卻仍然可以用自己先天的缺陷
[00:01:24.200 --> 00:01:25.600]  去取笑自己
[00:01:25.600 --> 00:01:27.800]  到處分享福音
[00:01:27.800 --> 00:01:30.000]  鼓勵年青人的澳洲報道家
[00:01:30.000 --> 00:01:31.600]  知道我說誰嗎?
[00:01:31.600 --> 00:01:33.400]  尼克勒
[00:01:33.400 --> 00:01:34.400]  尼克·胡捷
[00:01:34.400 --> 00:01:36.000]  你覺得他厲害嗎?
[00:01:36.000 --> 00:01:36.600]  厲害
[00:01:36.600 --> 00:01:39.400]  大家齊聲都很厲害
[00:01:39.400 --> 00:01:41.400]  又或者當我們看到
[00:01:41.400 --> 00:01:43.400]  某某基督教的機構
[00:01:43.400 --> 00:01:45.200]  一些錄影見證
[00:01:45.200 --> 00:01:46.600]  當中的主人翁
[00:01:46.600 --> 00:01:48.400]  怎樣去跨越困難
[00:01:48.400 --> 00:01:50.000]  勝過限制
[00:01:50.000 --> 00:01:52.000]  為主作見證的時候
[00:01:52.000 --> 00:01:55.000]  你會不會同樣給他們的生命
[00:01:55.000 --> 00:01:57.000]  給他們對主的忠誠
[00:01:57.000 --> 00:02:00.600]  靠主迎難而上的表現而激勵?
[00:02:00.600 --> 00:02:02.200]  會吧
[00:02:02.200 --> 00:02:03.600]  相信多多少少
[00:02:03.600 --> 00:02:06.600]  我們都會被這些不同的基督徒生命所感動
[00:02:06.600 --> 00:02:09.200]  很羨慕他們的勇氣和信心
[00:02:09.200 --> 00:02:11.000]  是嗎?
[00:02:11.000 --> 00:02:13.600]  但倘若有人跟我們說
[00:02:13.600 --> 00:02:16.600]  其實我們都可以跟他們一樣
[00:02:16.600 --> 00:02:19.600]  為主作美好的見證
[00:02:19.600 --> 00:02:23.200]  我們的回應會是怎樣?
[00:02:23.200 --> 00:02:25.800]  靜了很多
[00:02:25.800 --> 00:02:27.000]  很多時候
[00:02:27.000 --> 00:02:29.400]  我們都會很快回應說
[00:02:29.400 --> 00:02:31.800]  我們不可以像他們那樣
[00:02:31.800 --> 00:02:33.200]  我們不一樣
[00:02:33.200 --> 00:02:35.000]  他們有大一點的勇氣
[00:02:35.000 --> 00:02:36.800]  有信心、有毅力
[00:02:36.800 --> 00:02:39.000]  不是我們
[00:02:39.000 --> 00:02:41.200]  是不是很矛盾呢?
[00:02:41.200 --> 00:02:43.800]  我們一方面很羨慕
[00:02:43.800 --> 00:02:47.000]  很希望我們自己好像有他們這樣的勇氣
[00:02:47.000 --> 00:02:50.000]  但他覺得自己做不到
[00:02:50.000 --> 00:02:53.600]  只有一個債才沒有
[00:02:53.600 --> 00:02:58.000]  不如讓我們一起來看看今天的經文
[00:02:58.000 --> 00:03:01.800]  在《貼薩羅尼加前書》第二章1至20節
[00:03:01.800 --> 00:03:06.200]  看看寶來又是怎樣做得到的
