
[00:00:00.000 --> 00:00:02.000]  各位頂智妹、各位朋友,早安!
[00:00:02.000 --> 00:00:03.480]  主內平安!
[00:00:03.480 --> 00:00:06.000]  我們用掌聲感謝敬拜隊帶領我們的敬拜,好嗎?
[00:00:06.000 --> 00:00:11.720]  我們也是用這些掌聲向上帝表達我們的感恩
[00:00:11.720 --> 00:00:15.480]  在風雨的衝擊、在疫情的衝擊之下
[00:00:15.480 --> 00:00:18.280]  我們仍然能夠實體的聚會
[00:00:18.280 --> 00:00:23.360]  我自己也覺得能夠實體跟大家在崇拜上分享相識
[00:00:23.360 --> 00:00:25.360]  其實也不是一件必然的事
[00:00:25.360 --> 00:00:31.360]  我回想我上次跟大家在崇拜上分享相識的時間
[00:00:31.360 --> 00:00:35.720]  其實是在四月,那時也是第五波疫情的高峰
[00:00:35.720 --> 00:00:39.880]  我還跟大家分享我有六個家人確診,不知道大家是否記得
[00:00:39.880 --> 00:00:42.360]  這個病真的很奇怪,實不相瞞
[00:00:42.360 --> 00:00:48.160]  我看中招之後,身體跟常人是無異的
[00:00:48.160 --> 00:00:52.160]  他還在家裡戴著口罩,周圍走來走去
[00:00:52.160 --> 00:00:55.960]  我心想要中招一起中招吧,不要緊
[00:00:55.960 --> 00:00:58.960]  誰知道我跟女兒什麼事都沒有
[00:00:58.960 --> 00:01:00.760]  她這樣走出走入都沒有
[00:01:00.760 --> 00:01:06.960]  不過我哥哥去年因為工作關係上了國內
[00:01:06.960 --> 00:01:08.960]  先打了一針國藥
[00:01:08.960 --> 00:01:11.360]  然後再回香港再打三針復必泰
[00:01:11.360 --> 00:01:12.760]  結果他還能不能中招呢?
[00:01:12.760 --> 00:01:15.760]  我這樣問,我想答案也猜到了
[00:01:15.760 --> 00:01:19.360]  四針都中招,結果他家人又怎樣呢?
[00:01:19.360 --> 00:01:21.360]  一個都沒事
[00:01:21.360 --> 00:01:24.960]  應該中招的就不中招
[00:01:24.960 --> 00:01:29.360]  不應該中招的又會中招
[00:01:29.360 --> 00:01:30.360]  各位電影節目的朋友
[00:01:30.360 --> 00:01:38.560]  你敢不敢受到人生那種不似預期?
[00:01:38.560 --> 00:01:43.360]  你認為人生是一種隨機的意外
[00:01:43.360 --> 00:01:48.360]  還是在我們那些不似預期的背後
[00:01:48.360 --> 00:01:53.760]  冥冥中有主宰的安排呢?
[00:01:53.760 --> 00:01:55.760]  回顧你的人生
[00:01:55.760 --> 00:01:59.760]  最能塑造今天的你的遭遇
[00:01:59.760 --> 00:02:05.160]  往往是不是那些你沒有預期的遭遇呢?
[00:02:05.160 --> 00:02:11.760]  早前我有一次機會認識一個全球性的組織
[00:02:11.760 --> 00:02:15.360]  叫做International Justice Mission,IJM
[00:02:15.360 --> 00:02:19.760]  對不起,暫時未有官方的中文名稱
[00:02:19.760 --> 00:02:25.160]  讓我姑且翻譯成國際公義使命團
[00:02:25.160 --> 00:02:27.760]  這是一個以基督信仰為本
[00:02:27.760 --> 00:02:30.960]  去保護貧困的人口
