
[00:00:00.000 --> 00:00:02.000]  我們給他們掌聲
[00:00:02.000 --> 00:00:07.000]  張榮耀還讚歸我們的神 給更大的掌聲我們的神
[00:00:07.000 --> 00:00:11.000]  特別在疫情底下 大家能夠平安回來
[00:00:11.000 --> 00:00:13.000]  一起來去敬拜主
[00:00:13.000 --> 00:00:17.000]  這個實在是給我們的恩典和福氣
[00:00:17.000 --> 00:00:24.000]  在這裡也要感謝各位的親友 各位的親戚
[00:00:24.000 --> 00:00:30.000]  在這裡也想問大家一個問題
[00:00:30.000 --> 00:00:34.000]  如果全港有這個無犯教會選舉
[00:00:34.000 --> 00:00:38.000]  不知道你會怎樣去投票呢?
[00:00:38.000 --> 00:00:44.000]  你會不會想一下當中有沒有一些出名的牧師
[00:00:44.000 --> 00:00:46.000]  有多少名目在裡面
[00:00:46.000 --> 00:00:50.000]  或者會考慮一下他有多少人數
[00:00:50.000 --> 00:00:55.000]  堂有多大 奉獻有多少
[00:00:55.000 --> 00:00:58.000]  業績的增長情況又如何
[00:00:58.000 --> 00:01:01.000]  即是說值了多少間堂
[00:01:01.000 --> 00:01:03.000]  你會不會考慮這些因素
[00:01:03.000 --> 00:01:08.000]  看業績報告 其實這些都是世界的事
[00:01:08.000 --> 00:01:12.000]  今天跟大家分享一間早期教會
[00:01:12.000 --> 00:01:15.000]  即是一間初生的教會
[00:01:15.000 --> 00:01:18.000]  它能夠稱得上是無犯的教會
[00:01:18.000 --> 00:01:22.000]  也是一間活出照明的教會
[00:01:22.000 --> 00:01:26.000]  到底這間初生的教會
[00:01:26.000 --> 00:01:30.000]  它有什麼特質可以讓我們去學習呢?
[00:01:30.000 --> 00:01:34.000]  我們一起同心低頭禱告吧
[00:01:34.000 --> 00:01:38.000]  天父上帝 多謝你賜下寶貴的說話
[00:01:38.000 --> 00:01:42.000]  特別是早期教會的建立
[00:01:42.000 --> 00:01:45.000]  真的是有血有淚的
[00:01:45.000 --> 00:01:50.000]  真是看到神祢自己在當中奇妙的作為和帶領
[00:01:50.000 --> 00:01:54.000]  直至如今我們怎樣去學習
[00:01:54.000 --> 00:02:00.000]  還有在我們身上怎樣有神祢給我們的照明
[00:02:00.000 --> 00:02:04.000]  原主理私恩親自向我們每一個來說話
[00:02:04.000 --> 00:02:08.000]  我們這樣祈禱交托奉耶穌基督的聖名
[00:02:08.000 --> 00:02:14.000]  我們一起看帖撒羅尼加前書一章一至十節
[00:02:14.000 --> 00:02:16.000]  請大家讀一讀這段經文
[00:02:16.000 --> 00:02:18.000]  預備起
[00:02:18.000 --> 00:02:23.000]  保羅西拉提摩泰社信給帖撒羅尼加
[00:02:23.000 --> 00:02:27.000]  在父神和主耶穌基督裡的教會
[00:02:27.000 --> 00:02:31.000]  願因為平安歸於你們
[00:02:31.000 --> 00:02:35.000]  我們為你們眾人常常感謝神
[00:02:35.000 --> 00:02:38.000]  禱告的時候提到你們
[00:02:38.000 --> 00:02:42.000]  在神我們的父面前不住的紀念你們
[00:02:42.000 --> 00:02:45.000]  因信心所做的功夫
[00:02:45.000 --> 00:02:48.000]  因愛心所受的勞苦
[00:02:48.000 --> 00:02:52.000]  因盼望我們主耶穌基督所傳的忍耐
[00:02:52.000 --> 00:02:55.000]  被神所愛的弟兄啊
[00:02:55.000 --> 00:02:58.000]  我知道你們是蒙選的
[00:02:58.000 --> 00:03:02.000]  因為我們的福音傳到你們那裡
[00:03:02.000 --> 00:03:05.000]  不獨在乎言語
