
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹,主佑平安!
[00:00:03.000 --> 00:00:05.000]  早晨!
[00:00:05.000 --> 00:00:10.000]  感謝神讓我們今早可以一起聆聽神的話
[00:00:10.000 --> 00:00:14.000]  亦感謝神給我機會和大家分享訊息
[00:00:14.000 --> 00:00:17.000]  我是陳沛豪傳道
[00:00:17.000 --> 00:00:20.000]  現在我在恩福堂是半職的服事
[00:00:20.000 --> 00:00:24.000]  主要負責星期五的以勒團契
[00:00:24.000 --> 00:00:27.000]  另外亦是在祖堂的崇拜服事
[00:00:27.000 --> 00:00:31.000]  所以今天可以在祖堂和大家見面
[00:00:31.000 --> 00:00:34.000]  感恩我們在教會裏面一起成長
[00:00:34.000 --> 00:00:37.000]  能夠在神的話語裏面一起學習
[00:00:37.000 --> 00:00:39.000]  生命彼此建立
[00:00:39.000 --> 00:00:41.000]  這是一個很重要的過程
[00:00:41.000 --> 00:00:44.000]  特別是神的話、神的教導
[00:00:44.000 --> 00:00:47.000]  不會偏袒某一個群體
[00:00:47.000 --> 00:00:52.000]  每一個年齡層,神的話對每一個弟兄姊妹都很重要
[00:00:52.000 --> 00:00:54.000]  同意嗎?弟兄姊妹
[00:00:54.000 --> 00:00:56.000]  今天讓我們一起
[00:00:56.000 --> 00:00:58.000]  讓我們的心一起歸向神
[00:00:58.000 --> 00:01:01.000]  在神的教導裏面一起謙卑學習
[00:01:01.000 --> 00:01:03.000]  我們一起有個禱告吧
[00:01:03.000 --> 00:01:06.000]  親愛的主耶穌
[00:01:06.000 --> 00:01:09.000]  感謝祢讓我們能夠仰望祢
[00:01:09.000 --> 00:01:11.000]  學上祢的話
[00:01:11.000 --> 00:01:13.000]  求祢幫助我們
[00:01:13.000 --> 00:01:15.000]  打開我們的心靈
[00:01:15.000 --> 00:01:17.000]  進入祢的關係裏面
[00:01:17.000 --> 00:01:20.000]  藉著祢的教導和提醒
[00:01:20.000 --> 00:01:25.000]  讓我們和祢和人可以建立一個美好的關係
[00:01:25.000 --> 00:01:27.000]  求主引領以下的時間
[00:01:27.000 --> 00:01:30.000]  讓我們謙卑學習祢的教導
[00:01:30.000 --> 00:01:33.000]  以上的禱告是奉主耶穌基督的名求
[00:01:33.000 --> 00:01:34.000]  阿們
[00:01:34.000 --> 00:01:39.000]  今天我選了《雅各書》一段經文和大家一起分享
[00:01:39.000 --> 00:01:43.000]  題目是「不偏心的道理」
[00:01:43.000 --> 00:01:45.000]  弟兄姊妹,我想問問大家
[00:01:45.000 --> 00:01:47.000]  你對人會不會有偏心?
[00:01:49.000 --> 00:01:51.000]  我還以為大家不會
[00:01:51.000 --> 00:01:53.000]  是會的
[00:01:53.000 --> 00:01:56.000]  我自己原生家庭有兩個哥哥
[00:01:56.000 --> 00:01:58.000]  一個姐姐
[00:01:58.000 --> 00:01:59.000]  我是最小的
[00:01:59.000 --> 00:02:01.000]  看樣子都知道吧
[00:02:01.000 --> 00:02:02.000]  樣子都是最小的
[00:02:02.000 --> 00:02:06.000]  我小時候覺得爸爸是偏心的
[00:02:06.000 --> 00:02:09.000]  因為家裏很多事情的時候
[00:02:09.000 --> 00:02:10.000]  都不輪到我
[00:02:10.000 --> 00:02:12.000]  無論家裏的郵遊
[00:02:12.000 --> 00:02:13.000]  搬屋
[00:02:13.000 --> 00:02:15.000]  換地板
[00:02:15.000 --> 00:02:17.000]  說的是之前的年代
[00:02:17.000 --> 00:02:22.000]  爸爸好像和姐姐和哥哥相處得比較多
[00:02:22.000 --> 00:02:24.000]  可能因為我小時候
[00:02:24.000 --> 00:02:29.000]  所以我小時候就覺得爸爸是偏心的
[00:02:29.000 --> 00:02:31.000]  當然現在長大了
[00:02:31.000 --> 00:02:33.000]  爸爸當然不是偏心
[00:02:33.000 --> 00:02:36.000]  但是我就是最小的
[00:02:36.000 --> 00:02:39.000]  有人說「拉仔拉甚麼」
[00:02:39.000 --> 00:02:41.000]  是呀,拉仔拉心肝
[00:02:41.000 --> 00:02:44.000]  所以媽媽很疼愛我
[00:02:44.000 --> 00:02:46.000]  我和媽媽關係很好
[00:02:46.000 --> 00:02:48.000]  她現在回到天家
[00:02:48.000 --> 00:02:50.000]  我初出來工作的時候
[00:02:50.000 --> 00:02:52.000]  我問過媽媽
[00:02:52.000 --> 00:02:56.000]  媽媽,你疼不疼愛我?
[00:02:56.000 --> 00:03:00.000]  我心裏當然很期待
[00:03:00.000 --> 00:03:02.000]  媽媽的答案是甚麼?
[00:03:02.000 --> 00:03:04.000]  當然是疼愛我
[00:03:04.000 --> 00:03:07.000]  但是媽媽就很公平
[00:03:07.000 --> 00:03:08.000]  其實我自己也很想
[00:03:08.000 --> 00:03:10.000]  媽媽不如你哄哄我
[00:03:10.000 --> 00:03:12.000]  你說我就可以了
[00:03:12.000 --> 00:03:14.000]  但是媽媽就不會,很公平
[00:03:14.000 --> 00:03:16.000]  因為她四個都疼愛
[00:03:16.000 --> 00:03:18.000]  她很公平
[00:03:18.000 --> 00:03:21.000]  她不想我們子女有甚麼爭執
[00:03:21.000 --> 00:03:23.000]  所以她四個都疼愛
[00:03:23.000 --> 00:03:25.000]  我自己也成為了爸爸
[00:03:25.000 --> 00:03:27.000]  我有兩個小朋友
[00:03:27.000 --> 00:03:30.000]  我覺得自己不偏心
[00:03:30.000 --> 00:03:32.000]  兩個都疼愛
[00:03:32.000 --> 00:03:34.000]  誰頑皮就罰誰
[00:03:34.000 --> 00:03:37.000]  但是他們經常說我
[00:03:37.000 --> 00:03:39.000]  爸爸你很偏心
[00:03:39.000 --> 00:03:42.000]  姐姐就說為甚麼我疼愛弟弟
[00:03:42.000 --> 00:03:44.000]  弟弟就說為甚麼我疼愛姐姐
[00:03:44.000 --> 00:03:47.000]  每天都處理這些公平的問題
[00:03:47.000 --> 00:03:48.000]  弟兄姊妹
[00:03:48.000 --> 00:03:51.000]  同樣今天我們在教會裏面
[00:03:51.000 --> 00:03:54.000]  我們對弟兄姊妹有沒有偏心?
[00:03:54.000 --> 00:03:57.000]  沒有
[00:03:57.000 --> 00:04:00.000]  你喜歡和她一起的
[00:04:00.000 --> 00:04:02.000]  你就很願意和她一起
[00:04:02.000 --> 00:04:04.000]  很願意去服侍她
