
[00:00:00.000 --> 00:00:04.000]  相信有些弟兄姊妹主流的朋友都知道
[00:00:04.000 --> 00:00:10.000]  受訪傳道我是很多年前在加拿大居住過的
[00:00:10.000 --> 00:00:13.000]  我記得在加拿大居住的時候
[00:00:13.000 --> 00:00:15.000]  最深刻印象的
[00:00:15.000 --> 00:00:21.000]  大部分的居民都在家裡安裝了一些警鐘
[00:00:21.000 --> 00:00:23.000]  我也不例外
[00:00:23.000 --> 00:00:27.000]  當家主出門的時候
[00:00:27.000 --> 00:00:32.000]  我們就會按著密碼
[00:00:32.000 --> 00:00:33.000]  入了密碼之後
[00:00:33.000 --> 00:00:38.000]  這個警鐘可以代替我們看門口
[00:00:38.000 --> 00:00:41.000]  為了要看著這間屋
[00:00:41.000 --> 00:00:43.000]  因為平時人在這裡
[00:00:43.000 --> 00:00:46.000]  就以為日看夜看很安心
[00:00:46.000 --> 00:00:48.000]  但出門就不安心
[00:00:48.000 --> 00:00:51.000]  但是我可以跟大家分享
[00:00:51.000 --> 00:00:54.000]  我的感覺加拿大的屋子
[00:00:54.000 --> 00:00:56.000]  特別是很舊的屋子
[00:00:56.000 --> 00:00:58.000]  門很化學的
[00:00:58.000 --> 00:01:00.000]  踢一踢就能攔住
[00:01:00.000 --> 00:01:01.000]  很容易
[00:01:01.000 --> 00:01:02.000]  你用警鐘也好
[00:01:02.000 --> 00:01:05.000]  踢一踢就很容易破門而入
[00:01:05.000 --> 00:01:08.000]  如果多幾個大漢進了你的屋子
[00:01:08.000 --> 00:01:10.000]  門口就停車
[00:01:10.000 --> 00:01:13.000]  相信就算在警鐘也好
[00:01:13.000 --> 00:01:15.000]  短短一段時間
[00:01:15.000 --> 00:01:18.000]  他們就像搬屋一樣幫你搬東西上車
[00:01:18.000 --> 00:01:20.000]  警衛都還沒到
[00:01:20.000 --> 00:01:25.000]  親愛的弟兄姊妹
[00:01:25.000 --> 00:01:29.000]  但仍然有很多我認識的朋友住海外
[00:01:29.000 --> 00:01:32.000]  都要安裝警鐘
[00:01:32.000 --> 00:01:34.000]  都不安心
[00:01:34.000 --> 00:01:39.000]  屋主我們可以說是憂心難安
[00:01:39.000 --> 00:01:42.000]  日夜看守自己的家門
[00:01:42.000 --> 00:01:45.000]  出外不平安
[00:01:45.000 --> 00:01:50.000]  安裝警鐘為求安心
[00:01:50.000 --> 00:01:54.000]  人縱使有家有居所
[00:01:54.000 --> 00:01:56.000]  但不一定安心
[00:01:56.000 --> 00:01:57.000]  認同嗎?
[00:01:57.000 --> 00:01:59.000]  有時我們出門
[00:01:59.000 --> 00:02:01.000]  有沒有這種經歷?
[00:02:01.000 --> 00:02:02.000]  都想念
[00:02:02.000 --> 00:02:05.000]  剛才我出門關了火沒有?
[00:02:05.000 --> 00:02:08.000]  關了水沒有?
[00:02:08.000 --> 00:02:10.000]  鎖好門沒有?
[00:02:10.000 --> 00:02:14.000]  睡覺稍微微聲
[00:02:14.000 --> 00:02:15.000]  就會問
[00:02:15.000 --> 00:02:16.000]  為什麼有聲音?
[00:02:16.000 --> 00:02:18.000]  是不是有賊進來?
[00:02:18.000 --> 00:02:20.000]  大家都有這種經驗
[00:02:20.000 --> 00:02:22.000]  所以導致有些朋友
[00:02:22.000 --> 00:02:28.000]  都會在家居買火險、水險、家居保險
[00:02:28.000 --> 00:02:29.000]  都去買
[00:02:29.000 --> 00:02:32.000]  但求心裡平安
[00:02:32.000 --> 00:02:34.000]  親愛的弟兄姊妹
[00:02:34.000 --> 00:02:35.000]  作為神的兒女
[00:02:35.000 --> 00:02:37.000]  跟隨基督生活
[00:02:37.000 --> 00:02:40.000]  心裡可有平安?
[00:02:40.000 --> 00:02:44.000]  今天讓我們透過詩篇127篇
[00:02:44.000 --> 00:02:46.000]  去看神透過這篇詩篇
[00:02:46.000 --> 00:02:49.000]  教導我們如何面對家居生活上
[00:02:49.000 --> 00:02:50.000]  每一個環節
[00:02:50.000 --> 00:02:53.000]  如何得到真正的平安和喜樂
[00:02:53.000 --> 00:02:58.000]  讓我們先同心低頭禱告
[00:02:58.000 --> 00:02:59.000]  親愛的阿爸父
[00:02:59.000 --> 00:03:01.000]  我們感謝你
[00:03:01.000 --> 00:03:03.000]  回到彌聖殿裡
[00:03:03.000 --> 00:03:07.000]  我們有一種安穩的心
[00:03:07.000 --> 00:03:12.000]  因為你的話語永遠長存
[00:03:12.000 --> 00:03:14.000]  透過詩篇
[00:03:14.000 --> 00:03:18.000]  你有很多教導和提醒我們
[00:03:18.000 --> 00:03:24.000]  讓我們透過錄製詩篇講道的系列
[00:03:24.000 --> 00:03:27.000]  我們可以彼此重新得力
[00:03:27.000 --> 00:03:28.000]  透過你的話語
[00:03:28.000 --> 00:03:31.000]  有更多的提醒和得著
[00:03:31.000 --> 00:03:35.000]  求你的靈囂冠在今天的會場當中
[00:03:35.000 --> 00:03:38.000]  開啟我們的心眼
[00:03:38.000 --> 00:03:42.000]  讓我們明白你真理的教導
[00:03:42.000 --> 00:03:44.000]  我們祈禱交託
[00:03:44.000 --> 00:03:46.000]  奉主耶穌基督性命祈求
[00:03:46.000 --> 00:03:48.000]  阿們
[00:03:48.000 --> 00:03:50.000]  詩篇127篇
[00:03:50.000 --> 00:03:51.000]  一至五節
[00:03:51.000 --> 00:03:55.000]  今天我的powerpoint選用了
[00:03:55.000 --> 00:03:57.000]  新標點和合本
[00:03:57.000 --> 00:04:02.000]  讓我們同讀短短這一至五節
[00:04:02.000 --> 00:04:04.000]  第一節開始
[00:04:04.000 --> 00:04:07.000]  若不是耶和華建造房屋
[00:04:07.000 --> 00:04:10.000]  建造的人就往然勞力
[00:04:10.000 --> 00:04:14.000]  若不是耶和華看守城池
[00:04:14.000 --> 00:04:17.000]  看守的人就往然警醒
[00:04:17.000 --> 00:04:19.000]  你們清晨早起
[00:04:19.000 --> 00:04:21.000]  夜晚安歇
[00:04:21.000 --> 00:04:23.000]  吃勞碌得來的飯
[00:04:23.000 --> 00:04:25.000]  本是往然
[00:04:25.000 --> 00:04:28.000]  唯有耶和華所親愛的
[00:04:28.000 --> 00:04:31.000]  必叫他安然睡覺
[00:04:31.000 --> 00:04:35.000]  兒女是耶和華所賜的產業
[00:04:35.000 --> 00:04:39.000]  所懷的胎是他所給的賞賜
[00:04:39.000 --> 00:04:42.000]  少年是所生的兒女
[00:04:42.000 --> 00:04:45.000]  好將永是手中的箭
[00:04:45.000 --> 00:04:49.000]  箭袋充滿的人便為有福
[00:04:49.000 --> 00:04:53.000]  他們在城門口和仇的說話的時候
[00:04:53.000 --> 00:04:57.000]  必不至於羞愧
[00:04:57.000 --> 00:05:03.000]  詩篇127篇是一篇自慰篇
[00:05:03.000 --> 00:05:09.000]  有學者都將這篇詩篇歸納成為訓誨詩
[00:05:09.000 --> 00:05:16.000]  當然也有些人將這篇詩篇定為讚美詩
[00:05:16.000 --> 00:05:21.000]  127篇這篇詩篇是自慰王所寫的
[00:05:21.000 --> 00:05:24.000]  這位自慰王是誰呢?
[00:05:24.000 --> 00:05:26.000]  就是所羅門王
[00:05:26.000 --> 00:05:29.000]  所羅門王寫的詩篇
[00:05:29.000 --> 00:05:34.000]  七六在詩篇150篇裏面有這麼多篇
[00:05:34.000 --> 00:05:38.000]  其中只有兩篇是所羅門王寫的
