
[00:00:00.000 --> 00:00:04.000]  我們給更大的掌聲主耶穌好不好
[00:00:04.000 --> 00:00:09.000]  因為我想在香港近來發生的事
[00:00:09.000 --> 00:00:11.000]  大家都應該是不會開心
[00:00:11.000 --> 00:00:13.000]  但是唯獨回到神裡面
[00:00:13.000 --> 00:00:16.000]  最大的喜樂和在神裡面最大的平安
[00:00:16.000 --> 00:00:19.000]  都是讓我們可以在信的時候
[00:00:19.000 --> 00:00:21.000]  也可以感受到和經歷到
[00:00:21.000 --> 00:00:26.000]  很多時候不開心都會找回一些自己開心的回憶
[00:00:26.000 --> 00:00:29.000]  我找的時候通常都是找回一些童年的回憶
[00:00:29.000 --> 00:00:32.000]  我記得有一次去過一個舊同學的家裡玩
[00:00:32.000 --> 00:00:34.000]  玩完之後就走了
[00:00:34.000 --> 00:00:36.000]  剛好他媽媽就回來了
[00:00:36.000 --> 00:00:38.000]  我就見到他媽媽
[00:00:38.000 --> 00:00:41.000]  但是那時候趕著時間沒有和他媽媽打招呼
[00:00:41.000 --> 00:00:44.000]  然後舊同學過了幾天和我說
[00:00:44.000 --> 00:00:48.000]  我媽媽說你將來長大後沒有出息
[00:00:48.000 --> 00:00:50.000]  見到人都不會打招呼
[00:00:50.000 --> 00:00:55.000]  然後我又聽過一些親戚和我家人說
[00:00:55.000 --> 00:00:57.000]  你知不知道
[00:00:57.000 --> 00:00:59.000]  阿珍惠她很懶
[00:00:59.000 --> 00:01:01.000]  她見到東西掉在地上
[00:01:01.000 --> 00:01:04.000]  繞過了都不撿起來
[00:01:04.000 --> 00:01:07.000]  將來長大後她怎樣做人
[00:01:07.000 --> 00:01:11.000]  但是我將來長大後找到一份人工挺好的政府工作
[00:01:11.000 --> 00:01:15.000]  我很想和那些親戚和同學的媽媽說
[00:01:15.000 --> 00:01:17.000]  你兒子賺多少錢
[00:01:17.000 --> 00:01:19.000]  我賺的錢很多
[00:01:19.000 --> 00:01:21.000]  我也不怕他兒子賺錢多過我
[00:01:21.000 --> 00:01:23.000]  因為我還有一樣東西可以帶他
[00:01:23.000 --> 00:01:25.000]  你兒子有沒有長糧食
[00:01:25.000 --> 00:01:27.000]  將來他工作後
[00:01:27.000 --> 00:01:29.000]  是不是政府會每個月給他錢
[00:01:29.000 --> 00:01:31.000]  我有長糧知不知道什麼叫長糧
[00:01:31.000 --> 00:01:33.000]  如果他說不知道我再補多一句
[00:01:33.000 --> 00:01:35.000]  你上網查一下什麼叫長糧
[00:01:35.000 --> 00:01:38.000]  其實想起這些
[00:01:38.000 --> 00:01:40.000]  當然我最後都沒有做到
[00:01:40.000 --> 00:01:42.000]  全部都是想像
[00:01:42.000 --> 00:01:44.000]  但是想起可以以戲風化
[00:01:44.000 --> 00:01:48.000]  很驕傲地在一些以前看不起自己的人身上
[00:01:48.000 --> 00:01:50.000]  去說一番說話
[00:01:50.000 --> 00:01:52.000]  是相當之痛快和開心的
[00:01:52.000 --> 00:01:55.000]  但這種開心其實都源於一種可憐
[00:01:55.000 --> 00:01:58.000]  因為覺得自己可能被人小看了
[00:01:58.000 --> 00:02:01.000]  或者自己的情況很慘
[00:02:01.000 --> 00:02:04.000]  所以當自己有些東西要維護的時候
[00:02:04.000 --> 00:02:07.000]  就會高舉自己的驕傲
[00:02:07.000 --> 00:02:09.000]  但是在成長上
[00:02:09.000 --> 00:02:11.000]  在信耶穌的過程中
[00:02:11.000 --> 00:02:13.000]  如果我們跟隨神的時候
[00:02:13.000 --> 00:02:15.000]  太過高舉自己的驕傲
[00:02:15.000 --> 00:02:18.000]  其實對自己對人對神都是一件不好的事
[00:02:18.000 --> 00:02:20.000]  所以今天都會說一說題目
[00:02:20.000 --> 00:02:22.000]  就是我們怎樣打造謙卑
[00:02:22.000 --> 00:02:23.000]  為什麼要打造謙卑呢
[00:02:23.000 --> 00:02:27.000]  因為謙卑真的要像打鐵一樣打出來
[00:02:27.000 --> 00:02:29.000]  驕傲反而不用學
[00:02:29.000 --> 00:02:31.000]  很自然群起一些人
[00:02:31.000 --> 00:02:34.000]  跟自己聊聊天
[00:02:34.000 --> 00:02:36.000]  就會很驕傲很容易
[00:02:36.000 --> 00:02:39.000]  但是怎樣打造謙卑又有天國的胸襟呢
[00:02:39.000 --> 00:02:41.000]  我們看一段經文
[00:02:41.000 --> 00:02:43.000]  就是施提反他殉道之前
[00:02:43.000 --> 00:02:46.000]  說一段說話和他殉道的過程中
[00:02:46.000 --> 00:02:47.000]  給我們一些學習
[00:02:47.000 --> 00:02:49.000]  我們先低頭祈禱
[00:02:50.000 --> 00:02:51.000]  賜給人的天父
[00:02:51.000 --> 00:02:53.000]  感謝祢讓我們有機會回到崇拜當中
[00:02:53.000 --> 00:02:55.000]  可以去敬拜祢
[00:02:55.000 --> 00:02:57.000]  也可以聽祢的話語
[00:02:57.000 --> 00:02:59.000]  如我們當中學懂怎樣去謙卑
[00:02:59.000 --> 00:03:02.000]  也可以懷著主耶穌和天國的胸襟
[00:03:02.000 --> 00:03:04.000]  繼續在地上為祢作見證
[00:03:04.000 --> 00:03:05.000]  求主祢保守
[00:03:05.000 --> 00:03:07.000]  以上祈禱交上奉耶穌基督明治而求
[00:03:07.000 --> 00:03:08.000]  阿們
[00:03:08.000 --> 00:03:14.000]  這段經文在《仕途行傳》的七章五十一至六十節
[00:03:14.000 --> 00:03:19.000]  都算是最早期記錄初期教會一個殉道的信號
[00:03:19.000 --> 00:03:20.000]  就是施提反
[00:03:20.000 --> 00:03:23.000]  施提反他本身是一個執事
[00:03:23.000 --> 00:03:24.000]  怎樣來的執事呢
[00:03:24.000 --> 00:03:28.000]  當時因為那些仕途忙於傳福音
[00:03:28.000 --> 00:03:30.000]  但是沒有人去管理一些飯食
[00:03:30.000 --> 00:03:35.000]  搞到有些人窮人窮的信徒沒有飯吃
[00:03:35.000 --> 00:03:37.000]  然後就負責管理飯食
[00:03:37.000 --> 00:03:40.000]  但不知為何他又很有恩賜去傳福音
[00:03:40.000 --> 00:03:43.000]  最後他去了很多傳福音
[00:03:43.000 --> 00:03:46.000]  他傳福音得來他的家庭
[00:03:46.000 --> 00:03:48.000]  在經文裏面的研究
[00:03:48.000 --> 00:03:49.000]  很多研究學者都說
[00:03:49.000 --> 00:03:51.000]  他的家庭有很多女兒
