
[00:00:00.000 --> 00:00:02.000]  早安
[00:00:02.000 --> 00:00:04.000]  大家好
[00:00:04.000 --> 00:00:09.000]  跟大家說聲再見
[00:00:09.000 --> 00:00:14.000]  今天是我退休前最後一次的講道
[00:00:14.000 --> 00:00:19.000]  感謝大家用心聽神的話
[00:00:19.000 --> 00:00:23.000]  願神的話語感動及進入大家的心靈
[00:00:23.000 --> 00:00:31.000]  退休後,太太很想我學做一件幫手的事
[00:00:31.000 --> 00:00:36.000]  就是跟她學煮飯煮菜
[00:00:36.000 --> 00:00:45.000]  太太煮飯菜是傳承自她爸爸
[00:00:45.000 --> 00:00:49.000]  他們是順德人
[00:00:49.000 --> 00:00:52.000]  煮飯菜也有一定的要求
[00:00:52.000 --> 00:00:55.000]  開始有點擔心
[00:00:55.000 --> 00:00:58.000]  不知道學到多少
[00:00:58.000 --> 00:01:03.000]  不過在這個時候在網上看到一件事
[00:01:03.000 --> 00:01:06.000]  就是自動炒菜機
[00:01:06.000 --> 00:01:09.000]  令我眼前一亮
[00:01:09.000 --> 00:01:13.000]  炒飯炒菜還可以鑊氣十足
[00:01:13.000 --> 00:01:16.000]  還是原汁原味的廣東菜
[00:01:16.000 --> 00:01:22.000]  而且超快五分鐘就炒完一碟
[00:01:22.000 --> 00:01:25.000]  其實大家留意
[00:01:25.000 --> 00:01:28.000]  坊間的餐廳特別是國內的餐廳
[00:01:28.000 --> 00:01:33.000]  已經開始有機械人殺入廚房
[00:01:33.000 --> 00:01:40.000]  中國菜的傳承已經開始由機械人承擔
[00:01:40.000 --> 00:01:44.000]  近年AI人工智能盛行
[00:01:44.000 --> 00:01:47.000]  涉及各個領域
[00:01:47.000 --> 00:01:49.000]  將來人類的傳承
[00:01:49.000 --> 00:01:54.000]  是否落入機械人身上呢?
[00:01:54.000 --> 00:01:56.000]  創天造地的神
[00:01:56.000 --> 00:01:59.000]  又如何做他的傳承功夫呢?
[00:01:59.000 --> 00:02:03.000]  就讓我們一起專心讀
[00:02:03.000 --> 00:02:08.000]  今天的《講道經文》約書亞記一章一到十一節
[00:02:08.000 --> 00:02:12.000]  耶和華的僕人摩西死了以後
[00:02:12.000 --> 00:02:16.000]  耶和華對摩西的助手亂的兒子
[00:02:16.000 --> 00:02:17.000]  約書亞說
[00:02:17.000 --> 00:02:20.000]  我的僕人摩西死了
[00:02:20.000 --> 00:02:22.000]  現在你要起來
[00:02:22.000 --> 00:02:24.000]  我中百姓歌者約旦河
[00:02:24.000 --> 00:02:28.000]  往我所要召喚的伊斯利人的地去
[00:02:28.000 --> 00:02:31.000]  凡你們腳掌所集之地
[00:02:31.000 --> 00:02:36.000]  我都照所應許摩西的話召喚你們了
