
[00:00:00.000 --> 00:00:02.000]  各位主媒好
[00:00:02.000 --> 00:00:04.600]  很鼓勵大家如果有時間的話
[00:00:04.600 --> 00:00:06.600]  可以參加7月3日
[00:00:06.600 --> 00:00:11.080]  講到這裡先講一下學院的需要
[00:00:11.080 --> 00:00:13.080]  請你們為我們祈禱
[00:00:13.080 --> 00:00:16.920]  在疫情裡面我們最大需要的是修生
[00:00:16.920 --> 00:00:18.920]  就是我需要你們
[00:00:18.920 --> 00:00:25.320]  考慮接受神的話語的裝備
[00:00:25.320 --> 00:00:28.600]  也有今天信息想跟大家分享
[00:00:28.600 --> 00:00:30.600]  也為我們祈禱
[00:00:30.600 --> 00:00:35.440]  我們圖書館的管理員
[00:00:35.440 --> 00:00:37.840]  原本有五個
[00:00:37.840 --> 00:00:39.840]  那五個全部都離職
[00:00:39.840 --> 00:00:43.160]  現在只剩下兩個人
[00:00:43.160 --> 00:00:45.920]  所以要聘請圖書館
[00:00:45.920 --> 00:00:47.920]  IT人也離職
[00:00:47.920 --> 00:00:49.920]  移民
[00:00:49.920 --> 00:00:52.720]  所以我們的Moodle也下架了
[00:00:52.720 --> 00:00:54.720]  現在不知道怎麼辦
[00:00:54.720 --> 00:00:59.000]  希望大家為我們祈禱
[00:00:59.000 --> 00:01:01.000]  我們先講道知,一起低頭祈禱
[00:01:01.000 --> 00:01:03.000]  慈悲天父我們感恩
[00:01:03.000 --> 00:01:05.680]  主祢自己的話語何等寶貴
[00:01:05.680 --> 00:01:07.680]  主真是求祢賜福
[00:01:07.680 --> 00:01:09.120]  恩福神學院
[00:01:09.120 --> 00:01:12.880]  主我們真是忠心按著祢自己的使命
[00:01:12.880 --> 00:01:15.360]  來教導祢自己的話語的時候
[00:01:15.360 --> 00:01:16.560]  求祢賜福
[00:01:16.560 --> 00:01:18.920]  職長我們也賜福弟兄姊妹
[00:01:18.920 --> 00:01:22.080]  無論是平信徒還是全時間服侍的
[00:01:22.080 --> 00:01:23.640]  祢自己來紀念
[00:01:23.640 --> 00:01:26.040]  用祢自己的話語來囂觀
[00:01:26.040 --> 00:01:27.440]  慰養弟兄姊妹
[00:01:27.440 --> 00:01:32.680]  主我們慰動我們需要聘請圖書館的同工
[00:01:32.680 --> 00:01:34.680]  和IT的同工的時候
[00:01:34.680 --> 00:01:37.640]  求祢按著祢自己的時間來為我們預備
[00:01:37.640 --> 00:01:40.320]  主真是將以下時間恭敬耶和摩
[00:01:40.320 --> 00:01:43.840]  祢只是零在我們當中運行教導
[00:01:43.840 --> 00:01:45.840]  祈禱奉耶穌基督得勝的名教
[00:01:45.840 --> 00:01:47.840]  阿們
[00:01:47.840 --> 00:01:49.840]  我們經常聽到人說
[00:01:49.840 --> 00:01:51.840]  一孩不如一孩
[00:01:51.840 --> 00:01:53.280]  有沒有聽過?
[00:01:53.280 --> 00:01:55.280]  很多做老闆的覺得
[00:01:55.280 --> 00:01:57.280]  現在的人越來越不行
[00:01:57.280 --> 00:01:58.520]  年輕的那些
[00:01:58.520 --> 00:02:00.920]  究竟是阿拉斯加蟹
[00:02:00.920 --> 00:02:02.920]  花蟹還是大閘蟹呢?
[00:02:02.920 --> 00:02:06.200]  蟹真的越來越不行
[00:02:06.200 --> 00:02:08.200]  這個時候
[00:02:08.200 --> 00:02:11.200]  我再想深一層
[00:02:11.200 --> 00:02:15.040]  究竟問題是新一代
[00:02:15.040 --> 00:02:18.040]  還是上一代的問題呢?
[00:02:18.040 --> 00:02:20.040]  我們說別人不行
[00:02:20.040 --> 00:02:22.040]  那我們自己行不行呢?
[00:02:22.040 --> 00:02:24.040]  我再想深一層的時候
[00:02:24.040 --> 00:02:28.040]  其實問題不是在下一代那裡
[00:02:28.040 --> 00:02:30.040]  是在現在這一代
[00:02:30.040 --> 00:02:33.040]  因為我們沒有將重要的東西
[00:02:33.040 --> 00:02:37.040]  承傳給下一代
[00:02:37.040 --> 00:02:39.040]  這個責任
[00:02:39.040 --> 00:02:41.040]  我不知道大家同不同意
[00:02:41.040 --> 00:02:44.040]  深一層的責任在我們這一代那裡
[00:02:44.040 --> 00:02:45.040]  下一代
[00:02:45.040 --> 00:02:48.040]  每一個新的一代就好像一張白紙
[00:02:48.040 --> 00:02:50.040]  這個時候承傳的時候
[00:02:50.040 --> 00:02:54.040]  問題是我們承傳了什麼給下一代呢?
[00:02:54.040 --> 00:02:56.040]  今天想跟大家
[00:02:56.040 --> 00:03:00.040]  用《針研四章》一至九節
[00:03:00.040 --> 00:03:03.040]  三點來分析思想
[00:03:03.040 --> 00:03:05.040]  第一是父親的陀拉
[00:03:05.040 --> 00:03:07.040]  認識聰明
[00:03:07.040 --> 00:03:08.040]  這裡是說什麼呢?
[00:03:08.040 --> 00:03:11.040]  這裡是說智慧的老師
[00:03:11.040 --> 00:03:17.040]  要將智慧傳給下一代
[00:03:17.040 --> 00:03:20.040]  所以這是他的陀拉
[00:03:20.040 --> 00:03:22.040]  然後父親第二點
[00:03:22.040 --> 00:03:25.040]  他見證他的智慧是從哪裡來的呢?
[00:03:25.040 --> 00:03:27.040]  他的智慧是從他爸爸那裡來的
[00:03:27.040 --> 00:03:29.040]  所以他就說
[00:03:29.040 --> 00:03:32.040]  將我從爸爸那裡得到的智慧
[00:03:32.040 --> 00:03:34.040]  來給你了,兒子
[00:03:34.040 --> 00:03:36.040]  第三點
[00:03:36.040 --> 00:03:38.040]  智慧的開端
[00:03:38.040 --> 00:03:40.040]  他跟兒子說
[00:03:40.040 --> 00:03:42.040]  智慧的起步點是什麼呢?
[00:03:42.040 --> 00:03:45.040]  所以今天只能跟大家說起步點
[00:03:45.040 --> 00:03:47.040]  如果你認識智慧
[00:03:47.040 --> 00:03:51.040]  你就必須要來恩福神學院
[00:03:51.040 --> 00:03:55.040]  我會有很多這些植入式的廣告
[00:03:55.040 --> 00:03:57.040]  一年一次是這樣
[00:03:57.040 --> 00:03:59.040]  你要原諒我的
[00:03:59.040 --> 00:04:01.040]  開始的時候
[00:04:01.040 --> 00:04:05.040]  孩子們要聽父親的教訓
