
[00:00:00.000 --> 00:00:03.000]  各位電影姊妹,主內平安!
[00:00:03.000 --> 00:00:10.000]  有沒有想過,其實我們每日的生活,一定離不開信心的考驗。
[00:00:10.000 --> 00:00:16.000]  好像今早,各位電影姊妹你們上教會,無論你搭電梯、巴士或地鐵,
[00:00:16.000 --> 00:00:20.000]  如果你對他們沒有信心,你會不會使用他們呢?
[00:00:20.000 --> 00:00:26.000]  好像隔離永明大廈的電梯,早前頻頻出現故障,
[00:00:26.000 --> 00:00:30.000]  如果你現在趕著去機場,你敢不敢搭?
[00:00:30.000 --> 00:00:36.000]  在你銀行戶口的錢,究竟用來買樓保值有信心嗎?
[00:00:36.000 --> 00:00:40.000]  有時電影姊妹都會大家談這些問題,還是保留現金有信心呢?
[00:00:40.000 --> 00:00:45.000]  13年前,港幣100萬就可以買到一層樓,
[00:00:45.000 --> 00:00:47.000]  香港人當時對物業沒有信心,
[00:00:47.000 --> 00:00:51.000]  但13年後的今日,100萬港幣連車位都買不到。
[00:00:51.000 --> 00:00:55.000]  所以香港人現在對不動產更加有信心,
[00:00:55.000 --> 00:01:01.000]  大家看看,在1937年,買一隻大黃牛的錢,
[00:01:01.000 --> 00:01:03.000]  這裏有些長者可能會知道,
[00:01:03.000 --> 00:01:08.000]  到了1949年的時候,可以買到些什麼呢?
[00:01:08.000 --> 00:01:10.000]  買到些什麼呢?
[00:01:10.000 --> 00:01:15.000]  答案就是連一隻雞蛋和一條油條都買不到,
[00:01:15.000 --> 00:01:18.000]  這些就是信心的生活,
[00:01:18.000 --> 00:01:23.000]  對人對事的信心時時刻刻都有變化,
[00:01:23.000 --> 00:01:27.000]  究竟你對於擁有錢、黃牛、雞蛋、油條,
[00:01:27.000 --> 00:01:29.000]  哪一樣你有信心呢?
[00:01:29.000 --> 00:01:33.000]  這裏有些做買賣的肢體,
[00:01:33.000 --> 00:01:35.000]  由街市到金融市場都有,
[00:01:35.000 --> 00:01:37.000]  每天都會這樣,
[00:01:37.000 --> 00:01:41.000]  究竟在收市之前,你要錢還是要貨呢?
[00:01:41.000 --> 00:01:45.000]  對於錢和貨,每天的衡量和評估都是分分鐘進行中,
[00:01:45.000 --> 00:01:49.000]  以上這些生活例子,這些信心的表現,
[00:01:49.000 --> 00:01:52.000]  都是基於我們對人對事的認知,
[00:01:52.000 --> 00:01:55.000]  你才會有信心去選擇,
[00:01:55.000 --> 00:01:57.000]  但是人生不少時候,
