
[00:00:00.000 --> 00:00:02.000]  頂姐妹五安
[00:00:02.000 --> 00:00:05.000]  嘩!很久沒試過不用戴口罩講道理
[00:00:05.000 --> 00:00:08.000]  很感恩很開心
[00:00:08.000 --> 00:00:11.000]  今天我們一起又有崇拜的時間
[00:00:11.000 --> 00:00:13.000]  今天揀選了一個題目
[00:00:13.000 --> 00:00:16.000]  專一跟從我們的神
[00:00:16.000 --> 00:00:19.000]  剛剛我們完成了幾年的疫情
[00:00:19.000 --> 00:00:24.000]  但是其實有時候有些病我們都在經歷
[00:00:24.000 --> 00:00:26.000]  譬如我舉個例子
[00:00:26.000 --> 00:00:28.000]  就是這個選擇困難症
[00:00:28.000 --> 00:00:30.000]  你有沒有經歷過?
[00:00:30.000 --> 00:00:31.000]  選擇困難
[00:00:31.000 --> 00:00:32.000]  哎呀!怎麼辦呢?
[00:00:32.000 --> 00:00:34.000]  去到一個很多東西要買
[00:00:34.000 --> 00:00:36.000]  不知道買哪樣東西好
[00:00:36.000 --> 00:00:39.000]  開始的時候我講一個小故事給你聽
[00:00:39.000 --> 00:00:40.000]  很短的
[00:00:40.000 --> 00:00:43.000]  不要想跟我有什麼關係
[00:00:43.000 --> 00:00:45.000]  話說有一個小朋友
[00:00:45.000 --> 00:00:47.000]  媽媽生日
[00:00:47.000 --> 00:00:50.000]  小朋友就想好了
[00:00:50.000 --> 00:00:51.000]  很細心的
[00:00:51.000 --> 00:00:52.000]  他幾歲而已
[00:00:52.000 --> 00:00:54.000]  就是近十歲
[00:00:54.000 --> 00:00:55.000]  很細心的想好
[00:00:55.000 --> 00:00:58.000]  媽媽生日我要送什麼給媽媽好呢?
[00:00:58.000 --> 00:01:00.000]  他就有100元
[00:01:00.000 --> 00:01:01.000]  100元
[00:01:01.000 --> 00:01:02.000]  他就想100元
[00:01:02.000 --> 00:01:04.000]  我媽媽的性格是怎樣呢?
[00:01:04.000 --> 00:01:05.000]  就寫下
[00:01:05.000 --> 00:01:07.000]  然後他已經決定了
[00:01:07.000 --> 00:01:11.000]  如果他有機會就要去買哪些東西給媽媽
