
[00:00:00.000 --> 00:00:03.000]  剛才敬拜的裡面
[00:00:03.000 --> 00:00:06.000]  第二首歌 說我們的祈禱
[00:00:06.000 --> 00:00:08.740]  好像香一樣 升上去
[00:00:08.740 --> 00:00:10.900]  上帝面前 我就想
[00:00:10.900 --> 00:00:13.900]  如果我的禱告是很自私的
[00:00:13.900 --> 00:00:17.380]  我的禱告是很想對方不好的
[00:00:17.380 --> 00:00:19.880]  應該很難是一個
[00:00:19.880 --> 00:00:23.280]  輕香的祭向上帝 去到上帝面前
[00:00:23.280 --> 00:00:25.280]  所以令我想起的就是
[00:00:25.280 --> 00:00:28.000]  如果我們的禱告是上帝喜悅的
[00:00:28.000 --> 00:00:30.360]  相信必去到祂面前
[00:00:30.360 --> 00:00:33.140]  願意我們學習在禱告裡面
[00:00:33.140 --> 00:00:37.220]  如何去做一個會上到上帝面前的禱告呢
[00:00:37.220 --> 00:00:39.720]  我們一起去祈禱
[00:00:39.720 --> 00:00:41.660]  我們將時間交給上帝
[00:00:41.660 --> 00:00:44.120]  親天父此刻我們很想獻上
[00:00:44.120 --> 00:00:46.120]  可以去到祢面前
[00:00:46.120 --> 00:00:50.340]  達到祢面前輕香的禱告
[00:00:50.340 --> 00:00:52.000]  因為我們很想求祢
[00:00:52.000 --> 00:00:54.000]  今天祢的說話
[00:00:54.000 --> 00:00:56.000]  去說盡我們的心
[00:00:56.000 --> 00:00:59.140]  以致我們明白到祢有永生之道
[00:00:59.140 --> 00:01:01.140]  以致有祢
[00:01:01.140 --> 00:01:03.140]  我們可以面對生命一切的困難
[00:01:03.140 --> 00:01:05.140]  願祢幫助我們
[00:01:05.140 --> 00:01:07.140]  說的 聽的
[00:01:07.140 --> 00:01:09.140]  在祢的說話裡面都有所領受
[00:01:09.140 --> 00:01:11.140]  我們要上去禱告 逢主命求 阿門
[00:01:11.140 --> 00:01:16.140]  好 我也是想說
[00:01:16.140 --> 00:01:18.140]  我今天呢
[00:01:18.140 --> 00:01:20.140]  我這樣說
[00:01:20.140 --> 00:01:22.140]  我給了青少部很多我的第一次
[00:01:22.140 --> 00:01:24.140]  我今天也將我的第一次給青少部
[00:01:24.140 --> 00:01:26.140]  那是什麼呢
[00:01:26.140 --> 00:01:28.140]  我是第一次不用紙
[00:01:28.140 --> 00:01:30.140]  去有一個講章
[00:01:30.140 --> 00:01:32.140]  因為我買了一個平板
[00:01:32.140 --> 00:01:34.140]  所以我今天特別緊張
[00:01:34.140 --> 00:01:36.140]  因為我很害怕突然間沒有電
[00:01:36.140 --> 00:01:38.140]  我已經充足了
