
[00:00:00.000 --> 00:00:03.480]  以下我們會分享神的話語
[00:00:03.480 --> 00:00:05.480]  分享神話語之先
[00:00:05.480 --> 00:00:07.480]  我們一齊來祈禱
[00:00:07.480 --> 00:00:09.480]  慈愛的天父上帝
[00:00:09.480 --> 00:00:10.480]  我們感謝祢
[00:00:10.480 --> 00:00:13.480]  今天早上祢給我們有美好的天氣
[00:00:13.480 --> 00:00:16.980]  不像上星期那麼大風大雨
[00:00:16.980 --> 00:00:19.480]  主啊,我們都珍惜每一次
[00:00:19.480 --> 00:00:21.480]  能夠有平靜
[00:00:21.480 --> 00:00:24.480]  有美好的環境
[00:00:24.480 --> 00:00:26.480]  這樣來敬拜祢
[00:00:26.480 --> 00:00:27.980]  願祢的話語
[00:00:27.980 --> 00:00:30.980]  能夠淋到我們眾人的心靈裡面
[00:00:30.980 --> 00:00:33.980]  讓祢的話語發出亮光
[00:00:33.980 --> 00:00:36.980]  讓每一個人的心靈都能夠通達
[00:00:36.980 --> 00:00:39.980]  有從主而來的生命力量
[00:00:39.980 --> 00:00:41.980]  求主讓以下的時間
[00:00:41.980 --> 00:00:43.980]  讓說的、聽的
[00:00:43.980 --> 00:00:46.980]  都一同來得主的恩典
[00:00:46.980 --> 00:00:48.980]  我們誠心來等候祢
[00:00:48.980 --> 00:00:51.980]  願聖靈在我們當中來工作
[00:00:51.980 --> 00:00:52.980]  我們這樣禱告
[00:00:52.980 --> 00:00:55.980]  是奉靠耶穌基督的明智祈求
[00:00:55.980 --> 00:00:57.980]  阿門
[00:00:57.980 --> 00:01:01.980]  今天我跟大家分享一個主題
[00:01:01.980 --> 00:01:04.980]  就是放下放不下
[00:01:04.980 --> 00:01:09.980]  是在菲律賓書四至七節
[00:01:09.980 --> 00:01:14.980]  我們一起來讀這幾節的經文
[00:01:14.980 --> 00:01:17.980]  我們一起來讀出
[00:01:17.980 --> 00:01:20.980]  你們要靠主常常喜樂
[00:01:20.980 --> 00:01:23.980]  我再說你們要喜樂
[00:01:23.980 --> 00:01:27.980]  要讓眾人知道你們謙讓的心
[00:01:27.980 --> 00:01:29.980]  主已經近了
[00:01:29.980 --> 00:01:32.980]  當一無掛慮
[00:01:32.980 --> 00:01:37.980]  只要凡事藉著禱告、祈求和感謝
[00:01:37.980 --> 00:01:40.980]  將你們所要的告訴神
[00:01:40.980 --> 00:01:45.980]  神所賜那超越人所能了解的平安
[00:01:45.980 --> 00:01:47.980]  必在基督耶穌裡
