
[00:00:00.000 --> 00:00:05.000]  讓我們在講道之前同心去禱告
[00:00:05.000 --> 00:00:09.000]  親愛的天父感謝你
[00:00:09.000 --> 00:00:12.000]  讓我們今天可以回到教會
[00:00:12.000 --> 00:00:14.000]  我們一起去敬拜你
[00:00:14.000 --> 00:00:16.000]  我們獻上感謝
[00:00:16.000 --> 00:00:19.000]  求主你打開我們的心
[00:00:19.000 --> 00:00:21.000]  聆聽你的話語
[00:00:21.000 --> 00:00:25.000]  也被神的話語提醒和幫助
[00:00:25.000 --> 00:00:27.000]  生命得到更新
[00:00:27.000 --> 00:00:30.000]  奉主耶穌基督之名祈求
[00:00:30.000 --> 00:00:31.000]  阿們
[00:00:31.000 --> 00:00:38.000]  英國新聞頻道BBC
[00:00:38.000 --> 00:00:43.000]  曾經評選出一生必去的50個地方
[00:00:43.000 --> 00:00:45.000]  例如有什麼地方呢
[00:00:45.000 --> 00:00:48.000]  例如有紐西蘭的南島
[00:00:48.000 --> 00:00:51.000]  加拿大的洛基山脈
[00:00:51.000 --> 00:00:53.000]  法國的艾菲爾鐵塔
[00:00:53.000 --> 00:00:57.000]  意大利的威尼斯還有很多
[00:00:57.000 --> 00:01:01.000]  不知道這50個必去的地方
[00:01:01.000 --> 00:01:03.000]  大家有去過多少個呢
[00:01:03.000 --> 00:01:06.000]  不過看看清單
[00:01:06.000 --> 00:01:11.000]  有一個地方我深信很多人都有去過
[00:01:11.000 --> 00:01:14.000]  這麼快弄出來的
[00:01:14.000 --> 00:01:17.000]  就是香港的迪迪尼樂園
[00:01:17.000 --> 00:01:22.000]  不知道有沒有頂姐妹有去過這個必去的地方
[00:01:22.000 --> 00:01:24.000]  有沒有人有去過
[00:01:24.000 --> 00:01:26.000]  哇,你們很好
[00:01:26.000 --> 00:01:29.000]  一生必去的,去了
[00:01:29.000 --> 00:01:34.000]  不知道有沒有弟兄姊妹一年去過幾次呢
[00:01:34.000 --> 00:01:38.000]  有的,這些是買了年票的朋友
[00:01:38.000 --> 00:01:46.000]  相信每個人心目中都有人生必去景點的清單
[00:01:46.000 --> 00:01:50.000]  可能現在你未有足夠的旅費、假期
[00:01:50.000 --> 00:01:53.000]  或者你同行的友伴
[00:01:53.000 --> 00:01:55.000]  但有時候,真的
[00:01:55.000 --> 00:01:59.000]  旅行這回事,真的要講時機的
[00:01:59.000 --> 00:02:02.000]  隨著年紀的增長的時候
[00:02:02.000 --> 00:02:06.000]  我們有時候體力真的不支
[00:02:06.000 --> 00:02:11.000]  有些地方是需要體力去行山
[00:02:11.000 --> 00:02:14.000]  所以都是要把握時機
[00:02:14.000 --> 00:02:17.000]  趁著疫情稍為緩和
[00:02:17.000 --> 00:02:20.000]  不過好像又有點激發了
[00:02:20.000 --> 00:02:23.000]  又拿了三千元的消費券
[00:02:23.000 --> 00:02:25.000]  拿了吧
[00:02:25.000 --> 00:02:27.000]  大家都可以計劃一下
[00:02:27.000 --> 00:02:30.000]  弟兄姊妹,不知道在你心目中
[00:02:30.000 --> 00:02:36.000]  又有沒有一個令你很嚮往、很想去的地方呢
[00:02:36.000 --> 00:02:42.000]  今天來到《轉變中的盼望》以西傑書系列的最後一講
[00:02:42.000 --> 00:02:44.000]  很有盼望的
[00:02:44.000 --> 00:02:47.000]  大家聽了一整年的以西傑書了
[00:02:47.000 --> 00:02:50.000]  不知道大家掌握了多少呢
[00:02:50.000 --> 00:02:53.000]  誰覺得都很掌握呢
[00:02:53.000 --> 00:02:54.000]  (觀眾:我)
[00:02:54.000 --> 00:02:57.000]  他說了一整年的
[00:02:57.000 --> 00:03:02.000]  不要緊,我們最後一次都掌握了這一次
[00:03:02.000 --> 00:03:04.000]  就讓我們一起來看看
[00:03:04.000 --> 00:03:09.000]  在以西傑先知所領受的神在他的意象裏
[00:03:09.000 --> 00:03:14.000]  神為他的子民所預備的理想將來
[00:03:14.000 --> 00:03:16.000]  究竟是怎樣的呢
[00:03:16.000 --> 00:03:20.000]  是一個怎樣令人嚮往的地方
[00:03:20.000 --> 00:03:26.000]  不如讓我再重溫一下以西傑書的一些主題
[00:03:26.000 --> 00:03:28.000]  簡單來說
[00:03:28.000 --> 00:03:30.000]  大家要記住,帶得走的
[00:03:30.000 --> 00:03:32.000]  神的榮耀
[00:03:32.000 --> 00:03:37.000]  神的榮耀的彰顯、離開和恢復
[00:03:37.000 --> 00:03:41.000]  記得我們一開始的時候已經講過了
[00:03:41.000 --> 00:03:45.000]  以西傑先知在秘魯之地
[00:03:45.000 --> 00:03:49.000]  他看到天上神榮耀的彰顯
[00:03:49.000 --> 00:03:53.000]  神呼召他到以色列人中間
[00:03:53.000 --> 00:03:56.000]  傳講審判的訊息
[00:03:56.000 --> 00:04:02.000]  由於以色列百姓經常犯罪、得罪神
[00:04:02.000 --> 00:04:05.000]  受到神很嚴厲的懲罰
[00:04:05.000 --> 00:04:07.000]  以致國破家亡
[00:04:07.000 --> 00:04:09.000]  在意象裏
[00:04:09.000 --> 00:04:15.000]  神的榮耀更加從聖殿和耶路撒冷那裏離開了
[00:04:15.000 --> 00:04:19.000]  但上帝很憐憫那些以色列人
[00:04:19.000 --> 00:04:23.000]  神藉著審判來管教他們
[00:04:23.000 --> 00:04:27.000]  還宣告要對付地上的列國
[00:04:27.000 --> 00:04:29.000]  到末後
[00:04:29.000 --> 00:04:33.000]  神要再次去復興那些以色列人
[00:04:33.000 --> 00:04:36.000]  要恢復神的榮耀
[00:04:36.000 --> 00:04:41.000]  而且要在末日建立榮耀的國度和嶄新的聖殿
[00:04:41.000 --> 00:04:44.000]  所以在40至48章
[00:04:44.000 --> 00:04:47.000]  這是最後一個大的段落
[00:04:47.000 --> 00:04:50.000]  神透過意象給以西傑先知
[00:04:50.000 --> 00:04:53.000]  他看到一個將來理想的
[00:04:53.000 --> 00:04:57.000]  聖殿、聖城和聖地的景象
[00:04:57.000 --> 00:05:01.000]  可以說是整本以西傑書的一個高峰
[00:05:01.000 --> 00:05:06.000]  也是最後最榮耀的一個篇章
[00:05:06.000 --> 00:05:09.000]  今天我宣講的經文
[00:05:09.000 --> 00:05:15.000]  是在以西傑書47章13節至48章35節
