
[00:00:00.000 --> 00:00:04.000]  在正道前讓我們低頭一起禱告
[00:00:04.000 --> 00:00:11.000]  親愛的主感謝祢賜下盼望
[00:00:11.000 --> 00:00:14.000]  賜下力量 賜下安慰
[00:00:14.000 --> 00:00:17.000]  讓我們能夠在面對不同的轉變的時候
[00:00:17.000 --> 00:00:20.000]  雖然很多事情還未明朗
[00:00:20.000 --> 00:00:24.000]  但我們因著祢 因著信 我們可以前行
[00:00:24.000 --> 00:00:28.000]  求祢來預納我們所獻情的一切
[00:00:28.000 --> 00:00:32.000]  有藉祢的道去煉證我們 兼顧我們的心
[00:00:32.000 --> 00:00:36.000]  聽我們禱告 奉耶穌基督的名求 阿們
[00:00:36.000 --> 00:00:39.000]  弟兄姊妹 不知道面對轉變
[00:00:39.000 --> 00:00:42.000]  你們準備好了沒有呢?
[00:00:42.000 --> 00:00:44.000]  之前也說過 在教會來說
[00:00:44.000 --> 00:00:46.000]  有新架構的轉變
[00:00:46.000 --> 00:00:49.000]  大家一起去走這條路
[00:00:49.000 --> 00:00:52.000]  社會各樣東西
[00:00:52.000 --> 00:00:55.000]  離開香港 然後又回到香港
[00:00:55.000 --> 00:00:59.000]  吃飯 吃飯也有很多東西的適應 很多的轉變
[00:00:59.000 --> 00:01:04.000]  今晚的講題是圓滿的告別
[00:01:04.000 --> 00:01:08.000]  不知道在崇拜中的你聽到這個題目的時候
[00:01:08.000 --> 00:01:11.000]  你有什麼反應
[00:01:11.000 --> 00:01:13.000]  圓滿的告別
[00:01:13.000 --> 00:01:18.000]  我想在人生裡 大家都在經歷不同形式的告別
[00:01:18.000 --> 00:01:22.000]  有的是大告別 一生人只有一次那種
[00:01:22.000 --> 00:01:27.000]  有的是小告別 一生裡也有很多次去經歷過
[00:01:27.000 --> 00:01:31.000]  特別是我們身處的時空 年代 環境裡
[00:01:31.000 --> 00:01:35.000]  確實是無可避免去面對
[00:01:35.000 --> 00:01:37.000]  在告別的時候
[00:01:37.000 --> 00:01:41.000]  不知道有多少人已經做好心理準備呢?
[00:01:41.000 --> 00:01:44.000]  我已經做好了
[00:01:44.000 --> 00:01:50.000]  我記得爸爸在入院的時候 病情很嚴重
[00:01:50.000 --> 00:01:55.000]  當時他入院住了30天
[00:01:55.000 --> 00:01:58.000]  也不知道他能不能清醒過來
[00:01:58.000 --> 00:02:01.000]  更加不知道他能不能出院
[00:02:01.000 --> 00:02:03.000]  但是神保守他
[00:02:03.000 --> 00:02:06.000]  那次真的可以康復 出院
[00:02:06.000 --> 00:02:10.000]  但是沒想到過了兩天
[00:02:10.000 --> 00:02:13.000]  在家裡跌倒 失救
[00:02:13.000 --> 00:02:18.000]  很突然就離開了我們 也離開了這個世界
[00:02:18.000 --> 00:02:21.000]  我會去想的時候
[00:02:21.000 --> 00:02:25.000]  這是我們沒有預算到的一個現實
[00:02:25.000 --> 00:02:28.000]  爸爸這樣就走了
[00:02:28.000 --> 00:02:31.000]  時不時我都會在想起他
[00:02:31.000 --> 00:02:35.000]  我都想起那個時間 都是在神的手裡
[00:02:35.000 --> 00:02:38.000]  不是在人的手裡
[00:02:38.000 --> 00:02:40.000]  因為爸爸離開沒多久
[00:02:40.000 --> 00:02:43.000]  香港也經歷很多不同的轉變
[00:02:43.000 --> 00:02:47.000]  那一年也是爸爸在19年4月的時間離開世界
[00:02:47.000 --> 00:02:50.000]  在爸爸離開世界那一天
[00:02:50.000 --> 00:02:53.000]  很巧地 很恰巧地
[00:02:53.000 --> 00:02:55.000]  就讀了一節經文
[00:02:55.000 --> 00:02:59.000]  帶給我很大的安慰和鼓勵
[00:02:59.000 --> 00:03:02.000]  耶穌說:復活在我 生命也在我
[00:03:02.000 --> 00:03:05.000]  信我的人雖然死了 也必復活
[00:03:05.000 --> 00:03:08.000]  雖然我不能肯定爸爸是否信了主
[00:03:08.000 --> 00:03:10.000]  這個我不能確定
[00:03:10.000 --> 00:03:12.000]  但是那一天神的說話
[00:03:12.000 --> 00:03:16.000]  確實是很恰到好處地鼓勵和安慰我的心
[00:03:16.000 --> 00:03:20.000]  面對我們人生的不同的場景
[00:03:20.000 --> 00:03:22.000]  圓滿的告別
[00:03:22.000 --> 00:03:25.000]  我總是相信在我們人的心裡
[00:03:25.000 --> 00:03:29.000]  是多麼渴望得到這個圓滿的告別
[00:03:29.000 --> 00:03:32.000]  想自己的人生圓滿
[00:03:32.000 --> 00:03:36.000]  縱然現實未必可以如願以償
[00:03:36.000 --> 00:03:39.000]  很想做人有始有終
[00:03:39.000 --> 00:03:42.000]  做人有意義 幫到人
[00:03:42.000 --> 00:03:44.000]  又讓人記得你
[00:03:44.000 --> 00:03:47.000]  但是從小到大去發現
[00:03:47.000 --> 00:03:50.000]  去觀察 去看身邊的人士
[00:03:50.000 --> 00:03:54.000]  見證或者是新聞各方面的時候
[00:03:54.000 --> 00:03:57.000]  發現好像不圓滿的現實
[00:03:57.000 --> 00:04:00.000]  比起圓滿的更加多
[00:04:00.000 --> 00:04:02.000]  好像是一個這樣的現實
[00:04:02.000 --> 00:04:04.000]  但感恩的是
[00:04:04.000 --> 00:04:07.000]  作為基督徒我們有神的說話
[00:04:07.000 --> 00:04:12.000]  神的說話是有情 可靠和準確
