
[00:00:00.000 --> 00:00:03.760]  因為我是十四年前猜出去在東九堂來侍奉
[00:00:03.760 --> 00:00:08.680]  所以今天很開心在當中跟大家分享神的說話
[00:00:08.680 --> 00:00:10.800]  這一堂崇拜是很特別的
[00:00:10.800 --> 00:00:12.000]  這一堂是什麼崇拜?
[00:00:12.000 --> 00:00:13.120]  (觀眾:恩福)
[00:00:13.120 --> 00:00:15.000]  是的,大家沒有來錯的
[00:00:15.000 --> 00:00:17.000]  是恩福第四子堂的崇拜
[00:00:17.000 --> 00:00:19.000]  所以是拍照的
[00:00:19.000 --> 00:00:22.480]  就是說你參加了這堂崇拜的話
[00:00:22.480 --> 00:00:24.480]  你應該也在祈禱了,是不是?
[00:00:24.480 --> 00:00:26.000]  在回應神的呼召
[00:00:26.000 --> 00:00:34.640]  所以今天我希望周權弟兄帶這首詩歌《恩著信》
[00:00:34.640 --> 00:00:39.000]  也是今天我說這段經文大使命的根源
[00:00:39.000 --> 00:00:43.000]  我們就一起來思想一下
[00:00:43.000 --> 00:00:46.000]  究竟今日神對我們的呼召是什麼呢?
[00:00:46.000 --> 00:00:48.000]  和阿伯拉罕有什麼關係呢?
[00:00:48.000 --> 00:00:52.000]  這是我今天想跟大家分享的信息
[00:00:52.000 --> 00:00:54.000]  記得在十四年前
[00:00:54.000 --> 00:00:56.000]  東九直堂的時候
[00:00:56.000 --> 00:00:59.000]  牧師 孫牧師曾經也分享了這段經文
[00:00:59.000 --> 00:01:03.000]  當時我最深刻的體會就是
[00:01:03.000 --> 00:01:08.000]  牧師分享到解釋神呼召阿伯拉罕的時候
[00:01:08.000 --> 00:01:10.000]  叫他去的意思
[00:01:10.000 --> 00:01:12.000]  不是叫他離開,不是叫他走
[00:01:12.000 --> 00:01:15.000]  而是叫他為自己去
[00:01:15.000 --> 00:01:16.000]  為自己去就是說
[00:01:16.000 --> 00:01:20.000]  神叫阿伯拉罕去的時候是為了要建立阿伯拉罕
[00:01:20.000 --> 00:01:27.000]  所以今天當我自己踏入東九第十四年的時候
[00:01:27.000 --> 00:01:32.000]  特別想用這段經文再一次和大家思想
[00:01:32.000 --> 00:01:34.000]  有什麼反思和學習
[00:01:34.000 --> 00:01:36.000]  和大家有什麼鼓勵
[00:01:36.000 --> 00:01:40.000]  大家可能都不太認識我
[00:01:40.000 --> 00:01:42.000]  所以我也要自我介紹一下
[00:01:42.000 --> 00:01:44.000]  其實我是一個很穩定的人
[00:01:44.000 --> 00:01:46.000]  如果你認識我,你就知道我很穩定
[00:01:46.000 --> 00:01:48.000]  不單重量很穩定
[00:01:48.000 --> 00:01:50.000]  我的生活也很穩定
[00:01:50.000 --> 00:01:54.000]  由幼稚園到小學,我轉過一次校
[00:01:54.000 --> 00:01:56.000]  可能大家也是,沒什麼特別
[00:01:56.000 --> 00:02:01.000]  然後就讀到高中,到大專,我也轉過一次校
[00:02:01.000 --> 00:02:04.000]  之後就轉過一次工,打過兩份工
[00:02:04.000 --> 00:02:06.000]  然後我讀過一間神學院
[00:02:06.000 --> 00:02:09.000]  回過一間教會
[00:02:09.000 --> 00:02:11.000]  也都是侍奉過一間教會
[00:02:11.000 --> 00:02:18.000]  我由小學畢業到現在,也是侍奉的教會
[00:02:18.000 --> 00:02:20.000]  大家猜一下我侍奉了多少年
[00:02:20.000 --> 00:02:23.000]  不敢猜嗎?
[00:02:23.000 --> 00:02:29.000]  大家都是濕濕聲說,其實我已經超過了二十年
[00:02:29.000 --> 00:02:31.000]  我拿了老人牌兩次
[00:02:31.000 --> 00:02:34.000]  我差不多二十二年
[00:02:34.000 --> 00:02:39.000]  所以我自己其實是一個很追求穩定的人
[00:02:39.000 --> 00:02:42.000]  我希望所有事情都不會變就最好了
[00:02:42.000 --> 00:02:44.000]  但變也好,我要穩中求變
[00:02:44.000 --> 00:02:47.000]  不要經常變
[00:02:47.000 --> 00:02:51.000]  變對我來說也會構成一種很大的壓力
[00:02:51.000 --> 00:02:53.000]  最初讀神學的時候
[00:02:53.000 --> 00:02:57.000]  其實我的目的都是希望回到母會侍奉
[00:02:57.000 --> 00:03:01.000]  我的母會是慈鄉生命堂
[00:03:01.000 --> 00:03:05.000]  當時我出去讀神學的時候
[00:03:05.000 --> 00:03:08.000]  因為母會的目者不穩定
[00:03:08.000 --> 00:03:09.000]  所以我出去讀神學
[00:03:09.000 --> 00:03:14.000]  但神學畢業之後,教會也有穩定的目者來侍奉
[00:03:14.000 --> 00:03:17.000]  所以當時恩福是我實習的教會
[00:03:17.000 --> 00:03:21.000]  所以我就順其自然繼續在恩福侍奉
[00:03:21.000 --> 00:03:25.000]  所以我已經非常穩定,已經二十二年了
[00:03:25.000 --> 00:03:28.000]  在恩福侍奉給我一個最大的學習
[00:03:28.000 --> 00:03:31.000]  一個很大的學習,也是一個很大的適應
[00:03:31.000 --> 00:03:36.000]  就是過去我自己的母堂大概一百多人
[00:03:36.000 --> 00:03:40.000]  我在那裡上了十年
[00:03:40.000 --> 00:03:45.000]  所以差不多整個崇拜弟兄姊妹都認識了
[00:03:45.000 --> 00:03:49.000]  但來到恩福堂的時候,我發現第一個實習是什麼呢?
[00:03:49.000 --> 00:03:50.000]  第一個學習是什麼呢?
[00:03:50.000 --> 00:03:52.000]  就是可能大家也在學習
[00:03:52.000 --> 00:03:53.000]  每一次上崇拜的時候
[00:03:53.000 --> 00:03:57.000]  咦,旁邊那個不一樣的
[00:03:57.000 --> 00:04:01.000]  這個是實習的時候,上崇拜一個學習
[00:04:01.000 --> 00:04:03.000]  但原來崇拜的弟兄姊妹
[00:04:03.000 --> 00:04:05.000]  和你主一學的那些又不同
[00:04:05.000 --> 00:04:07.000]  這個主一學教的那些弟兄姊妹
[00:04:07.000 --> 00:04:09.000]  下一個主一學教的那些又不同
[00:04:09.000 --> 00:04:14.000]  再加上團契裡面,全隊人都要站在新人組
[00:04:14.000 --> 00:04:18.000]  每次來的弟兄姊妹,就是有新有舊
[00:04:18.000 --> 00:04:20.000]  有時候你也不知道他們是新還是舊
[00:04:20.000 --> 00:04:23.000]  總之就亂七八糟
[00:04:23.000 --> 00:04:27.000]  所以這是一個很大的適應
[00:04:27.000 --> 00:04:30.000]  所以直到今天,其實我也是
[00:04:30.000 --> 00:04:32.000]  有時候會記錯了大家的名字
[00:04:32.000 --> 00:04:33.000]  所以我先說定
[00:04:33.000 --> 00:04:36.000]  不會記錯了,不好意思
[00:04:36.000 --> 00:04:40.000]  所以我在侍奉的第一兩年裡面
[00:04:40.000 --> 00:04:43.000]  其實我也對自己有些懷疑
[00:04:43.000 --> 00:04:45.000]  神啊,我到底適不適合做全隊人
[00:04:45.000 --> 00:04:48.000]  我搞成這樣,好像自己很亂
[00:04:48.000 --> 00:04:51.000]  後來我就發現原來神有時候
[00:04:51.000 --> 00:04:54.000]  吩咐我們離開我們最熟悉的環境
[00:04:54.000 --> 00:04:56.000]  熟悉的人,熟悉的事
[00:04:56.000 --> 00:04:58.000]  其實是有原因的
[00:04:58.000 --> 00:05:00.000]  所以一個轉變,雖然帶來一個衝擊
[00:05:00.000 --> 00:05:04.000]  但我看到上帝的心意在當中
[00:05:04.000 --> 00:05:06.000]  我們繼續藉著亞伯拉罕的經文
[00:05:06.000 --> 00:05:09.000]  也繼續分享我的一些直堂的心聲
[00:05:09.000 --> 00:05:11.000]  我們首先來看一看
[00:05:11.000 --> 00:05:14.000]  神給亞伯拉罕的使命
[00:05:14.000 --> 00:05:17.000]  神給亞伯拉罕的使命,大家都應該熟悉的
[00:05:17.000 --> 00:05:20.000]  就是《創世紀》十二章,一至到第三節
[00:05:20.000 --> 00:05:22.000]  我先說第一節
[00:05:22.000 --> 00:05:25.000]  之後再和大家繼續分享第二、第三節
[00:05:28.000 --> 00:05:30.000]  看不看得到?
[00:05:30.000 --> 00:05:35.000]  我這裡按了很多張經文
[00:05:35.000 --> 00:05:41.000]  看不看得到?
[00:05:41.000 --> 00:05:42.000]  你看得到嗎?
