
[00:00:00.000 --> 00:00:03.720]  我今天和大家分享的信息
[00:00:03.720 --> 00:00:08.000]  一方面是希望大家能夠從聖經裡面看到
[00:00:08.000 --> 00:00:10.400]  原來聖經裡面的說話
[00:00:10.400 --> 00:00:13.200]  不只是為了我們自己個人的平安
[00:00:13.200 --> 00:00:15.440]  為了我們得救的喜樂
[00:00:15.440 --> 00:00:17.440]  得救的盼望
[00:00:17.440 --> 00:00:19.440]  它甚至對整個世界
[00:00:19.440 --> 00:00:25.120]  是幾千年前一早已經預言了會有什麼事情發生
[00:00:25.120 --> 00:00:27.920]  現在我們去看回這個世界
[00:00:27.920 --> 00:00:32.000]  完完全全就是這樣來發生
[00:00:32.000 --> 00:00:35.600]  神就是要這樣來告訴我們
[00:00:35.600 --> 00:00:38.400]  祂的說話安定在天
[00:00:38.400 --> 00:00:40.400]  是沒有人可以改變
[00:00:40.400 --> 00:00:42.400]  祂自己不會改變
[00:00:42.400 --> 00:00:44.400]  但是這個世界
[00:00:44.400 --> 00:00:47.520]  不信的人都是跟著祂的說話
[00:00:47.520 --> 00:00:50.000]  就是這樣來進行
[00:00:50.000 --> 00:00:52.560]  整個天氣的狀況
[00:00:52.560 --> 00:00:54.240]  環境的狀況
[00:00:54.240 --> 00:00:55.680]  瘟疫的狀況
[00:00:55.680 --> 00:00:57.280]  各種不同的事情
[00:00:57.280 --> 00:01:00.320]  以色列和巴勒斯坦之間的狀況
[00:01:00.320 --> 00:01:01.680]  我今天的主題
[00:01:01.680 --> 00:01:03.680]  就是告訴我們
[00:01:03.680 --> 00:01:06.640]  原來幾千年前祂早就預言了
[00:01:06.640 --> 00:01:08.640]  這些事情就是這樣發生的
[00:01:08.640 --> 00:01:10.640]  我們一起做一個禱告
[00:01:10.640 --> 00:01:14.640]  將今天的時間交給我們的神
[00:01:14.640 --> 00:01:16.640]  親愛的主
[00:01:16.640 --> 00:01:18.640]  我們深深的相信
[00:01:18.640 --> 00:01:21.920]  祢就是這個世界的主宰
[00:01:21.920 --> 00:01:23.920]  祢說了的話
[00:01:23.920 --> 00:01:25.920]  不會收回
[00:01:25.920 --> 00:01:27.920]  祢甚至在預言裡面
[00:01:27.920 --> 00:01:29.920]  一而再再而三的告訴我們
[00:01:29.920 --> 00:01:32.960]  聖經裡面的預言
[00:01:32.960 --> 00:01:36.320]  沒有一件事會落空
[00:01:36.320 --> 00:01:38.320]  全部都要按著
[00:01:38.320 --> 00:01:42.320]  預言裡面一定要發生的事情
[00:01:42.320 --> 00:01:44.320]  就是這樣會發生
[00:01:44.320 --> 00:01:46.320]  我求你幫助我們對這些說話
[00:01:46.320 --> 00:01:49.360]  有更深入的了解
[00:01:49.360 --> 00:01:52.800]  又能夠更加有信心
[00:01:52.800 --> 00:01:55.920]  知道如何預備我們自己
[00:01:55.920 --> 00:01:58.800]  在這個世界上過一個落地的生活
[00:01:58.800 --> 00:02:01.440]  是讓人看得見我們的信仰
[00:02:01.440 --> 00:02:03.440]  就好像我們的神
[00:02:03.440 --> 00:02:05.440]  是一個讓人看得見的神
[00:02:05.440 --> 00:02:08.960]  祢的預言是讓人看得見的說話
[00:02:08.960 --> 00:02:10.960]  看得見的預言
[00:02:10.960 --> 00:02:12.960]  更加求祢幫助我們有智慧
[00:02:12.960 --> 00:02:14.960]  在這個世上活著的時候
[00:02:14.960 --> 00:02:19.280]  讓經歷危當中的人
[00:02:19.280 --> 00:02:20.960]  看到他們的機
[00:02:20.960 --> 00:02:22.960]  經歷逆境的人
[00:02:22.960 --> 00:02:24.960]  看到他們的出路
[00:02:24.960 --> 00:02:26.960]  我們仰望你聽我們的禱告
[00:02:26.960 --> 00:02:28.960]  奉耶穌基督的名曲
[00:02:28.960 --> 00:02:30.960]  阿們
[00:02:30.960 --> 00:02:36.960]  各位電影姊妹
[00:02:36.960 --> 00:02:38.960]  我相信
[00:02:38.960 --> 00:02:42.960]  最近很多人都會看
[00:02:42.960 --> 00:02:46.960]  整個世界的大事回顧
[00:02:46.960 --> 00:02:48.960]  有多少人有看過的
[00:02:48.960 --> 00:02:50.960]  可不可以舉手
[00:02:50.960 --> 00:02:52.960]  去年的大事回顧
[00:02:52.960 --> 00:02:54.960]  看過的舉手 舉高一點
[00:02:54.960 --> 00:02:56.960]  我想你看新聞的人
