
[00:00:00.000 --> 00:00:02.760]  敬拜隊大力唱詩歌
[00:00:02.760 --> 00:00:07.560]  他們選的詩歌每次都很配合我今天所說的訊息
[00:00:07.560 --> 00:00:11.280]  盼望今天的訊息也成為大家的幫助
[00:00:11.280 --> 00:00:14.360]  今天是《爾忽所書》裡最後一講
[00:00:14.360 --> 00:00:16.680]  盼望今天最後一講的時候
[00:00:16.680 --> 00:00:21.320]  都能夠讓我們同心的在神的話裡繼續去裝備
[00:00:21.320 --> 00:00:23.640]  繼續去認識神的教導
[00:00:23.640 --> 00:00:25.880]  我們有一起祈禱的時間
[00:00:25.880 --> 00:00:31.640]  七天父實在感謝祢讓我們能夠有歌聲在當中去讚美祢
[00:00:31.640 --> 00:00:35.040]  也讓我們能夠在祢面前站立
[00:00:35.040 --> 00:00:36.960]  因為祢賜給我們
[00:00:36.960 --> 00:00:38.360]  祢揀選我們
[00:00:38.360 --> 00:00:42.040]  祢更加賜給我們神的兒女的身份
[00:00:42.040 --> 00:00:44.520]  以致我們能夠在祢面前歌頌
[00:00:44.520 --> 00:00:47.720]  也能夠在祢面前一起高呼
[00:00:47.720 --> 00:00:49.000]  去禱告
[00:00:49.000 --> 00:00:50.560]  去仰望祢的恩典
[00:00:50.560 --> 00:00:52.760]  求祢賜恩今天的時間
[00:00:52.760 --> 00:00:54.760]  願祢的說話成為我們的提醒
[00:00:54.760 --> 00:00:56.000]  多謝你聽我們禱告
[00:00:56.000 --> 00:00:56.640]  以上禱告
[00:00:56.640 --> 00:00:57.400]  奉主命求
[00:00:57.400 --> 00:00:58.160]  阿門
[00:00:59.520 --> 00:01:01.720]  好不知道大家看到今天題目的時候
[00:01:01.720 --> 00:01:02.960]  想起什麼
[00:01:02.960 --> 00:01:05.400]  提到真戰
[00:01:05.400 --> 00:01:08.080]  不知道你想起會不會是
[00:01:08.080 --> 00:01:09.920]  這兩年裡面
[00:01:09.920 --> 00:01:11.640]  俄烏的戰爭
[00:01:11.640 --> 00:01:13.440]  俄烏戰爭
[00:01:13.440 --> 00:01:15.840]  還是以巴衝突
[00:01:15.840 --> 00:01:19.680]  這兩種戰爭已經超過了兩年的時間
[00:01:19.680 --> 00:01:21.360]  死傷無數
[00:01:21.360 --> 00:01:23.840]  最無辜的就是平民百姓
[00:01:23.840 --> 00:01:25.720]  令人慘不忍睹
[00:01:25.720 --> 00:01:27.920]  他們面對每天的空襲
[00:01:27.920 --> 00:01:29.000]  每天的傷害
[00:01:29.000 --> 00:01:31.600]  甚至很多親人的離開
[00:01:31.600 --> 00:01:32.840]  這些場面
[00:01:32.840 --> 00:01:36.320]  我們真的看見的時候都很心酸
[00:01:36.320 --> 00:01:38.880]  但另一場真戰我們看不到
[00:01:38.880 --> 00:01:40.720]  但真真實實的
[00:01:40.720 --> 00:01:43.280]  在我們身邊裡面發生
[00:01:43.280 --> 00:01:45.480]  就是屬靈真戰
[00:01:45.480 --> 00:01:48.960]  很多時候當我們提及屬靈真戰的時候
[00:01:48.960 --> 00:01:51.120]  我們只會想起
[00:01:51.120 --> 00:01:54.560]  耶穌為人在當中去醫病講鬼
