
[00:00:00.000 --> 00:00:05.760]  早安,很開心可以再一次來到崇拜
[00:00:05.760 --> 00:00:09.760]  剛剛在劍拜到劍拜的時候,我很感受到上帝的愛
[00:00:09.760 --> 00:00:12.000]  而且在來之前,Fuller's講道
[00:00:12.000 --> 00:00:15.040]  他今天早上起床的時候
[00:00:15.040 --> 00:00:18.640]  他的手機告訴他,今天早上是八度
[00:00:18.640 --> 00:00:20.160]  大家跟身邊的朋友說
[00:00:20.160 --> 00:00:23.840]  很開心在八度的天氣裡面見到你,好不好?
[00:00:23.840 --> 00:00:28.160]  很冷很冷
[00:00:29.120 --> 00:00:34.000]  好,很開心,在新年之後的第一個星期跟大家見面
[00:00:34.000 --> 00:00:38.000]  不知道你這個星期,這個新年過得好不好?
[00:00:38.000 --> 00:00:41.200]  要不然跟家人或朋友一起出去吃飯
[00:00:41.200 --> 00:00:44.720]  行山去吃自助餐,有人吃盤菜嗎?舉手
[00:00:44.720 --> 00:00:48.400]  盤菜我比較傳統一點,我自己也是吃盤菜
[00:00:48.400 --> 00:00:51.520]  有人連續吃兩天盤菜嗎?唯有
[00:00:51.520 --> 00:00:55.920]  三天,三天,早有,給掌聲好不好?
[00:00:55.920 --> 00:00:58.480]  三天,好厲害好厲害
[00:00:58.480 --> 00:01:01.920]  我這幾天在Facebook上看到一張相片
[00:01:01.920 --> 00:01:05.120]  我覺得很搞笑,而且可以說到我自己的心情
[00:01:05.120 --> 00:01:06.480]  我看看這張相片
[00:01:06.480 --> 00:01:09.040]  那個人過年前比較瘦一點
[00:01:09.040 --> 00:01:12.640]  但是吃了四天之後,他就比較肥胖一點
[00:01:12.640 --> 00:01:15.440]  他的腰帶也要蓬鬆一下
[00:01:15.440 --> 00:01:19.280]  有沒有人過完年第一個目標是想要減肥?
[00:01:19.280 --> 00:01:23.040]  我就是了,喂喂喂,你看看
[00:01:23.040 --> 00:01:28.480]  好,我自己覺得減肥這件事是需要大家一起減肥才會成功的
[00:01:28.480 --> 00:01:31.040]  一個人減肥,譬如我自己減肥的話
[00:01:31.040 --> 00:01:33.360]  通常到最後什麼都會跟自己說
[00:01:33.360 --> 00:01:35.360]  喂,吃飽一點再減肥
[00:01:35.360 --> 00:01:38.960]  吃多一點,睡覺開心一點再減肥
[00:01:38.960 --> 00:01:41.600]  這樣最後什麼呢?就放棄了減肥
[00:01:41.600 --> 00:01:46.720]  所以我覺得減肥這件事是要找朋友一起去做這件事
[00:01:46.720 --> 00:01:51.440]  才可以成功的,找朋友去行山,踢球等等
[00:01:51.440 --> 00:01:56.160]  賣廣告,我們足球隊放假星期天下午有踢球
[00:01:56.160 --> 00:01:58.880]  我們有時候會比賽的,所以希望你們會為我們祈禱
[00:01:58.880 --> 00:02:01.920]  有時候我們也會跟球會踢球的比賽
[00:02:01.920 --> 00:02:05.280]  所以希望有大家的討告支持
[00:02:05.280 --> 00:02:08.720]  好,所以減肥這件事回到減肥
[00:02:08.720 --> 00:02:13.360]  最重要就是要大家一起去行,一起彼此守望,彼此提醒
[00:02:13.360 --> 00:02:17.040]  喂,這個星期要減肥一公斤,一磅
[00:02:17.040 --> 00:02:19.040]  大家一起做才會成功
[00:02:19.040 --> 00:02:25.200]  一起減肥,一起玩,這是很多人的經驗
[00:02:25.200 --> 00:02:29.280]  過去的經驗,這次的經驗,還有很多人的回憶
[00:02:29.280 --> 00:02:36.160]  但對於很多人來說,今年一起減肥,一起玩,一起去行山的朋友
[00:02:36.160 --> 00:02:38.560]  已經跟去年的不相同了
[00:02:38.560 --> 00:02:41.280]  已經跟去年的群組不同了
[00:02:41.280 --> 00:02:44.240]  以前的朋友可能因為意見不同
[00:02:44.240 --> 00:02:46.240]  或者因為有些事情發生了
[00:02:46.240 --> 00:02:49.920]  所以沒辦法在今年一起同行,一起彼此守望
[00:02:49.920 --> 00:02:53.760]  沒辦法繼續生活在這條人生的道路
[00:02:53.760 --> 00:02:59.680]  大家知道我想問你,你還記不記得你很在意很重視的朋友
[00:02:59.680 --> 00:03:02.480]  但你可能沒辦法再跟他同行
[00:03:02.480 --> 00:03:07.440]  你內心很想再挽回這段關係,這個朋友
[00:03:07.440 --> 00:03:09.200]  你還要找回這個朋友
[00:03:09.200 --> 00:03:12.320]  但其實你知道,你如果這樣再找回這個朋友
[00:03:12.320 --> 00:03:15.040]  其實你也會很傷痛的,很難過的
[00:03:15.040 --> 00:03:19.440]  因為你要面對這個朋友,你就要面對你心中的傷口
[00:03:19.440 --> 00:03:21.840]  你就要面對這個心痛
[00:03:21.840 --> 00:03:25.920]  所以你很難有勇氣去面對這個關係
[00:03:25.920 --> 00:03:30.000]  今天我講到的主題是叫做經歷神的生命
[00:03:30.000 --> 00:03:34.080]  我們將會透過聖經裡面兩兄弟的紛爭與結果
[00:03:34.080 --> 00:03:38.320]  來幫助我們學習如何去面對一個破裂的關係
[00:03:38.320 --> 00:03:42.800]  我們將會學習如何去用一個敬拜神的心態
[00:03:42.800 --> 00:03:47.280]  去經歷上大醫治一段關係的這件事情
[00:03:47.280 --> 00:03:51.600]  希望今天講到讓我們不單有勇氣去面對一個破裂的關係
[00:03:51.600 --> 00:03:56.400]  同時間也可以讓我們有希望、有盼望
[00:03:56.400 --> 00:03:59.040]  去相信一段破裂的關係
[00:03:59.040 --> 00:04:03.600]  其實是可以被醫治,我們其實是可以和好的
[00:04:03.600 --> 00:04:08.880]  今天我們的經文是出自於創世記第33章的第一節到第20節
[00:04:08.880 --> 00:04:12.400]  有少少長,請大家幫我讀這段經文,好嗎?
[00:04:12.400 --> 00:04:14.400]  1、2、3,請
[00:04:14.960 --> 00:04:18.960]  (法定人數不足)
[00:04:19.520 --> 00:04:23.520]  (法定人數不足)
[00:04:24.080 --> 00:04:28.080]  (法定人數不足)
[00:04:28.640 --> 00:04:32.640]  (法定人數不足)
[00:04:32.640 --> 00:04:50.640]  (法定人數不足)
[00:04:51.200 --> 00:04:55.200]  (法定人數不足)
[00:05:19.200 --> 00:05:23.200]  (法定人數不足)
[00:05:23.200 --> 00:05:27.200]  (法定人數不足)
[00:05:27.200 --> 00:05:31.200]  (法定人數不足)
[00:05:31.200 --> 00:05:35.200]  (法定人數不足)
[00:05:57.200 --> 00:06:01.200]  (法定人數不足)
[00:06:01.200 --> 00:06:05.200]  (法定人數不足)
[00:06:05.200 --> 00:06:09.200]  (法定人數不足)
[00:06:09.200 --> 00:06:13.200]  (法定人數不足)
[00:06:13.200 --> 00:06:17.200]  (法定人數不足)
