
[00:00:00.000 --> 00:00:03.080]  就是敬拜女帶領我們唱詩的時候
[00:00:03.080 --> 00:00:04.560]  剛剛在敬拜裡面
[00:00:04.560 --> 00:00:05.600]  自己的體會就是
[00:00:05.600 --> 00:00:08.000]  上帝是那位全能的上帝
[00:00:08.000 --> 00:00:09.720]  他是那位 Alpha Omega
[00:00:09.720 --> 00:00:12.920]  是說他是色在今 在永在的上帝
[00:00:12.920 --> 00:00:15.400]  但同時這位上帝不是高高在上
[00:00:15.400 --> 00:00:16.960]  他是深愛著我們
[00:00:16.960 --> 00:00:20.480]  他會親手引導我們一生旅途的上帝
[00:00:20.480 --> 00:00:24.320]  以致我們能夠安然面對人生很多風浪
[00:00:24.560 --> 00:00:30.000]  今天我們繼續有聽到 聽上帝說話的時間
[00:00:30.000 --> 00:00:32.360]  先開始吧
[00:00:32.360 --> 00:00:34.240]  我想問大家一個問題
[00:00:34.240 --> 00:00:37.120]  你們現在多不多打電話給別人呢?
[00:00:37.120 --> 00:00:39.760]  我猜應該不多
[00:00:39.760 --> 00:00:40.920]  因為我自己也很少
[00:00:40.920 --> 00:00:44.640]  通常都在IG 發訊息或WhatsApp找人
[00:00:44.640 --> 00:00:47.240]  但我相信也有時候
[00:00:47.240 --> 00:00:48.880]  你們是緊急到一個地步
[00:00:48.880 --> 00:00:50.040]  你要打電話給別人
[00:00:50.040 --> 00:00:52.520]  可能需要別人即時回覆
[00:00:52.520 --> 00:00:54.520]  或者要立刻確認一些事情
[00:00:54.520 --> 00:00:55.560]  所以你要打電話
[00:00:55.560 --> 00:00:57.560]  因為你等WhatsApp 不知道何時看
[00:00:57.560 --> 00:00:59.640]  可能有些人已讀不回你
[00:00:59.640 --> 00:01:02.520]  今天跟大家分享的主題是
[00:01:02.520 --> 00:01:04.320]  「日常中的Calling」
[00:01:04.320 --> 00:01:06.160]  如果大家有印象
[00:01:06.160 --> 00:01:08.560]  我上一次在一月跟大家分享
[00:01:08.560 --> 00:01:09.720]  有一個新的人物
[00:01:09.720 --> 00:01:11.720]  過去有分享過《藥室》
[00:01:11.720 --> 00:01:13.920]  今年新的一年
[00:01:13.920 --> 00:01:16.560]  很想跟大家分享一個人物叫摩西
[00:01:16.560 --> 00:01:19.840]  上一次說到摩西在第二章的時間
[00:01:19.840 --> 00:01:22.920]  今天會說他接下來的第三章
[00:01:22.920 --> 00:01:25.120]  今天的經文會在《出拉及記》
[00:01:25.120 --> 00:01:27.120]  三章一至六節
[00:01:27.120 --> 00:01:29.520]  在裡面的「Calling」這個字
[00:01:29.520 --> 00:01:31.680]  原來這個字有很特別
[00:01:31.680 --> 00:01:33.240]  大部分有兩個意思
[00:01:33.240 --> 00:01:34.040]  可以這樣分
[00:01:34.040 --> 00:01:36.800]  第一個是說上帝會呼喚
[00:01:36.800 --> 00:01:38.720]  會呼叫別人
[00:01:38.720 --> 00:01:41.840]  另一個可以解釋的
[00:01:41.840 --> 00:01:42.880]  就是要求
[00:01:42.880 --> 00:01:44.280]  Call for 一些事情
[00:01:44.280 --> 00:01:45.800]  可能有些人會Call for你
[00:01:45.800 --> 00:01:47.720]  想你幫他做一些事情
[00:01:47.720 --> 00:01:49.840]  當中我們今天會看的經文
[00:01:49.840 --> 00:01:52.960]  是說上帝對摩西的Calling
[00:01:52.960 --> 00:01:53.800]  Calling什麼呢?
[00:01:53.800 --> 00:01:55.640]  我們一起進入經文
[00:01:55.640 --> 00:01:59.640]  我們先讀出接下來三章一至六節的經文
[00:01:59.640 --> 00:02:01.560]  好,我們一起讀吧
[00:02:01.560 --> 00:02:02.960]  3、2、1,開始
[00:02:02.960 --> 00:02:08.440]  「那時摩西正在目放他岳父米顛濟斯」
[00:02:08.440 --> 00:02:10.160]  「葉蒂羅的羊群」
[00:02:10.160 --> 00:02:14.840]  「有一次他把羊群領到曠野的盡頭去」
[00:02:14.840 --> 00:02:18.000]  「到了神的山,就是荷列山」
[00:02:18.200 --> 00:02:22.200]  「耶和華的使者從荊棘叢裡的火焰中」
[00:02:22.200 --> 00:02:24.080]  「向摩西顯現」
[00:02:24.080 --> 00:02:28.040]  「摩西觀看,看見荊棘被火燒著」
[00:02:28.040 --> 00:02:29.760]  「卻沒有燒毀」
[00:02:29.760 --> 00:02:32.800]  「摩西說:我要到那邊去」
[00:02:32.800 --> 00:02:37.720]  「看看這大異象,這荊棘為什麼沒掉」
[00:02:37.720 --> 00:02:41.840]  「耶和華摩西要到那邊去觀看」
[00:02:41.840 --> 00:02:45.400]  「神就從荊棘叢裡呼叫他說」
[00:02:45.560 --> 00:02:49.320]  「摩西,摩西,摩西說:我在這裡」
[00:02:49.320 --> 00:02:52.640]  「耶和華說:不可過到這裡來」
[00:02:52.640 --> 00:02:55.280]  「要把你腳上的鞋脫掉」
[00:02:55.280 --> 00:02:58.400]  「因為你所站的地方是聖地」
[00:02:58.400 --> 00:03:01.280]  「又說:我是你父親的神」
[00:03:01.280 --> 00:03:02.800]  「阿伯拉罕的神」
[00:03:02.800 --> 00:03:05.240]  「以撒的神,雅各的神」
[00:03:05.240 --> 00:03:07.400]  「摩西因為怕見神」
[00:03:07.400 --> 00:03:10.000]  「就把自己的念蒙住了」
[00:03:10.000 --> 00:03:11.800]  先開始,我們有個禱告
[00:03:11.800 --> 00:03:13.800]  「阿伯拉罕的神」
[00:03:13.800 --> 00:03:15.800]  「因為你把自己的念蒙住了」
[00:03:15.800 --> 00:03:17.800]  「所以你不可以去看見神」
[00:03:17.800 --> 00:03:19.800]  「因為你不可以去看見神」
