
[00:00:00.000 --> 00:00:02.000]  我們開始講到之前
[00:00:02.000 --> 00:00:04.000]  我們同心一齊去禱告
[00:00:04.000 --> 00:00:06.000]  親愛的天父感謝你
[00:00:06.000 --> 00:00:08.000]  讓我們今天可以回到教會
[00:00:08.000 --> 00:00:10.000]  我們一齊去敬拜你
[00:00:10.000 --> 00:00:12.000]  求主你打開我們的心
[00:00:12.000 --> 00:00:15.000]  讓我們的心靈得到甦醒
[00:00:15.000 --> 00:00:17.000]  聆聽神理的話語
[00:00:17.000 --> 00:00:20.000]  也被神理的話語提醒和幫助
[00:00:20.000 --> 00:00:23.000]  奉主耶穌基督之名祈求
[00:00:23.000 --> 00:00:24.000]  阿們
[00:00:24.000 --> 00:00:28.000]  不知道大家有沒有試過追星
[00:00:28.000 --> 00:00:34.000]  追星並不是這個年代才有的文化
[00:00:34.000 --> 00:00:37.000]  其實每個年代都有
[00:00:37.000 --> 00:00:39.000]  好像在五六十年代
[00:00:39.000 --> 00:00:43.000]  不知道有沒有人聽過方方和寶珠
[00:00:43.000 --> 00:00:47.000]  有沒有追過
[00:00:47.000 --> 00:00:49.000]  有呀
[00:00:49.000 --> 00:00:54.000]  七八十年代又有譚詠麟和張國榮
[00:00:54.000 --> 00:00:56.000]  有沒有人聽過
[00:00:56.000 --> 00:00:58.000]  有呀
[00:00:58.000 --> 00:01:00.000]  好彩近一點我們的年紀
[00:01:00.000 --> 00:01:03.000]  四大天王
[00:01:03.000 --> 00:01:05.000]  還有沒有人知道是哪四個
[00:01:05.000 --> 00:01:07.000]  還有沒有人
[00:01:07.000 --> 00:01:11.000]  我聽年輕的朋友聊天
[00:01:11.000 --> 00:01:13.000]  誰來的
[00:01:13.000 --> 00:01:15.000]  誰是劉德華
[00:01:15.000 --> 00:01:17.000]  不太清楚
[00:01:17.000 --> 00:01:21.000]  到現在有很多其他的偶像
[00:01:21.000 --> 00:01:24.000]  忽然間回憶都回來了
[00:01:24.000 --> 00:01:29.000]  追星總會有一些瘋狂的粉絲
[00:01:29.000 --> 00:01:30.000]  粉絲是什麼呢
[00:01:30.000 --> 00:01:32.000]  不是吃得那些
[00:01:32.000 --> 00:01:34.000]  是一個英文的讀音
[00:01:34.000 --> 00:01:36.000]  叫Fans
[00:01:36.000 --> 00:01:38.000]  翻譯出來的
[00:01:38.000 --> 00:01:40.000]  或者叫追星族
[00:01:40.000 --> 00:01:46.000]  追星可以說是粉絲對偶像的崇拜
[00:01:46.000 --> 00:01:48.000]  有些所謂的忠粉
[00:01:48.000 --> 00:01:50.000]  很忠心的粉絲
[00:01:50.000 --> 00:01:52.000]  可能為了見偶像一面
[00:01:52.000 --> 00:01:54.000]  會通宵達旦
[00:01:54.000 --> 00:01:56.000]  去排隊等他們
[00:01:56.000 --> 00:01:58.000]  看他們表演
[00:01:58.000 --> 00:02:01.000]  或者買他們的商品
[00:02:01.000 --> 00:02:05.000]  甚至會拿錢出來幫他們辦生日
[00:02:05.000 --> 00:02:08.000]  不知什麼彎
[00:02:08.000 --> 00:02:10.000]  出錢出力
[00:02:10.000 --> 00:02:12.000]  最重要是出心
