
[00:00:00.000 --> 00:00:02.240]  大姐姐妹早安 主內平安
[00:00:02.240 --> 00:00:04.560]  我們給一點掌聲我們的師班
[00:00:04.560 --> 00:00:10.000]  很感謝他們將我們帶到上帝的愛當中
[00:00:10.000 --> 00:00:11.840]  一路敬拜主
[00:00:11.840 --> 00:00:13.560]  我們一同有個禱告
[00:00:13.560 --> 00:00:19.800]  親愛的天父 我們求聖靈親自引導我們明白
[00:00:19.800 --> 00:00:21.800]  恩順 清義的真理
[00:00:21.800 --> 00:00:26.280]  好讓我們能夠活出基督所賜給我們的自由生命
[00:00:26.280 --> 00:00:28.400]  奉主名求 阿們
[00:00:29.400 --> 00:00:32.400]  今天我講到的題目是
[00:00:32.400 --> 00:00:35.400]  小心屬靈詐騙
[00:00:35.400 --> 00:00:39.400]  近年來全球都多了很多詐騙案
[00:00:39.400 --> 00:00:41.400]  形式層出不窮
[00:00:41.400 --> 00:00:43.400]  有騙錢 騙感情
[00:00:43.400 --> 00:00:48.400]  不知道你身邊有沒有朋友 親友被詐騙過
[00:00:48.400 --> 00:00:51.400]  有沒有? 朋友而已 不是你
[00:00:51.400 --> 00:00:55.400]  都有一點 我也認識有朋友
[00:00:55.400 --> 00:00:58.400]  還是一個很大的騙子
[00:00:58.400 --> 00:01:00.400]  我最近看了一部電影
[00:01:00.400 --> 00:01:02.400]  叫做孤注一擲
[00:01:02.400 --> 00:01:04.400]  不知道大家有沒有聽過
[00:01:04.400 --> 00:01:06.400]  由真人真事去改編的
[00:01:06.400 --> 00:01:10.400]  講述白賣去KK園的失去自由
[00:01:10.400 --> 00:01:13.400]  那種很恐怖 很可怕
[00:01:13.400 --> 00:01:15.400]  不知道大家有沒有想過
[00:01:15.400 --> 00:01:18.400]  我們屬靈的生命同樣都可以被詐騙
[00:01:18.400 --> 00:01:20.400]  失去自由的呢
[00:01:20.400 --> 00:01:24.400]  《解泰書》五章一節說
[00:01:24.400 --> 00:01:26.400]  基督釋放了我們
[00:01:26.400 --> 00:01:28.400]  餵駛我們得自由
[00:01:28.400 --> 00:01:30.400]  所以要站穩
[00:01:30.400 --> 00:01:32.400]  不要再被奴僕的騙脅制
[00:01:32.400 --> 00:01:36.400]  本來以命令的語氣跟我們說
[00:01:36.400 --> 00:01:38.400]  血滅卡拉太信徒要站穩
[00:01:38.400 --> 00:01:41.400]  不要被奴僕的騙脅制
[00:01:41.400 --> 00:01:44.400]  意思就是基督已經從詐騙集團
[00:01:44.400 --> 00:01:46.400]  一個最大的說方者
[00:01:46.400 --> 00:01:48.400]  就是誰? 撒旦
[00:01:48.400 --> 00:01:50.400]  釋放了我們
[00:01:50.400 --> 00:01:53.400]  令我們不再做罪的奴僕
[00:01:53.400 --> 00:01:55.400]  所以不要再被人騙脅
[00:01:55.400 --> 00:01:57.400]  再回去做奴隸
[00:01:57.400 --> 00:02:00.400]  究竟這些詐騙集團是什麼人呢?
[00:02:00.400 --> 00:02:02.400]  《解泰書》形容
[00:02:02.400 --> 00:02:06.400]  他們是偷著運進來的假弟兄
[00:02:06.400 --> 00:02:10.400]  暗中窺探我們基督耶穌的自由
[00:02:10.400 --> 00:02:12.400]  要使我們做奴隸
[00:02:12.400 --> 00:02:15.400]  他們也像詐騙電話一樣
[00:02:15.400 --> 00:02:17.400]  大家有沒有收過?
[00:02:17.400 --> 00:02:19.400]  很多會騷擾信徒
[00:02:19.400 --> 00:02:22.400]  攔阻信徒信從真理
[00:02:22.400 --> 00:02:26.400]  保羅很嚴厲地責備他們
[00:02:26.400 --> 00:02:28.400]  該受詛咒
[00:02:28.400 --> 00:02:32.400]  恨不得他們將自己閹割了
[00:02:32.400 --> 00:02:36.400]  因為他們會將信徒的肉體
[00:02:36.400 --> 00:02:38.400]  誇口
[00:02:38.400 --> 00:02:41.400]  你看我帶了多少人
