
[00:00:00.000 --> 00:00:03.500]  各位朋友各位弟妹早安平安父親節快樂
[00:00:03.500 --> 00:00:10.000]  今天我請了一位好童工陳沛豪傳導
[00:00:10.000 --> 00:00:12.500]  他是以辣團契負責的童工
[00:00:12.500 --> 00:00:16.000]  上次師母講母親節的時候有生命見證
[00:00:16.000 --> 00:00:17.000]  他就自己講
[00:00:17.000 --> 00:00:18.500]  我今天就不自己講了
[00:00:18.500 --> 00:00:21.500]  我請了阿Ho上來跟我們講
[00:00:21.500 --> 00:00:26.000]  阿Ho有一位父親
[00:00:26.000 --> 00:00:28.500]  阿Ho的父親是93歲
[00:00:28.500 --> 00:00:30.500]  今天早上回到我們崇拜的
[00:00:30.500 --> 00:00:36.500]  我們派禮物的時候
[00:00:36.500 --> 00:00:38.500]  也想知道我們在袋中
[00:00:38.500 --> 00:00:40.500]  有沒有90多歲的爺爺公公
[00:00:40.500 --> 00:00:42.500]  我將時間交給阿Ho
[00:00:42.500 --> 00:00:44.500]  講一下他跟爸爸的關係
[00:00:44.500 --> 00:00:51.500]  各位弟兄姊妹早安
[00:00:51.500 --> 00:00:52.500]  主內平安
[00:00:52.500 --> 00:00:54.500]  今天是父親節
[00:00:54.500 --> 00:00:58.500]  首先祝賀每一位父親節快樂
[00:00:58.500 --> 00:01:00.500]  當然不單是父親
[00:01:00.500 --> 00:01:01.500]  母親也是
[00:01:01.500 --> 00:01:03.500]  祝賀你們每一個父親節快樂
[00:01:03.500 --> 00:01:06.500]  我是陳沛豪傳導
[00:01:06.500 --> 00:01:08.500]  很少來中堂的
[00:01:08.500 --> 00:01:10.500]  通常都在早堂的
[00:01:10.500 --> 00:01:13.500]  感恩我現在在以辣長者團契服事
[00:01:13.500 --> 00:01:16.500]  負責康體部的時工
[00:01:16.500 --> 00:01:19.500]  今天很感恩能夠得到黎牧師的邀請
[00:01:19.500 --> 00:01:22.500]  可以在父親節分享一下
[00:01:22.500 --> 00:01:24.500]  我自己跟爸爸的一些經歷
[00:01:24.500 --> 00:01:26.500]  和自己做爸爸的一些心路歷程
[00:01:26.500 --> 00:01:28.500]  感謝神
[00:01:28.500 --> 00:01:29.500]  有人這樣說
[00:01:29.500 --> 00:01:33.500]  他說「拉仔拉心肝」
[00:01:33.500 --> 00:01:37.500]  我小時候不是很認同這句話
[00:01:37.500 --> 00:01:40.500]  因為我家有四兄弟姊妹
[00:01:40.500 --> 00:01:42.500]  我排行第四
[00:01:42.500 --> 00:01:44.500]  對上有兩個哥哥
[00:01:44.500 --> 00:01:46.500]  對上也有一個姐姐
[00:01:46.500 --> 00:01:51.500]  小時候我覺得爸爸很重視大哥和二哥
[00:01:51.500 --> 00:01:54.500]  因為他們做同一行機械工程
[00:01:54.500 --> 00:01:56.500]  經常有聊天有說
[00:01:56.500 --> 00:01:58.500]  說一些工作上的事
[00:01:58.500 --> 00:02:01.500]  再加上我姐姐一個女兒
[00:02:01.500 --> 00:02:04.500]  爸爸很疼愛姐姐
[00:02:04.500 --> 00:02:10.500]  姐姐說一句話比我說十句好
[00:02:10.500 --> 00:02:13.500]  我記得有一次家裡有
[00:02:13.500 --> 00:02:16.500]  當時我十一二歲
[00:02:16.500 --> 00:02:18.500]  我住石蔭村的公屋
[00:02:18.500 --> 00:02:22.500]  整家人上上下下準備幫忙游泳
[00:02:22.500 --> 00:02:24.500]  我不是太記得
[00:02:24.500 --> 00:02:25.500]  我記得我跟爸爸說
[00:02:25.500 --> 00:02:29.500]  「爸爸,不如這次游淺綠色」
[00:02:29.500 --> 00:02:31.500]  你猜爸爸有什麼反應?
[00:02:31.500 --> 00:02:33.500]  「不理我」
[00:02:33.500 --> 00:02:34.500]  OK
[00:02:34.500 --> 00:02:36.500]  到哥哥突然出聲
[00:02:36.500 --> 00:02:38.500]  「不如游白色」
[00:02:38.500 --> 00:02:40.500]  爸爸說「好啊」
[00:02:40.500 --> 00:02:42.500]  OK
[00:02:42.500 --> 00:02:44.500]  到當日真的游的時候
[00:02:44.500 --> 00:02:46.500]  爸爸當然叫我
[00:02:46.500 --> 00:02:49.500]  「你出去玩吧,不要搞事」
[00:02:49.500 --> 00:02:52.500]  弄得整間屋都瘀青
[00:02:52.500 --> 00:02:54.500]  我就出去玩
[00:02:54.500 --> 00:02:56.500]  所以在家游泳那件事上
[00:02:56.500 --> 00:03:00.500]  跟我沒有關係
[00:03:00.500 --> 00:03:01.500]  好了
[00:03:01.500 --> 00:03:03.500]  到星期一
[00:03:03.500 --> 00:03:04.500]  游泳是星期日
[00:03:04.500 --> 00:03:05.500]  到星期一
[00:03:05.500 --> 00:03:08.500]  全部都上班了
[00:03:08.500 --> 00:03:10.500]  我放學就回家
[00:03:10.500 --> 00:03:15.500]  你猜我做什麼?
[00:03:15.500 --> 00:03:17.500]  我回家
[00:03:17.500 --> 00:03:19.500]  當時才十一、二歲
[00:03:19.500 --> 00:03:21.500]  我拿一支大蠟筆
