
[00:00:00.000 --> 00:00:01.800]  我先介紹一下自己
[00:00:01.800 --> 00:00:04.000]  因為我在這裡是很陌生的
[00:00:04.000 --> 00:00:05.520]  如果有印象的話
[00:00:05.520 --> 00:00:08.680]  我四月開始就來這個團隊
[00:00:08.680 --> 00:00:13.880]  過去其實我在青少部服侍
[00:00:13.880 --> 00:00:16.080]  接著人開始長大了
[00:00:16.080 --> 00:00:18.440]  所以沒那麼能動了
[00:00:18.440 --> 00:00:20.800]  就轉去做職青
[00:00:20.800 --> 00:00:21.520]  很特別的
[00:00:21.520 --> 00:00:23.480]  今天早上又在想
[00:00:23.480 --> 00:00:28.000]  其實我是很多很多年前的五月二號
[00:00:28.000 --> 00:00:31.560]  就入職甄福 入職青少部
[00:00:31.560 --> 00:00:33.680]  今天五月四號
[00:00:33.680 --> 00:00:35.520]  上帝又帶我來這裡
[00:00:35.520 --> 00:00:36.920]  作第一次的講道
[00:00:36.920 --> 00:00:38.920]  我覺得上帝在我生命裡
[00:00:38.920 --> 00:00:40.560]  這些小小的印記
[00:00:40.560 --> 00:00:42.120]  我覺得都是很特別的
[00:00:42.120 --> 00:00:44.920]  所以和你們分享一下
[00:00:44.920 --> 00:00:46.880]  那麼
[00:00:46.880 --> 00:00:51.120]  開始講道之前我們有個祈禱
[00:00:51.120 --> 00:00:52.760]  七天父我們要去感謝祢
[00:00:52.760 --> 00:00:55.440]  祢在我們生命裡帶領我們
[00:00:55.440 --> 00:00:59.160]  祢讓我們記得祢為我們去死
[00:00:59.160 --> 00:01:02.640]  我們確實要去知道祢有多麼愛我們
[00:01:02.640 --> 00:01:04.320]  祢幫助我們
[00:01:04.320 --> 00:01:08.280]  在我們生命裡給我們很多大大小小的印記
[00:01:08.280 --> 00:01:10.440]  今天你要將和我們說
[00:01:10.440 --> 00:01:15.440]  就是你會在苦難裡給我們印記的時候
[00:01:15.440 --> 00:01:16.840]  可能不容易受
[00:01:16.840 --> 00:01:19.600]  但願祢的聖靈去軟化我們的心
[00:01:19.600 --> 00:01:21.280]  去聽你的說話
[00:01:21.280 --> 00:01:24.680]  以致我們能夠得到祢生命的冠冕
[00:01:24.680 --> 00:01:26.200]  今天讓我們開心
[00:01:26.200 --> 00:01:27.280]  開我們的心
[00:01:27.280 --> 00:01:29.640]  讓祢的說話進入我們的心裡
[00:01:29.640 --> 00:01:31.720]  我們以上的禱告奉主命求
[00:01:31.720 --> 00:01:33.720]  阿們
[00:01:33.720 --> 00:01:37.480]  有句話是這樣說的
[00:01:37.480 --> 00:01:38.280]  它說
[00:01:38.280 --> 00:01:42.200]  尋找你願意為之而死的東西
[00:01:42.200 --> 00:01:45.120]  然後就為之而活
[00:01:45.120 --> 00:01:46.360]  它表達的是
[00:01:46.360 --> 00:01:48.520]  人願意為什麼死
[00:01:48.520 --> 00:01:50.400]  就會願意為什麼而活
[00:01:50.400 --> 00:01:51.440]  同樣地
[00:01:51.440 --> 00:01:53.120]  人願意為什麼而活
[00:01:53.120 --> 00:01:55.600]  就會願意為什麼而死
[00:01:55.600 --> 00:01:56.760]  頂姐妹
[00:01:56.760 --> 00:01:58.320]  在在的朋友
[00:01:58.320 --> 00:02:03.200]  你現在為什麼而活呢?
[00:02:03.200 --> 00:02:05.960]  你又願意為你現在而活的
[00:02:05.960 --> 00:02:11.400]  形形意意做的事而死呢?
[00:02:11.400 --> 00:02:12.720]  很多很多年前
[00:02:12.720 --> 00:02:15.720]  澳洲有兩個很出名的人物
[00:02:15.720 --> 00:02:20.000]  他們在短短的幾天裡相繼離世
[00:02:20.000 --> 00:02:22.440]  他們的離世震撼了
[00:02:22.440 --> 00:02:23.480]  不僅是澳洲人
[00:02:23.480 --> 00:02:26.080]  他們還震撼了世界很多的人
[00:02:26.080 --> 00:02:27.840]  因為他們很出名
[00:02:27.840 --> 00:02:29.240]  他們很受歡迎
[00:02:29.240 --> 00:02:32.880]  但更加是因為他們死的情況
[00:02:32.880 --> 00:02:35.400]  其中一個叫鱷魚先生
[00:02:35.400 --> 00:02:37.200]  他很熱愛大自然
[00:02:37.200 --> 00:02:38.720]  他一生都致力
[00:02:38.720 --> 00:02:41.440]  推廣自然保育工作
[00:02:41.440 --> 00:02:43.160]  我們稱他為鱷魚先生
[00:02:43.160 --> 00:02:45.560]  因為他經常都看到他捉鱷魚
[00:02:45.560 --> 00:02:47.920]  捉鱷魚不是來捉鱷魚皮
[00:02:47.920 --> 00:02:49.280]  不是來捉鱷魚包包
[00:02:49.280 --> 00:02:52.120]  而是去拯救鱷魚
