
[00:00:00.000 --> 00:00:03.760]  今天我們的講題是選擇蒙福的生命
[00:00:03.760 --> 00:00:08.240]  我們五堂正在講《五經人物事件報》
[00:00:08.240 --> 00:00:12.120]  《不經不覺》已經講到《魅耳》這一講
[00:00:12.120 --> 00:00:14.240]  講完這一講還有一個講到
[00:00:14.240 --> 00:00:15.400]  那就完結了
[00:00:15.400 --> 00:00:20.400]  今天就講到《生命記》27至30章
[00:00:20.400 --> 00:00:24.920]  我們重溫一下《生命記》是講什麼的
[00:00:24.920 --> 00:00:25.920]  作者是誰?
[00:00:25.920 --> 00:00:27.280]  看清楚
[00:00:27.280 --> 00:00:30.360]  當時已經很老了120歲了
[00:00:30.360 --> 00:00:31.960]  他當時站在哪裡呢?
[00:00:31.960 --> 00:00:34.640]  就是站在約旦河東
[00:00:34.640 --> 00:00:35.880]  他正在看西面
[00:00:35.880 --> 00:00:39.400]  因為約旦河的西面
[00:00:39.400 --> 00:00:41.400]  就是看到迦南地
[00:00:41.400 --> 00:00:45.280]  就是上帝給以色列人的應許之地
[00:00:45.280 --> 00:00:47.800]  他看著有沒有進去呢?
[00:00:47.800 --> 00:00:50.080]  他知道他是有得看的
[00:00:50.080 --> 00:00:50.880]  沒得進去
[00:00:50.880 --> 00:00:52.040]  這樣
[00:00:52.040 --> 00:00:54.280]  但是他仍然有事要做的
[00:00:54.280 --> 00:00:55.480]  他還沒死也有事要做的
[00:00:55.480 --> 00:01:00.040]  就是他要寫這個《生命記》給下一代的以色列人
[00:01:00.040 --> 00:01:03.160]  他們接下來要進入應許之地了
[00:01:03.160 --> 00:01:04.400]  要提醒他們
[00:01:04.400 --> 00:01:06.360]  你們不要重蹈覆轍
[00:01:06.360 --> 00:01:09.200]  你上一代的列祖
[00:01:09.200 --> 00:01:11.880]  為什麼出了埃及進不了迦南地
[00:01:11.880 --> 00:01:12.960]  因為他們不聽話
[00:01:12.960 --> 00:01:16.600]  所以摩西臨死之前寫《生命記》
[00:01:16.600 --> 00:01:17.960]  就是提醒百姓
[00:01:17.960 --> 00:01:21.120]  神為他們做過很多很厲害的事情
[00:01:21.120 --> 00:01:22.040]  很多大事
[00:01:22.040 --> 00:01:23.240]  如何去救他們
[00:01:23.240 --> 00:01:25.920]  所以你們以色列人要愛神
[00:01:25.920 --> 00:01:27.520]  要聽祂的話
[00:01:27.520 --> 00:01:31.120]  所以剛才敬拜隊已經說了內容出來
[00:01:31.120 --> 00:01:32.040]  我們要愛神
[00:01:32.040 --> 00:01:34.560]  我們要遵行神的話
[00:01:34.560 --> 00:01:39.240]  這也是《生命記》主要的主題
[00:01:39.240 --> 00:01:41.920]  《生命記》的大綱
[00:01:41.920 --> 00:01:45.360]  頭十一章就是摩西的教導開場白
[00:01:45.360 --> 00:01:46.720]  然後很多律法
[00:01:46.720 --> 00:01:49.920]  中間說了很多應該做不應該做的律法
[00:01:49.920 --> 00:01:54.000]  然後二十七章就是今天的正道經文
[00:01:54.000 --> 00:01:56.400]  其實是摩西最後的教導
[00:01:56.400 --> 00:02:00.760]  你說摩西一個人臨死之前所說的話重要嗎?
[00:02:00.760 --> 00:02:02.160]  不會說廢話的
[00:02:02.160 --> 00:02:05.400]  雖然隔了這麼多年
[00:02:05.400 --> 00:02:08.160]  到今天已經三千多年了
[00:02:08.160 --> 00:02:09.680]  摩西和我們今天的年代
[00:02:09.680 --> 00:02:13.680]  但是摩西的話對我們仍然有很多提醒
[00:02:13.680 --> 00:02:17.200]  我們用什麼角度去看這四章的經文呢?
[00:02:17.200 --> 00:02:21.520]  就是究竟神對他的子民有什麼期望呢?
[00:02:21.520 --> 00:02:25.320]  三千多年前神對他的子民的期望
[00:02:25.320 --> 00:02:28.560]  其實對我們今天基督徒的期望
[00:02:28.560 --> 00:02:29.800]  其實都是一樣的
[00:02:29.800 --> 00:02:30.800]  都是差不多的
[00:02:30.800 --> 00:02:34.600]  我們就從這個角度去看這幾章的經文
[00:02:34.600 --> 00:02:38.120]  我們看經文之前一起禱告
[00:02:38.120 --> 00:02:39.680]  七位天父我們感謝祢
[00:02:39.680 --> 00:02:44.400]  感謝祢賜給我們《生命記》這麼寶貴的說話
[00:02:44.400 --> 00:02:46.240]  求祢開我們的眼睛
[00:02:46.240 --> 00:02:50.080]  讓我們明白神對我們的子民的期望是什麼
[00:02:50.080 --> 00:02:51.640]  求祢教導我們
