
[00:00:00.000 --> 00:00:02.000]  沒有聲音的,有了
[00:00:02.000 --> 00:00:05.000]  可否給掌聲今天的侍奉人員
[00:00:05.000 --> 00:00:09.000]  包括敬拜隊、AV Team、獅子隊
[00:00:09.000 --> 00:00:12.000]  可否給掌聲你旁邊的那個
[00:00:12.000 --> 00:00:16.000]  今天人少少都回來
[00:00:16.000 --> 00:00:19.000]  因為這個星期是初中Camp
[00:00:19.000 --> 00:00:22.000]  所以這裡大部分都是中三的頂照
[00:00:22.000 --> 00:00:28.000]  因為上星期你們應該已經去了高中Camp
[00:00:28.000 --> 00:00:32.000]  很開心,雖然人少少,但整個同在沒有變
[00:00:32.000 --> 00:00:35.000]  不知道剛才在敬拜裏有什麼體會
[00:00:35.000 --> 00:00:37.000]  我覺得上帝已經和我們同在
[00:00:37.000 --> 00:00:40.000]  還有我很感受原來在上帝的裏面
[00:00:40.000 --> 00:00:43.000]  那份平靜、安穩
[00:00:43.000 --> 00:00:45.000]  你有沒有留意其中一首歌
[00:00:45.000 --> 00:00:47.000]  有一個Power Point
[00:00:47.000 --> 00:00:50.000]  是一隻很大的手和一隻很小的手
[00:00:50.000 --> 00:00:53.000]  其實我們就在整個手裏面安穩
[00:00:53.000 --> 00:00:56.000]  其實暑假就很快過了
[00:00:56.000 --> 00:00:58.000]  早幾久就要上學了
[00:00:58.000 --> 00:01:01.000]  可能你會說:為什麼要說這些?
[00:01:01.000 --> 00:01:04.000]  提起傷心事
[00:01:04.000 --> 00:01:08.000]  很快就上學了,不過不用擔心
[00:01:08.000 --> 00:01:11.000]  新學年開始,上帝的恩典、天父的恩典
[00:01:11.000 --> 00:01:13.000]  已經和你同在
[00:01:13.000 --> 00:01:15.000]  他的大手仍然是牽著你的小手
[00:01:15.000 --> 00:01:17.000]  走人生的每一步
[00:01:17.000 --> 00:01:21.000]  好,我不知道為什麼突然有個想法
[00:01:21.000 --> 00:01:23.000]  不過應該說一下
[00:01:23.000 --> 00:01:26.000]  既然人少,圍圈坐會不會親密一點?
