
[00:00:00.000 --> 00:00:03.880]  「頂姐妹」早安
[00:00:03.880 --> 00:00:05.880]  很開心見到大家
[00:00:05.880 --> 00:00:07.880]  有很多熟悉的面孔
[00:00:07.880 --> 00:00:15.920]  亦很感恩有不太熟悉的面孔願意稍後我們變成很熟悉的「頂姐妹」
[00:00:15.920 --> 00:00:21.400]  今天我們要講的書卷是希伯來書
[00:00:21.400 --> 00:00:27.520]  希伯來書的講道我們今天已經到最後一講了
[00:00:27.520 --> 00:00:36.040]  最後一講就記載經文在十三章十八到二十五節
[00:00:36.040 --> 00:00:38.520]  我給他的題目是
[00:00:38.520 --> 00:00:44.120]  願那次平安的神介入你的現實人生裡頭
[00:00:44.120 --> 00:00:49.720]  其實在希伯來書的作者
[00:00:49.720 --> 00:00:51.720]  他為什麼會這樣說呢
[00:00:51.720 --> 00:00:54.720]  願那平安的神介入他的生命呢
[00:00:54.720 --> 00:01:01.720]  因為他很著緊「頂姐妹」當時他們面對信仰的挑戰和艱難
[00:01:01.720 --> 00:01:02.720]  他很掛心他們
[00:01:02.720 --> 00:01:06.720]  所以做了一個這樣的祈禱
[00:01:06.720 --> 00:01:10.720]  我想問一下在座的「頂姐妹」
[00:01:10.720 --> 00:01:12.720]  即是新朋友
[00:01:12.720 --> 00:01:18.720]  有多少人去過九龍城的香港啟德機場
[00:01:18.720 --> 00:01:20.720]  有多少人去過
[00:01:20.720 --> 00:01:25.720]  嘩!大家都是資深的朋友
[00:01:25.720 --> 00:01:27.720]  真的很多
[00:01:27.720 --> 00:01:31.720]  若果現在叫你去回想一下
[00:01:31.720 --> 00:01:35.720]  當時你去啟德機場的原因
[00:01:35.720 --> 00:01:41.720]  不知道你能不能夠想起一些人和一些事情
[00:01:41.720 --> 00:01:45.720]  相信很多人想起舊機場
[00:01:45.720 --> 00:01:49.720]  腦海裡會有很多深刻的回憶
[00:01:49.720 --> 00:01:55.720]  啟德機場會不會讓你回想起一些你很掛念的人呢
[00:01:55.720 --> 00:01:59.720]  今天我們可以坐廉航去旅行
[00:01:59.720 --> 00:02:04.720]  一般人坐飛機是相對很普及的事情
[00:02:04.720 --> 00:02:08.720]  只不過在八、九十年代的香港
[00:02:08.720 --> 00:02:14.720]  當時不是人人都可以負擔得起這麼昂貴的機票
[00:02:14.720 --> 00:02:18.720]  能夠坐飛機真的是一件很不簡單的事情
[00:02:18.720 --> 00:02:20.720]  試想想在四十年前
[00:02:20.720 --> 00:02:23.720]  當我們還是很年輕的時候
[00:02:23.720 --> 00:02:25.720]  何時會坐飛機呢?
[00:02:25.720 --> 00:02:28.720]  當然就不像今天那麼隨意可以坐飛機
[00:02:28.720 --> 00:02:32.720]  坐飛機很多時候是因為工作的緣故
[00:02:32.720 --> 00:02:34.720]  出差就坐飛機
[00:02:34.720 --> 00:02:39.720]  或者有些同學去升學就會坐飛機
[00:02:39.720 --> 00:02:41.720]  我還記得有一次
[00:02:41.720 --> 00:02:45.720]  我第一次踏足香港的啟德機場的時候
[00:02:45.720 --> 00:02:49.720]  因為有一個我很熟悉的同學要移民
[00:02:49.720 --> 00:02:53.720]  我們幾個很友好的同學就約在一起去送機
[00:02:53.720 --> 00:02:56.720]  第一次去啟德機場
[00:02:56.720 --> 00:03:00.720]  見到即將移民的這位同學的時候
[00:03:00.720 --> 00:03:02.720]  什麼都沒有說過
[00:03:02.720 --> 00:03:04.720]  一見到他就大家就哭了
[00:03:04.720 --> 00:03:06.720]  就抱著對方
[00:03:06.720 --> 00:03:08.720]  因為大家知道
[00:03:08.720 --> 00:03:10.720]  除了很捨不得
[00:03:10.720 --> 00:03:13.720]  就是這一次的一別
[00:03:13.720 --> 00:03:15.720]  在四十年前
[00:03:15.720 --> 00:03:16.720]  天國一方
[00:03:16.720 --> 00:03:19.720]  不知道何時才能夠再見
[00:03:19.720 --> 00:03:20.720]  鼎姐妹
[00:03:20.720 --> 00:03:26.720]  不知道你有沒有一些令你記掛的人呢?
[00:03:26.720 --> 00:03:28.720]  在三、四十年前
[00:03:28.720 --> 00:03:31.720]  通訊很不發達的時代
[00:03:31.720 --> 00:03:33.720]  如果我們兩地分開
[00:03:33.720 --> 00:03:35.720]  真的很不容易
[00:03:35.720 --> 00:03:36.720]  通訊
[00:03:36.720 --> 00:03:38.720]  打長途電話就逐分鐘計算
[00:03:38.720 --> 00:03:40.720]  不知道你是不是那個時代的人
[00:03:40.720 --> 00:03:41.720]  很緊張的
[00:03:41.720 --> 00:03:43.720]  一點都不簡單
[00:03:43.720 --> 00:03:45.720]  我知道有些爸爸媽媽
[00:03:45.720 --> 00:03:49.720]  當時是沒有免費的WhatsApp call
[00:03:49.720 --> 00:03:51.720]  那些爸爸媽媽
[00:03:51.720 --> 00:03:52.720]  很節儉
[00:03:52.720 --> 00:03:54.720]  供子女出去讀書
[00:03:54.720 --> 00:03:56.720]  又很想聽到他的聲音
[00:03:56.720 --> 00:03:59.720]  於是就找一張紙和筆
[00:03:59.720 --> 00:04:01.720]  寫下最重要的字眼
[00:04:01.720 --> 00:04:04.720]  接著一打通電話就不停說
[00:04:04.720 --> 00:04:05.720]  有沒有吃飯
[00:04:05.720 --> 00:04:06.720]  他回答有
[00:04:06.720 --> 00:04:07.720]  好 平平安
[00:04:07.720 --> 00:04:08.720]  平安
[00:04:08.720 --> 00:04:09.720]  好 收錢
[00:04:09.720 --> 00:04:12.720]  因為他還需要供子女讀書
[00:04:12.720 --> 00:04:14.720]  當時就是這樣
[00:04:14.720 --> 00:04:16.720]  想讓子女知道
[00:04:16.720 --> 00:04:18.720]  他們真的很關心他
[00:04:18.720 --> 00:04:20.720]  又想多些提醒和叮嚀
[00:04:20.720 --> 00:04:22.720]  那怎麼辦呢?
[00:04:22.720 --> 00:04:23.720]  很簡單
