
[00:00:00.000 --> 00:00:04.000]  各位頂展的朋友,早安!
[00:00:04.000 --> 00:00:09.000]  很感恩在秋涼的天氣能夠和大家一起敬拜主,
[00:00:09.000 --> 00:00:12.000]  也很感恩Praise Choir他們在我們當中的服侍,
[00:00:12.000 --> 00:00:14.000]  他們今早很早已經在這裡,
[00:00:14.000 --> 00:00:18.000]  我經常覺得在詩歌的服侍中,
[00:00:18.000 --> 00:00:21.000]  有點像摩西在山上禱告的服侍,
[00:00:21.000 --> 00:00:25.000]  你看上去好像很簡單,只是祈禱,
[00:00:25.000 --> 00:00:28.000]  但原來約書亞在下面打仗,手不會累,
[00:00:28.000 --> 00:00:30.000]  摩西在上面祈禱,手會累的。
[00:00:30.000 --> 00:00:33.000]  所以我覺得在詩歌的服侍一點都不簡單,
[00:00:33.000 --> 00:00:36.000]  因為他們全人的擺相,全人的禱告,全人的奉獻,
[00:00:36.000 --> 00:00:38.000]  我們真的很感恩,
[00:00:38.000 --> 00:00:40.000]  我們也很感謝今天在下面,
[00:00:40.000 --> 00:00:44.000]  我們有二樓的,我們沒有記錯的五成團契,
[00:00:44.000 --> 00:00:46.000]  在三樓的四木團契,
[00:00:46.000 --> 00:00:48.000]  都是我們當中很好的團契,
[00:00:48.000 --> 00:00:50.000]  服侍我們在我們當中做詩詩,
[00:00:50.000 --> 00:00:53.000]  我們一起給點掌聲,他們在我們當中的服侍。
[00:00:56.000 --> 00:00:59.000]  今天大家離開的時候,
[00:00:59.000 --> 00:01:02.000]  你會看到有另一群年輕人的服侍,
[00:01:02.000 --> 00:01:04.000]  剛剛從十二樓下來,
[00:01:04.000 --> 00:01:09.000]  我看到他們為了突破的二脈,
[00:01:09.000 --> 00:01:11.000]  正在很努力地籌備,
[00:01:11.000 --> 00:01:13.000]  那個努力我很感恩,
[00:01:13.000 --> 00:01:15.000]  我看到傳導人提醒他們很多事情,
[00:01:15.000 --> 00:01:17.000]  一個拖把只可以拖一個爐,
[00:01:17.000 --> 00:01:18.000]  不要拖多幾個,
[00:01:18.000 --> 00:01:20.000]  不然一會兒整間恩福大廈就…
[00:01:20.000 --> 00:01:24.000]  閃光了,教他們很多事情,
[00:01:24.000 --> 00:01:27.000]  教他們記得收拾東西才離開,
[00:01:27.000 --> 00:01:29.000]  不要完結後留待導師收拾東西,
[00:01:29.000 --> 00:01:31.000]  所以他們一會兒都是招呼大家,
[00:01:31.000 --> 00:01:33.000]  大家記得在十二樓,十一樓,
[00:01:33.000 --> 00:01:34.000]  或者地下停車場,
[00:01:34.000 --> 00:01:37.000]  如果沒有散撈,出去記得拿多少回來,
[00:01:37.000 --> 00:01:39.000]  我們只收現金,
[00:01:39.000 --> 00:01:41.000]  所以我們看到一群年輕人,
[00:01:41.000 --> 00:01:43.000]  很願意起來服侍,很感恩。
[00:01:43.000 --> 00:01:45.000]  為什麼會選擇二佛所書呢?
[00:01:45.000 --> 00:01:50.000]  因為我看到二佛所正是將福音的能力
[00:01:50.000 --> 00:01:56.000]  轉化成為一個社會動力的一本書信。
[00:01:56.000 --> 00:02:00.000]  因為我們發覺很多的無力感充斥著社會,
[00:02:00.000 --> 00:02:02.000]  之前我們講過《以西傑書》,
[00:02:02.000 --> 00:02:04.000]  想大家知道即使多無力,
[00:02:04.000 --> 00:02:08.000]  上帝仍然可以在沒有敬拜,
[00:02:08.000 --> 00:02:10.000]  沒有聖殿的群體重新興起群體。
[00:02:10.000 --> 00:02:12.000]  我們去年講《馬學福音》,
[00:02:12.000 --> 00:02:15.000]  就是看到上帝如何在一個最腐敗的世代,
[00:02:15.000 --> 00:02:17.000]  仍然可以更新。
[00:02:17.000 --> 00:02:21.000]  但今年就想大家不要停留在這些想法裏,
[00:02:21.000 --> 00:02:23.000]  更加作一個轉接,
[00:02:23.000 --> 00:02:29.000]  藉著福音如何再一次擁抱面向我們這個世代。
[00:02:29.000 --> 00:02:31.000]  今天在二佛所書,
[00:02:31.000 --> 00:02:34.000]  我能夠講到中間第三章這一段,
[00:02:34.000 --> 00:02:36.000]  就是保羅的一個禱告。
[00:02:36.000 --> 00:02:40.000]  這個禱告正正是二佛所書中間的中間,
[00:02:40.000 --> 00:02:42.000]  因為這個禱告裏面,
