
[00:00:00.000 --> 00:00:06.000]  感謝敬拜隊和文姐姐帶我們一起去敬拜
[00:00:06.000 --> 00:00:09.000]  好像聽到文姐姐的笑聲
[00:00:09.000 --> 00:00:12.000]  我猜大家都很懷念十二樓
[00:00:12.000 --> 00:00:15.000]  我不知道你在敬拜裡面
[00:00:15.000 --> 00:00:17.000]  我很想你去想一想
[00:00:17.000 --> 00:00:19.000]  你自己想一想
[00:00:19.000 --> 00:00:30.000]  敬拜裡面你用一句說話去形容你敬拜的感受
[00:00:30.000 --> 00:00:32.000]  你去想一想
[00:00:32.000 --> 00:00:35.000]  猜猜你,你可以在留言中打
[00:00:35.000 --> 00:00:37.000]  告訴我們
[00:00:37.000 --> 00:00:40.000]  我分享我自己的感受就是
[00:00:40.000 --> 00:00:44.000]  我一個說話會想著,主啊
[00:00:44.000 --> 00:00:46.000]  是啊,我們需要你
[00:00:46.000 --> 00:00:49.000]  很想你同樣去想一想
[00:00:49.000 --> 00:00:53.000]  當我們在這幾個星期
[00:00:53.000 --> 00:00:55.000]  可能我們有很多不同的心情
[00:00:55.000 --> 00:00:57.000]  但是當我們進入去敬拜的時候
[00:00:57.000 --> 00:00:59.000]  剛才文姐姐帶我們去敬拜的時候
[00:00:59.000 --> 00:01:03.000]  我們找回原來在這個生活裡面
[00:01:03.000 --> 00:01:05.000]  在這個信仰裡面
[00:01:05.000 --> 00:01:08.000]  我們要找一個焦點是上帝
[00:01:08.000 --> 00:01:11.000]  所以鼓勵你也可以去分享一下
[00:01:11.000 --> 00:01:13.000]  好,我們進入今天講到
[00:01:13.000 --> 00:01:17.000]  我不知道你這半年裡
[00:01:17.000 --> 00:01:19.000]  我們這陣子的講到都保持著
[00:01:19.000 --> 00:01:22.000]  去講一些青少報的核心價值
[00:01:22.000 --> 00:01:25.000]  我猜應該都進入你們的腦袋裡面
[00:01:25.000 --> 00:01:27.000]  就是關係牧養成長
[00:01:27.000 --> 00:01:29.000]  傳福音侍奉敬拜
[00:01:29.000 --> 00:01:31.000]  到了五月的尾聲
[00:01:31.000 --> 00:01:33.000]  這個月的主題是服侍
[00:01:33.000 --> 00:01:35.000]  我不知道大家還記不記得
[00:01:35.000 --> 00:01:38.000]  剛剛這個月那三個星期
[00:01:38.000 --> 00:01:40.000]  講到的內容是什麼
[00:01:40.000 --> 00:01:43.000]  第一個星期David就說
[00:01:43.000 --> 00:01:47.000]  用服侍是要選擇耶穌所選擇的服侍
[00:01:47.000 --> 00:01:51.000]  就是要學習去自行、謙卑和信服
[00:01:51.000 --> 00:01:54.000]  第二個星期Asta從一個
[00:01:54.000 --> 00:01:56.000]  所謂的高大位這個經歷
[00:01:56.000 --> 00:01:58.000]  她帶出服侍
