
[00:00:00.000 --> 00:00:04.040]  我覺得年青人他們預備這個青少主日很用心
[00:00:04.040 --> 00:00:07.440]  其實由去年的12月開始
[00:00:07.440 --> 00:00:09.200]  他們已經開始設計
[00:00:09.200 --> 00:00:10.960]  今天你們所見到他們穿著
[00:00:10.960 --> 00:00:12.960]  甚至樓下有得賣的T恤
[00:00:12.960 --> 00:00:16.000]  特刊、敬拜、AV team、詩詩
[00:00:16.000 --> 00:00:18.080]  都很盡心的去預備
[00:00:18.080 --> 00:00:23.120]  我剛才應該不同的目者已經介紹了我自己
[00:00:23.120 --> 00:00:24.800]  我是凌峰傳道
[00:00:24.800 --> 00:00:27.080]  我是青少部的其中一個目者
[00:00:27.080 --> 00:00:30.200]  今天是一年一度的青少主日
[00:00:30.200 --> 00:00:33.720]  很感恩有機會在這裡跟大家分享神的話語
[00:00:33.720 --> 00:00:37.800]  也分享一下教會青少部的需要
[00:00:37.800 --> 00:00:43.080]  如果今天大家你有由地下走上來的話
[00:00:43.080 --> 00:00:47.680]  我想大概都知道今年青少部的年題是什麼
[00:00:47.680 --> 00:00:51.800]  就是"Back to basics, seeking the truth"
[00:00:51.800 --> 00:00:56.960]  今年我們同工很想跟一群年青人一起去還原基本步
[00:00:56.960 --> 00:01:01.880]  去學習一下養神的話語成為我們生命的基礎
[00:01:01.880 --> 00:01:03.440]  我想問一下大家
[00:01:03.440 --> 00:01:09.240]  在當中有沒有一些是會考和高級程度會考年代的
[00:01:09.240 --> 00:01:11.320]  可不可以舉手來看看
[00:01:11.320 --> 00:01:12.560]  哇!很有共鳴
[00:01:12.560 --> 00:01:15.120]  對於我來說
[00:01:15.120 --> 00:01:18.120]  我在青少部分享會考
[00:01:18.120 --> 00:01:22.400]  他們覺得已經是可以放進博物館的物品
[00:01:22.400 --> 00:01:25.360]  我想分享我A level的時候
[00:01:25.360 --> 00:01:26.360]  高級程度會考的時候
[00:01:26.360 --> 00:01:27.840]  讀過一篇中文
[00:01:27.840 --> 00:01:30.720]  那篇中文作者說什麼呢?
[00:01:30.720 --> 00:01:34.760]  他說我們不要做草包子和鐵罐子
[00:01:34.760 --> 00:01:36.920]  草包子是什麼呢?
[00:01:36.920 --> 00:01:40.920]  就是說那些人讀到滿腔都是知識
[00:01:40.920 --> 00:01:43.440]  但是他沒有很好的操練身體
[00:01:43.440 --> 00:01:47.160]  成為了東亞病夫的人很虛弱
[00:01:47.160 --> 00:01:50.960]  但同樣也說不要做鐵罐子
[00:01:50.960 --> 00:01:55.040]  就是說一些人操練一個很強壯的身體
[00:01:55.040 --> 00:01:58.560]  但他沒有什麼頭腦上的知識
[00:01:58.560 --> 00:02:02.680]  這篇文章是諷刺當時的一些中國文化
[00:02:02.680 --> 00:02:05.240]  但當我想起這篇文章的時候
[00:02:05.240 --> 00:02:06.360]  我也會在想
[00:02:06.360 --> 00:02:09.120]  其實我們作為基督徒的生命
[00:02:09.120 --> 00:02:12.160]  有沒有時候也會面對這樣的狀況呢?
[00:02:12.160 --> 00:02:13.680]  又或者我也會想起
[00:02:13.680 --> 00:02:16.120]  現在年輕人面對的信仰
[00:02:16.120 --> 00:02:19.680]  其實也會不會有這樣的情況呢?
[00:02:19.680 --> 00:02:20.680]  過去幾年
[00:02:20.680 --> 00:02:24.240]  青少部很積極地推動年輕人去做服侍
[00:02:24.240 --> 00:02:26.280]  去做傳福音、去做社關
[00:02:26.280 --> 00:02:28.160]  有很多事情我們都做了
[00:02:28.160 --> 00:02:30.080]  不過我們童工有時候也會在想
[00:02:30.080 --> 00:02:31.960]  經常跟年輕人說
[00:02:31.960 --> 00:02:33.640]  不要只做Doing
[00:02:33.640 --> 00:02:35.680]  要有Being
[00:02:35.680 --> 00:02:36.840]  或者我們也會問
[00:02:36.840 --> 00:02:40.520]  如何為之一個合神心意的Being
[00:02:40.520 --> 00:02:42.440]  在我們生命裡面
[00:02:42.440 --> 00:02:43.960]  或者我們會想的是
[00:02:43.960 --> 00:02:46.960]  當我們推動一個年輕人參與多一點服侍
[00:02:46.960 --> 00:02:48.960]  讓他們對青少部有歸屬感
[00:02:48.960 --> 00:02:50.720]  那就會有好的品格
[00:02:50.720 --> 00:02:52.040]  能夠經歷神
[00:02:52.040 --> 00:02:55.000]  然後他們在Being上就會長進
[00:02:55.000 --> 00:02:55.880]  又或者
[00:02:55.880 --> 00:02:57.560]  推動他們參與多一點短訓
[00:02:57.560 --> 00:02:59.000]  多一點投入教會
[00:02:59.000 --> 00:03:00.240]  讓他們經歷多一點神
[00:03:00.240 --> 00:03:02.280]  生命就會改變
[00:03:02.280 --> 00:03:04.120]  不過這些東西同樣
[00:03:04.120 --> 00:03:05.320]  都是重要的
[00:03:05.320 --> 00:03:06.800]  都是需要的
[00:03:06.800 --> 00:03:08.400]  但同時我們也發現
[00:03:08.400 --> 00:03:09.880]  年輕人在這個過程裡面
[00:03:09.880 --> 00:03:12.040]  信仰生命出現的一個狀況
[00:03:12.040 --> 00:03:13.840]  就是他們的信仰生命
[00:03:13.840 --> 00:03:16.920]  建基於在很多這些經歷上
[00:03:16.920 --> 00:03:19.960]  但同樣可能在他們信仰生命上
[00:03:19.960 --> 00:03:22.600]  也未必很扎實
[00:03:22.600 --> 00:03:24.640]  當他們面對生活裡面
[00:03:24.640 --> 00:03:26.680]  一些不同的挑戰的時候
[00:03:26.680 --> 00:03:28.120]  有時候他們也分享說
[00:03:28.120 --> 00:03:31.120]  好像跟信仰覺得好像很遠
[00:03:31.120 --> 00:03:33.000]  未必可以很回應到
[00:03:33.000 --> 00:03:35.680]  當下他們面對的處境
[00:03:35.680 --> 00:03:38.560]  我想年輕人確實在這個狀況裡面
[00:03:38.560 --> 00:03:40.800]  可能缺少了神的話語
[00:03:40.800 --> 00:03:42.920]  成為他們生命的基礎
[00:03:42.920 --> 00:03:44.640]  坦白說他們很知道
[00:03:44.640 --> 00:03:47.200]  神在他們生命創造他們很獨特
[00:03:47.200 --> 00:03:48.360]  他們也知道
[00:03:48.360 --> 00:03:51.800]  他們能夠在神裡面經歷無條件的愛
[00:03:51.800 --> 00:03:54.680]  但有時候可能還不是很太知道
[00:03:54.680 --> 00:03:59.800]  其實聖經怎樣去說這些信仰的概念
[00:03:59.800 --> 00:04:02.400]  或者對我們成年人來說
[00:04:02.400 --> 00:04:06.280]  其實可能也在面對這個生命的狀況
[00:04:06.280 --> 00:04:08.480]  恩福是一間很行動型的教會
[00:04:08.480 --> 00:04:09.720]  我們有很多不同的平台
[00:04:09.720 --> 00:04:12.240]  可以參與服侍、參與侍奉
[00:04:12.240 --> 00:04:15.920]  確實這些東西都令我們信仰生活很豐富
[00:04:15.920 --> 00:04:18.240]  不過當我們每個星期一
[00:04:18.240 --> 00:04:19.800]  離開了恩福
